ClassID,minLv,maxLv,dropRatio,ClassName,Name,ServerMsg,EventCompositon
1,420,450,2,SWD04_126,바이보라 소드 - 반향,YES,YES
2,420,450,2,TSW04_126,바이보라 투 핸드 소드 - 화산검법,YES,YES
3,420,450,2,STF04_127,바이보라 로드 - 타임러시,YES,YES
4,420,450,2,TBW04_126,바이보라 보우 - 시위 강화,YES,YES
5,420,450,2,BOW04_126,바이보라 크로스보우 - 이중표식,YES,YES
6,420,450,2,MAC04_129,바이보라 메이스 - 매스 힐: 냉각,YES,YES
7,420,450,2,TMAC04_118,바이보라 투 핸드 메이스 - 단죄,YES,YES
8,420,450,2,SHD04_122,바이보라 실드 - 집중방어,YES,YES
9,420,450,2,SPR04_127,바이보라 스피어 - 투망 발사장치,YES,YES
10,420,450,2,TSP04_128,바이보라 파이크 - 미늘창,YES,YES
11,420,450,2,DAG04_123,바이보라 대거 - 저주의 비수,YES,YES
12,420,450,2,TSF04_129,바이보라 스태프 - 무릿매,YES,YES
13,420,450,2,PST04_122,바이보라 피스톨 - 크리오라이트 탄두,YES,YES
14,420,450,2,RAP04_124,바이보라 레이피어 - 레벤타도르,YES,YES
15,420,450,2,CAN04_118,바이보라 캐논 - 캐논홀드,YES,YES
16,420,450,2,MUS04_118,바이보라 머스킷 - 철갑탄,YES,YES
17,420,450,2,TRK04_111,바이보라 트링킷 - 협응,YES,YES
18,420,450,2,SWD04_126_1,바이보라 소드 - 공간베기,YES,YES
19,420,450,2,TSP04_128_1,바이보라 파이크 - 분쇄,YES,YES
20,420,450,2,TSF04_129_1,바이보라 스태프 - 확산투영,YES,YES
21,420,450,2,DAG04_123_1,바이보라 대거 - 그림자 분신,YES,YES
22,420,450,2,TSF04_129_2,바이보라 스태프 - 불벼락,YES,YES
23,420,450,2,STF04_127_1,바이보라 로드 - 사념,YES,YES
24,420,450,2,MAC04_129_1,바이보라 메이스 - 신성무구,YES,YES
25,420,450,2,TMAC04_118_1,바이보라 투 핸드 메이스 - 진노,YES,YES
26,420,450,2,PST04_122_1,바이보라 피스톨 - 트리거 개조,YES,YES
27,420,450,2,DAG04_123_2,바이보라 대거 - 융단폭격,YES,YES
28,420,450,2,DAG04_123_3,바이보라 대거 - 비도,YES,YES
29,420,450,2,TBW04_126_1,바이보라 보우 - 궤도화살,YES,YES
30,420,450,2,SWD04_126_2,바이보라 소드 - 기병도,YES,YES
31,420,450,2,STF04_127_2,바이보라 로드 - 영구동토,YES,YES
32,420,450,2,TSW04_126_1,바이보라 투 핸드 소드 - 듀얼소드,YES,YES
33,420,450,2,SPR04_127_1,바이보라 스피어 - 자벨린,YES,YES
34,420,450,2,MUS04_118_1,바이보라 머스킷 - 삼보방포,YES,YES
35,420,450,2,TMAC04_118_2,바이보라 투 핸드 메이스 - 종언,YES,YES
36,420,450,2,SWD04_126_3,바이보라 소드 - 협응,YES,YES
37,420,450,2,DAG04_123_4,바이보라 대거 - 협응,YES,YES
38,420,450,2,BOW04_126_1,바이보라 크로스보우 - 집속탄,YES,YES
39,420,450,2,TSW04_126_2,바이보라 투 핸드 소드 - 쐐기폭파,YES,YES
40,420,450,2,TSP04_128_2,바이보라 파이크 - 일기당천,YES,YES
41,420,450,2,RAP04_124_1,바이보라 레이피어 - 반데릴라,YES,YES
42,420,450,2,PST04_122_2,바이보라 피스톨 - 스피드 로더,YES,YES
43,420,450,2,CAN04_118_1,바이보라 캐논 - 센터파이어,YES,YES
44,420,450,2,TSF04_129_3,바이보라 스태프 - 편향인력,YES,YES
45,420,450,2,TMAC04_118_3,바이보라 투 핸드 메이스 - 괴사,YES,YES
46,420,450,2,STF04_127_3,바이보라 로드 - 각성의 룬,YES,YES
47,420,450,2,SHD04_122_1,바이보라 실드 - 협응,YES,YES
48,420,450,2,TSF04_129_4,바이보라 스태프 - 르와 강림,YES,NO
49,420,450,2,SWD04_126_4,바이보라 소드 - 삭풍,YES,NO
50,420,450,2,TMAC04_118_4,바이보라 투 핸드 메이스 - 조율,YES,NO
51,420,450,2,DAG04_123_5,바이보라 대거 - 달가림 칼,YES,NO
52,420,450,2,MUS04_118_2,바이보라 머스킷 - 레버액션,YES,NO
53,420,450,2,DAG04_123_6,바이보라 대거 - 반향,YES,NO
54,420,450,2,SHD04_122_2,바이보라 실드 - 반향,YES,NO
55,420,450,2,TSF04_129_5,바이보라 스태프 - 적호조,YES,NO
56,420,450,2,STF04_127_4,바이보라 로드 - 왜곡,YES,NO
57,420,450,2,TSF04_129_6,바이보라 스태프 - 섬멸,YES,NO
58,420,450,2,TMAC04_118_5,바이보라 투 핸드 메이스 - 진각,YES,NO
59,420,450,2,TMAC04_118_6,바이보라 투 핸드 메이스 - 성뢰,YES,NO
60,420,450,2,PST04_122_3,바이보라 피스톨 - 파괴공작,YES,NO
