ClassID,ClassName,ExchangeGroup,ExchangeItem,MaterialItemInfo
1,GlacierExchange_1,GlacierLegenda,EP12_RAID_SWORD,ExchangeWeapon_Book_440/1;
2,GlacierExchange_2,GlacierLegenda,EP12_RAID_THSWORD,ExchangeWeapon_Book_440/1;
3,GlacierExchange_3,GlacierLegenda,EP12_RAID_STAFF,ExchangeWeapon_Book_440/1;
4,GlacierExchange_4,GlacierLegenda,EP12_RAID_THBOW,ExchangeWeapon_Book_440/1;
5,GlacierExchange_5,GlacierLegenda,EP12_RAID_BOW,ExchangeWeapon_Book_440/1;
6,GlacierExchange_6,GlacierLegenda,EP12_RAID_MACE,ExchangeWeapon_Book_440/1;
7,GlacierExchange_7,GlacierLegenda,EP12_RAID_THMACE,ExchangeWeapon_Book_440/1;
8,GlacierExchange_8,GlacierLegenda,EP12_RAID_SHIELD,ExchangeWeapon_Book_440/1;
9,GlacierExchange_9,GlacierLegenda,EP12_RAID_SPEAR,ExchangeWeapon_Book_440/1;
10,GlacierExchange_10,GlacierLegenda,EP12_RAID_THSPEAR,ExchangeWeapon_Book_440/1;
11,GlacierExchange_11,GlacierLegenda,EP12_RAID_DAGGER,ExchangeWeapon_Book_440/1;
12,GlacierExchange_12,GlacierLegenda,EP12_RAID_THSTAFF,ExchangeWeapon_Book_440/1;
13,GlacierExchange_13,GlacierLegenda,EP12_RAID_PISTOL,ExchangeWeapon_Book_440/1;
14,GlacierExchange_14,GlacierLegenda,EP12_RAID_RAPIER,ExchangeWeapon_Book_440/1;
15,GlacierExchange_15,GlacierLegenda,EP12_RAID_CANNON,ExchangeWeapon_Book_440/1;
16,GlacierExchange_16,GlacierLegenda,EP12_RAID_MUSKET,ExchangeWeapon_Book_440/1;
21,GlacierExchange_21,GlacierLegenda_EV,Event_EP12_RAID_SWORD,ExchangeWeapon_Book_440/1;
22,GlacierExchange_22,GlacierLegenda_EV,Event_EP12_RAID_THSWORD,ExchangeWeapon_Book_440/1;
23,GlacierExchange_23,GlacierLegenda_EV,Event_EP12_RAID_STAFF,ExchangeWeapon_Book_440/1;
24,GlacierExchange_24,GlacierLegenda_EV,Event_EP12_RAID_THBOW,ExchangeWeapon_Book_440/1;
25,GlacierExchange_25,GlacierLegenda_EV,Event_EP12_RAID_BOW,ExchangeWeapon_Book_440/1;
26,GlacierExchange_26,GlacierLegenda_EV,Event_EP12_RAID_MACE,ExchangeWeapon_Book_440/1;
27,GlacierExchange_27,GlacierLegenda_EV,Event_EP12_RAID_THMACE,ExchangeWeapon_Book_440/1;
28,GlacierExchange_28,GlacierLegenda_EV,Event_EP12_RAID_SHIELD,ExchangeWeapon_Book_440/1;
29,GlacierExchange_29,GlacierLegenda_EV,Event_EP12_RAID_SPEAR,ExchangeWeapon_Book_440/1;
30,GlacierExchange_30,GlacierLegenda_EV,Event_EP12_RAID_THSPEAR,ExchangeWeapon_Book_440/1;
31,GlacierExchange_31,GlacierLegenda_EV,Event_EP12_RAID_DAGGER,ExchangeWeapon_Book_440/1;
32,GlacierExchange_32,GlacierLegenda_EV,Event_EP12_RAID_THSTAFF,ExchangeWeapon_Book_440/1;
33,GlacierExchange_33,GlacierLegenda_EV,Event_EP12_RAID_PISTOL,ExchangeWeapon_Book_440/1;
34,GlacierExchange_34,GlacierLegenda_EV,Event_EP12_RAID_RAPIER,ExchangeWeapon_Book_440/1;
35,GlacierExchange_35,GlacierLegenda_EV,Event_EP12_RAID_CANNON,ExchangeWeapon_Book_440/1;
36,GlacierExchange_36,GlacierLegenda_EV,Event_EP12_RAID_MUSKET,ExchangeWeapon_Book_440/1;
101,DisnaiExchange_1,SavinoseDisnai,EP12_FIELD_SWORD,ExchangeWeapon_Book_440/1;
102,DisnaiExchange_2,SavinoseDisnai,EP12_FIELD_THSWORD,ExchangeWeapon_Book_440/1;
103,DisnaiExchange_3,SavinoseDisnai,EP12_FIELD_STAFF,ExchangeWeapon_Book_440/1;
104,DisnaiExchange_4,SavinoseDisnai,EP12_FIELD_THBOW,ExchangeWeapon_Book_440/1;
105,DisnaiExchange_5,SavinoseDisnai,EP12_FIELD_BOW,ExchangeWeapon_Book_440/1;
