ClassID,Weight,PR,MaxPR,ItemLv,PATK,ADD_MATK,ItemGrade,ItemStar,HiddenPropValue,UseLv,MaterialPrice,Price,PriceRatio,SellPrice,RepairPriceRatio,ReinforceRatio,MaxStack,Scale,DropSoundTime,DeadBreakRatio,NumberArg1,NumberArg2,ItemCoolDown,Dur,MaxDur,repairPrice,UseCount,Hardness,ADD_MINATK,ADD_MAXATK,ADD_DEF,CRTHR,CRTATK,CRTDR,ADD_HR,ADD_DR,STR,DEX,CON,INT,MNA,SR,SDR,CRTMATK,ADD_MDEF,MGP,AddSkillMaxR,SkillRange,SkillAngle,Luck,BlockRate,BLK,BLK_BREAK,Revive,HitCount,BackHit,SkillPower,ASPD,MSPD,KDPow,MHP,MSP,MSTA,RHP,RSP,RSPTIME,RSTA,ADD_CLOTH,ADD_LEATHER,ADD_CHAIN,ADD_IRON,ADD_GHOST,ADD_SMALLSIZE,ADD_MIDDLESIZE,ADD_LARGESIZE,ADD_FORESTER,ADD_WIDLING,ADD_VELIAS,ADD_PARAMUNE,ADD_KLAIDA,Add_Damage_Atk,ADD_FIRE,ADD_ICE,ADD_POISON,ADD_LIGHTNING,ADD_EARTH,ADD_SOUL,ADD_HOLY,ADD_DARK,BaseSocket,MaxSocket_COUNT,BaseSocket_MA,MaxSocket_MA,MinOption,MaxOption,Aries,AriesDEF,Slash,SlashDEF,Strike,StrikeDEF,Aries_Range,Slash_Range,Strike_Range,MinRDmg,MaxRDmg,FDMinR,FDMaxR,TotalArrowCount,ArrowCount,RES_FIRE,RES_ICE,RES_POISON,RES_LIGHTNING,RES_EARTH,RES_SOUL,RES_HOLY,RES_DARK,LifeTime,ItemLifeTimeOver,NeedAppraisal,NeedRandomOption,LootingChance,IsAlwaysHatVisible,SkillWidthRange,DynamicLifeTime,ADD_BOSS_ATK,ClassName,Name,ItemType,Journal,GroupName,EquipGroup,EquipXpGroup,MergeTable1,MergeClass1,MergeTable2,MergeClass2,MergeTable3,MergeClass3,ToolTipScp,BasicTooltipProp,HiddenProp,TooltipImage,Icon,ReqToolTip,TooltipValue,OptDesc,Desc,DropSound,EquipSound,InOutScp,Script,DecomposeAble,Destroyable,TeamTrade,ShopTrade,MarketTrade,UserTrade,RefreshScp,DropStyle,StringArg,Usable,PreCheckScp,Consumable,UseAnim,ClientScp,ParticleName,UseTx,CoolDown,CoolDownGroup,AllowDuplicate,NotExist,LogoutSave,ClassType,ClassType2,NodeName,ModelType,FileName,AttachType,Attribute,AttackType,Material,UseJob,UseAbility,UseGender,DBLHand,EqpType,UsePetEquipGroup,PetSlot,DefaultEqpSlot,WeaponTrailEffect,BlowSoundType,DefSoundType,BlkSoundType,EqpInOut,OptionGroup,IsPrivate,LHandSkill,Reinforce_Type,ItemLifeTime,HatVisible,Extractable,LegendGroup,MarketCategory,BriquetingAble,DynamicCalcLifeTimeFunc,EnableEquipMap,RingGroup
11000000,45,10,10,0,0,0,5,10,0,430,0,0,100,0,100,100,1,0.15,0,0,0,0,0,4500,4500,0,-1,1,0,0,0,0,0,0,0,0,0,0,60,0,120,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EP12_NECK05_HIGH_001,카랄리엔 주오다 네클리스,Equip,TRUE,Armor,,Equip,Item_Opt,Item_Opt,Item_Common,Item_Common,,,ARMOR,MDEF,YES,icon_item_necklace_moth_430_03,icon_item_necklace_moth_430_03,목걸이,,,마족의 동화에서 등장하는 일곱 여왕 중 주오다 여왕을 떠올리는 네클리스입니다.{nl}주오다 여왕은 항상 칠흑처럼 어두운색의 드레스를 입고 있습니다. 밤이 되면 마계의 어디서든 어둠이 있는 곳에서 주오다 여왕의 살기가 느껴졌다고 합니다. 하지만 그녀는 그 누구보다도 마계의 백성들을 사랑했던 여왕으로 그려지고 있습니다.,item_drop_jewel,,,,YES,YES,YES,NO,YES,NO,SCR_REFRESH_ACC,Normal,,NO,,NO,,,,NO,,,YES,NO,No,Neck,,,,,Sword,Melee,,,All,,Both,NO,NECK,ALL,,NECK,,,,,,,NO,,Moru,,YES,No,,Accessory_Neck,No,,,
11000001,45,10,10,0,0,0,5,10,0,430,0,0,100,0,100,100,1,0.15,0,0,0,0,0,4500,4500,0,-1,1,0,0,0,300,0,0,0,0,0,0,35,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EP12_NECK05_HIGH_002,카랄리엔 이스가리티 네클리스,Equip,TRUE,Armor,,Equip,Item_Opt,Item_Opt,Item_Common,Item_Common,,,ARMOR,MDEF,YES,icon_item_necklace_moth_430_01,icon_item_necklace_moth_430_01,목걸이,,,"마족의 동화에서 등장하는 일곱 여왕 중 이스가리티 여왕을 떠올리는 네클리스입니다.{nl}이스가리티 여왕은 자신의 권세를 이용하여 권력을 쥐었으나, 그 영광의 시간은 단 삼 일에 지나지 않습니다. 그러나 많은 마족이 이스가리티 여왕을 사랑했으며, 경외했습니다. 이스가리티 여왕의 권세는 삼 일째에 자신의 왕좌에서 여왕이 스스로 목숨을 끊으며 끝을 맺었습니다.",item_drop_jewel,,,,YES,YES,YES,NO,YES,NO,SCR_REFRESH_ACC,Normal,,NO,,NO,,,,NO,,,YES,NO,No,Neck,,,,,Sword,Melee,,,All,,Both,NO,NECK,ALL,,NECK,,,,,,,NO,,Moru,,YES,No,,Accessory_Neck,No,,,
11000002,45,10,10,0,0,0,5,10,0,430,0,0,100,0,100,100,1,0.15,0,0,0,0,0,4500,4500,0,-1,1,0,0,2500,0,0,470,0,0,0,0,70,0,0,0,3,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EP12_NECK05_HIGH_003,카랄리엔 칸트리베 네클리스,Equip,TRUE,Armor,,Equip,Item_Opt,Item_Opt,Item_Common,Item_Common,,,ARMOR,MDEF,YES,icon_item_necklace_moth_430_02,icon_item_necklace_moth_430_02,목걸이,,,마족의 동화에서 등장하는 일곱 여왕 중 칸트리베 여왕을 떠올리는 네클리스입니다.{nl}칸트리베 여왕은 전쟁에서 승기가 적을 향해 기울자 직접 최후의 요새에서 전투를 지휘했습니다. 석 달이 넘는 공성전을 버텨내면서도 그녀는 단 한 순간도 요새의 성벽에서 내려온 적이 없었다고 합니다. 마침내 적들의 사기가 꺾인 틈을 타 반격에 성공했고 칸트리베 여왕은 최전선에서 깃발을 휘둘렀습니다.,item_drop_jewel,,,,YES,YES,YES,NO,YES,NO,SCR_REFRESH_ACC,Normal,,NO,,NO,,,,NO,,,YES,NO,No,Neck,,,,,Sword,Melee,,,All,,Both,NO,NECK,ALL,,NECK,,,,,,,NO,,Moru,,YES,No,,Accessory_Neck,No,,,
11000003,45,10,10,0,0,0,5,10,0,430,0,0,100,0,100,100,1,0.15,0,0,0,0,0,4500,4500,0,-1,1,0,0,0,0,0,470,0,0,0,0,70,0,0,0,3,0,2500,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EP12_NECK05_HIGH_004,카랄리엔 바르제라스 네클리스,Equip,TRUE,Armor,,Equip,Item_Opt,Item_Opt,Item_Common,Item_Common,,,ARMOR,MDEF,YES,icon_item_necklace_moth_430_06,icon_item_necklace_moth_430_06,목걸이,,,"마족의 동화에서 등장하는 일곱 여왕 중 바르제라스 여왕의 이름을 떠올리는 네클리스입니다.{nl}마계에 닥친 일곱 날의 대재해로 온 땅이 처참하게 변해갔을 때, 바르제라스 여왕은 자신의 목숨과 맞바꿔 마계를 살렸습니다. 바르제라스 여왕의 최후의 마법은 대재해를 멈췄지만, 지도자를 잃은 마계는 재건되기까지 오랜 세월을 소모해야 했습니다.",item_drop_jewel,,,,YES,YES,YES,NO,YES,NO,SCR_REFRESH_ACC,Normal,,NO,,NO,,,,NO,,,YES,NO,No,Neck,,,,,Sword,Melee,,,All,,Both,NO,NECK,ALL,,NECK,,,,,,,NO,,Moru,,YES,No,,Accessory_Neck,No,,,
11000004,45,10,10,0,0,0,5,10,0,430,0,0,100,0,100,100,1,0.15,0,0,0,0,0,4500,4500,0,-1,1,0,0,0,300,1700,0,0,0,75,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EP12_NECK05_HIGH_005,카랄리엔 피크티스 네클리스,Equip,TRUE,Armor,,Equip,Item_Opt,Item_Opt,Item_Common,Item_Common,,,ARMOR,MDEF,YES,icon_item_necklace_moth_430_04,icon_item_necklace_moth_430_04,목걸이,,,마족의 동화에서 등장하는 일곱 여왕 중 피크티스 여왕의 이름을 떠올리는 네클리스입니다.{nl}최악의 폭군이자 살육의 지도자인 피크티스 여왕은 광기에 미쳐 마계의 백성들을 공포에 떨게 했습니다. 그녀는 손에서 검을 놓치지 않기 위해 쇠사슬로 검을 쥔 손을 묶기도 했습니다. 거울에 비친 자신을 보며 자신을 칼로 찌를 때까지 피크티스 여왕의 분노와 광기는 아무도 멈출 수 없었습니다.,item_drop_jewel,,,,YES,YES,YES,NO,YES,NO,SCR_REFRESH_ACC,Normal,,NO,,NO,,,,NO,,,YES,NO,No,Neck,,,,,Sword,Melee,,,All,,Both,NO,NECK,ALL,,NECK,,,,,,,NO,,Moru,,YES,No,,Accessory_Neck,No,,,
11000005,45,10,10,0,0,0,5,10,0,430,0,0,100,0,100,100,1,0.15,0,0,0,0,0,4500,4500,0,-1,1,0,0,0,300,0,0,0,0,0,0,48,135,0,0,0,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EP12_NECK05_HIGH_006,카랄리엔 트리우카스 네클리스,Equip,TRUE,Armor,,Equip,Item_Opt,Item_Opt,Item_Common,Item_Common,,,ARMOR,MDEF,YES,icon_item_necklace_moth_430_05,icon_item_necklace_moth_430_05,목걸이,,,마족의 동화에서 등장하는 일곱 여왕 중 트리우카스 여왕의 이름을 떠올리는 네클리스입니다.{nl}철이 없기로 소문난 트리우카스 여왕은 단 한 순간도 진지했던 적이 없었습니다. 한때는 자신의 하인을 속이기 위해 성을 통째로 옮겨버린 적도 있습니다. 숨바꼭질하려고 숨은 여왕을 아무도 찾지 못했고 그 이후로는 아무런 흔적도 찾을 수 없었습니다.,item_drop_jewel,,,,YES,YES,YES,NO,YES,NO,SCR_REFRESH_ACC,Normal,,NO,,NO,,,,NO,,,YES,NO,No,Neck,,,,,Sword,Melee,,,All,,Both,NO,NECK,ALL,,NECK,,,,,,,NO,,Moru,,YES,No,,Accessory_Neck,No,,,
11000006,45,10,10,0,0,0,5,10,0,430,0,0,100,0,100,100,1,0.15,0,0,0,0,0,4500,4500,0,-1,1,0,0,0,0,0,0,0,0,75,75,48,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EP12_NECK05_HIGH_007,카랄리엔 프리데티 네클리스,Equip,TRUE,Armor,,Equip,Item_Opt,Item_Opt,Item_Common,Item_Common,,,ARMOR,MDEF,YES,icon_item_necklace_moth_430_07,icon_item_necklace_moth_430_07,목걸이,,,"마족의 동화에서 등장하는 일곱 여왕 중 프리데티 여왕의 이름을 떠올리는 네클리스입니다.{nl}마계의 온갖 보물을 수집하던 프리데티 여왕의 욕심은 끝날 줄을 몰랐습니다. 다채로운 색깔의 보물들을 수집하던 여왕은 어느 날, 한 마법사를 찾아가 자신을 보물로 바꿔 달라고 말했습니다. 평소 여왕의 욕심에 질려있던 마법사는 여왕을 호박으로 바꿔버렸습니다. 마법사는 그 일을 계기로 마계에서 쫓겨났고 호박은 아무런 쓸모없이 버려졌습니다.",item_drop_jewel,,,,YES,YES,YES,NO,YES,NO,SCR_REFRESH_ACC,Normal,,NO,,NO,,,,NO,,,YES,NO,No,Neck,,,,,Sword,Melee,,,All,,Both,NO,NECK,ALL,,NECK,,,,,,,NO,,Moru,,YES,No,,Accessory_Neck,No,,,
11001001,45,7,7,0,0,0,5,9,0,430,0,0,100,0,100,100,1,0.15,0,0,0,0,0,4000,4000,0,-1,1,0,0,0,0,0,0,0,0,0,0,40,0,60,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EP12_BRC05_HIGH_001,카랄리엔 주오다 브레이슬릿,Equip,TRUE,Armor,,Equip,Item_Opt,Item_Opt,Item_Common,Item_Common,,,ARMOR,MDEF,YES,icon_item_bracelet_moth_430_03,icon_item_bracelet_moth_430_03,팔찌,,,마족의 동화에서 등장하는 일곱 여왕 중 주오다 여왕을 떠올리는 브레이슬릿입니다.{nl}주오다 여왕은 항상 칠흑처럼 어두운색의 드레스를 입고 있습니다. 밤이 되면 마계의 어디서든 어둠이 있는 곳에서 주오다 여왕의 살기가 느껴졌다고 합니다. 하지만 그녀는 그 누구보다도 마계의 백성들을 사랑했던 여왕으로 그려지고 있습니다.,item_drop_jewel,,,,YES,YES,YES,NO,YES,NO,SCR_REFRESH_ACC,Normal,,NO,,NO,,,,NO,,,YES,NO,No,Ring,,,,,Sword,Melee,,,All,,Both,NO,RING,ALL,,RING,,,,,,,NO,,Moru,,YES,No,,Accessory_Band,No,,,
11001002,45,7,7,0,0,0,5,9,0,430,0,0,100,0,100,100,1,0.15,0,0,0,0,0,4000,4000,0,-1,1,0,0,0,150,0,0,0,0,0,0,20,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EP12_BRC05_HIGH_002,카랄리엔 이스가리티 브레이슬릿,Equip,TRUE,Armor,,Equip,Item_Opt,Item_Opt,Item_Common,Item_Common,,,ARMOR,MDEF,YES,icon_item_bracelet_moth_430_01,icon_item_bracelet_moth_430_01,팔찌,,,"마족의 동화에서 등장하는 일곱 여왕 중 이스가리티 여왕을 떠올리는 브레이슬릿입니다.{nl}이스가리티 여왕은 자신의 권세를 이용하여 권력을 쥐었으나, 그 영광의 시간은 단 삼 일에 지나지 않습니다. 그러나 많은 마족이 이스가리티 여왕을 사랑했으며, 경외했습니다. 이스가리티 여왕의 권세는 삼 일째에 자신의 왕좌에서 여왕이 스스로 목숨을 끊으며 끝을 맺었습니다.",item_drop_jewel,,,,YES,YES,YES,NO,YES,NO,SCR_REFRESH_ACC,Normal,,NO,,NO,,,,NO,,,YES,NO,No,Ring,,,,,Sword,Melee,,,All,,Both,NO,RING,ALL,,RING,,,,,,,NO,,Moru,,YES,No,,Accessory_Band,No,,,
11001003,45,7,7,0,0,0,5,9,0,430,0,0,100,6655,100,100,1,0.15,0,0,0,0,0,4000,4000,0,-1,1,0,0,1250,0,0,265,0,0,0,0,45,0,0,0,1,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EP12_BRC05_HIGH_003,카랄리엔 칸트리베 브레이슬릿,Equip,TRUE,Armor,,Equip,Item_Opt,Item_Opt,Item_Common,Item_Common,,,ARMOR,MDEF,YES,icon_item_bracelet_moth_430_02,icon_item_bracelet_moth_430_02,팔찌,,,마족의 동화에서 등장하는 일곱 여왕 중 칸트리베 여왕을 떠올리는 브레이슬릿입니다.{nl}칸트리베 여왕은 전쟁에서 승기가 적을 향해 기울자 직접 최후의 요새에서 전투를 지휘했습니다. 석 달이 넘는 공성전을 버텨내면서도 그녀는 단 한 순간도 요새의 성벽에서 내려온 적이 없었다고 합니다. 마침내 적들의 사기가 꺾인 틈을 타 반격에 성공했고 칸트리베 여왕은 최전선에서 깃발을 휘둘렀습니다.,item_drop_jewel,,,,YES,YES,YES,NO,YES,NO,SCR_REFRESH_ACC,Normal,,NO,,NO,,,,NO,,,YES,NO,No,Ring,,,,,Sword,Melee,,,All,,Both,NO,RING,ALL,,RING,,,,,,,NO,,Moru,,YES,No,,Accessory_Band,No,,,
