ClassID,Weight,PR,MaxPR,ItemLv,PATK,ADD_MATK,ItemGrade,ItemStar,HiddenPropValue,UseLv,MaterialPrice,Price,PriceRatio,SellPrice,RepairPriceRatio,ReinforceRatio,MaxStack,Scale,DropSoundTime,DeadBreakRatio,NumberArg1,NumberArg2,ItemCoolDown,Dur,MaxDur,repairPrice,UseCount,Hardness,ADD_MINATK,ADD_MAXATK,ADD_DEF,CRTHR,CRTATK,CRTDR,ADD_HR,ADD_DR,STR,DEX,CON,INT,MNA,SR,SDR,CRTMATK,ADD_MDEF,MGP,AddSkillMaxR,SkillRange,SkillAngle,Luck,BlockRate,BLK,BLK_BREAK,Revive,HitCount,BackHit,SkillPower,ASPD,MSPD,KDPow,MHP,MSP,MSTA,RHP,RSP,RSPTIME,RSTA,ADD_CLOTH,ADD_LEATHER,ADD_CHAIN,ADD_IRON,ADD_GHOST,ADD_SMALLSIZE,ADD_MIDDLESIZE,ADD_LARGESIZE,ADD_FORESTER,ADD_WIDLING,ADD_VELIAS,ADD_PARAMUNE,ADD_KLAIDA,ADD_FIRE,ADD_ICE,ADD_POISON,ADD_LIGHTNING,ADD_EARTH,ADD_HOLY,ADD_SOUL,ADD_DARK,BaseSocket,MaxSocket_COUNT,BaseSocket_MA,MaxSocket_MA,MinOption,MaxOption,Aries,AriesDEF,Slash,SlashDEF,Strike,StrikeDEF,Aries_Range,Slash_Range,Strike_Range,MinRDmg,MaxRDmg,FDMinR,FDMaxR,TotalArrowCount,ArrowCount,RES_FIRE,RES_ICE,RES_POISON,RES_LIGHTNING,RES_EARTH,RES_SOUL,RES_HOLY,RES_DARK,LifeTime,ItemLifeTimeOver,NeedAppraisal,NeedRandomOption,LootingChance,IsAlwaysHatVisible,SkillWidthRange,DynamicLifeTime,ADD_BOSS_ATK,ChangeBasicPropValue,ClassName,Name,ItemType,Journal,GroupName,EquipGroup,EquipXpGroup,MergeTable1,MergeClass1,MergeTable2,MergeClass2,MergeTable3,MergeClass3,ToolTipScp,BasicTooltipProp,HiddenProp,TooltipImage,Icon,ReqToolTip,TooltipValue,OptDesc,Desc,DropSound,EquipSound,InOutScp,Script,DecomposeAble,Destroyable,TeamTrade,ShopTrade,MarketTrade,UserTrade,RefreshScp,DropStyle,StringArg,Usable,PreCheckScp,Consumable,UseAnim,ClientScp,ParticleName,UseTx,CoolDown,CoolDownGroup,AllowDuplicate,NotExist,LogoutSave,ClassType,ClassType2,NodeName,ModelType,FileName,AttachType,Attribute,AttackType,Material,UseJob,UseAbility,UseGender,DBLHand,EqpType,UsePetEquipGroup,PetSlot,DefaultEqpSlot,WeaponTrailEffect,BlowSoundType,DefSoundType,BlkSoundType,EqpInOut,OptionGroup,IsPrivate,LHandSkill,Reinforce_Type,LifeTime_Limitcheck,ItemLifeTime,HatVisible,Extractable,LegendGroup,MarketCategory,BriquetingAble,DynamicCalcLifeTimeFunc,EnableEquipMap,ExpireDateTime,RingGroup
10300001,1,5,5,0,0,0,1,0,0,1,0,0,100,0,100,100,1,0.15,0,0,0,0,0,100,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Event_Hat_628376,[이벤트]하얀색 고양이 귀,Equip,FALSE,Armor,,,Item_Opt,Item_Opt,Item_Common,Item_Common,,,ARMOR,,,icon_item_catband_white,icon_item_catband_white,헤어 코스튬2,,,특정 동물에게 우호적이 됩니다.,item_drop_armor,,,,NO,NO,YES,NO,NO,NO,SCR_REFRESH_HAIRACC,Normal,,NO,,NO,,,,NO,,,YES,NO,No,Hat,,,,catband_white,Sword,Melee,,,All,,Both,NO,HAT_T,ALL,,HAT_T,,,,,,,NO,,,NO,,YES,No,,HairAcc_Acc2,No,,,,
10300002,0,1,1,0,0,0,1,0,0,1,0,0,100,0,100,100,1,0.15,0,0,0,0,0,100,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EVENT_Arbor_Day_Fundamental_T,식목일 근-본 티셔츠,Equip,FALSE,Premium,,,Item_Opt,Item_Opt,Item_Common,Item_Common,,,ARMOR,,,item_icon_EVENT_Arbor_Day_Fundamental_T,item_icon_EVENT_Arbor_Day_Fundamental_T,코스튬,,,식목일 이벤트 참여 보상 입니다.,item_drop_armor,,,,NO,NO,NO,NO,NO,NO,,Normal,,NO,,NO,,,,NO,,,NO,NO,No,Outer,Premium,,,Arbor_Day_Fundamental_T,Sword,Melee,,,All,,Both,NO,OUTER,ALL,,OUTER,,,Flesh,,,,NO,,,NO,,YES,No,,Premium_Costume,No,,,,
10300003,10,0,0,0,0,0,1,0,0,1,0,0,100,0,100,100,1,0.15,0,0,0,0,0,100,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EVENT_Guild_ABAND_01,길드 사랑 밴드 (블루),Equip,FALSE,SubWeapon,,,Item_Opt,Item_Opt,Item_Common,Item_Common,,,WEAPON,,,icon_item_armband_guild04_blue,icon_item_armband_guild04_blue,암밴드,,,통합 길드 이벤트를 기념하여 만든 암밴드입니다.,item_drop_weapon,,,,NO,YES,YES,NO,NO,NO,,Normal,,NO,,NO,,,,NO,,,YES,NO,No,Armband,Armband,Dummy_LU_armband,,#armband_guild04_blue,Sword,Melee,,,All,,Both,NO,ARMBAND,ALL,,ARMBAND,I_swordtrail003_green,Sword,,Sword,,,NO,,,NO,,YES,No,,Look_Armband,No,,,,
10300004,0,1,1,0,0,0,1,0,0,1,0,0,100,0,100,100,1,0.15,0,0,0,0,0,100,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EVENT_Summer_Watermelon_m,[이벤트] 수박 탱크탑(남),Equip,FALSE,Premium,,,Item_Opt,Item_Opt,Item_Common,Item_Common,,,ARMOR,,,item_icon_EVENT_Summer_Watermelon_m,item_icon_EVENT_Summer_Watermelon_m,코스튬,,,수박을 연상시키는 탱크탑 코스튬 입니다.,item_drop_armor,,,,NO,NO,YES,NO,NO,NO,,Normal,,NO,,NO,,,,NO,,,NO,NO,No,Outer,Premium,,,watermelon,Sword,Melee,,,All,,Male,NO,OUTER,ALL,,OUTER,,,Flesh,,,,NO,,,NO,,YES,No,,Premium_Costume,No,,,,
10300005,0,1,1,0,0,0,1,0,0,1,0,0,100,0,100,100,1,0.15,0,0,0,0,0,100,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EVENT_Summer_Watermelon_f,[이벤트] 수박 원피스(여),Equip,FALSE,Premium,,,Item_Opt,Item_Opt,Item_Common,Item_Common,,,ARMOR,,,item_icon_EVENT_Summer_Watermelon_f,item_icon_EVENT_Summer_Watermelon_f,코스튬,,,수박을 연상시키는 원피스 코스튬 입니다.,item_drop_armor,,,,NO,NO,YES,NO,NO,NO,,Normal,,NO,,NO,,,,NO,,,NO,NO,No,Outer,Premium,,,watermelon,Sword,Melee,,,All,,Female,NO,OUTER,ALL,,OUTER,,,Flesh,,,,NO,,,NO,,YES,No,,Premium_Costume,No,,,,
10300006,0,0,0,0,0,0,1,0,0,1,0,0,100,0,100,100,1,0.15,0,0,0,0,0,100,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABAND_MOONPOPO,달빛 포포리온 암밴드,Equip,FALSE,SubWeapon,,,Item_Opt,Item_Opt,Item_Common,Item_Common,,,WEAPON,,,icon_item_armband_moonpopo,icon_item_armband_moonpopo,암밴드,,,달빛 포포리온 암밴드입니다.,item_drop_weapon,,,,NO,NO,YES,NO,NO,NO,,Normal,,NO,,NO,,,,NO,,,YES,NO,No,Armband,Armband,Dummy_LU_armband,,#armband_moonpopo,Sword,Melee,,,All,,Both,NO,ARMBAND,ALL,,ARMBAND,,,,Sword,,,NO,,,NO,,YES,No,,Look_Armband,No,,,,
10300007,0,1,1,0,0,0,1,0,0,1,0,0,100,0,100,100,1,0.15,0,0,0,0,0,100,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EVENT_Police_M,순경 코스튬 (남),Equip,FALSE,Premium,,,Item_Opt,Item_Opt,Item_Common,Item_Common,,,ARMOR,,,item_icon_EVENT_Police_m,item_icon_EVENT_Police_m,코스튬,,,2020 추석 이벤트로 얻을 수 있는 코스튬 입니다.,item_drop_armor,,,,NO,NO,YES,NO,YES,NO,,Normal,,NO,,NO,,,,NO,,,NO,NO,No,Outer,Premium,,,EventPolice,Sword,Melee,,,All,,Male,NO,OUTER,ALL,,OUTER,,,Flesh,,,,NO,,,NO,,YES,No,,Premium_Costume,No,,,,
10300008,0,1,1,0,0,0,1,0,0,1,0,0,100,0,100,100,1,0.15,0,0,0,0,0,100,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EVENT_Police_F,순경 코스튬 (여),Equip,FALSE,Premium,,,Item_Opt,Item_Opt,Item_Common,Item_Common,,,ARMOR,,,item_icon_EVENT_Police_f,item_icon_EVENT_Police_f,코스튬,,,2020 추석 이벤트로 얻을 수 있는 코스튬 입니다.,item_drop_armor,,,,NO,NO,YES,NO,YES,NO,,Normal,,NO,,NO,,,,NO,,,NO,NO,No,Outer,Premium,,,EventPolice,Sword,Melee,,,All,,Female,NO,OUTER,ALL,,OUTER,,,Flesh,,,,NO,,,NO,,YES,No,,Premium_Costume,No,,,,
10300009,0,1,1,0,0,0,1,0,0,1,0,0,100,0,100,100,1,0.15,0,0,0,0,0,100,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209600,0,0,0,0,0,0,0,0,0,EVENT_Police_M_14d,[이벤트] 순경 코스튬 (남)(14일),Equip,FALSE,Premium,,,Item_Opt,Item_Opt,Item_Common,Item_Common,,,ARMOR,,,item_icon_EVENT_Police_m,item_icon_EVENT_Police_m,코스튬,,,2020 추석 이벤트로 얻을 수 있는 코스튬 입니다.{nl}※14일 기간제 아이템 입니다.,item_drop_armor,,,,NO,NO,YES,NO,NO,NO,,Normal,,NO,,NO,,,,NO,,,NO,NO,No,Outer,Premium,,,EventPolice,Sword,Melee,,,All,,Male,NO,OUTER,ALL,,OUTER,,,Flesh,,,,NO,,,NO,,YES,No,,Premium_Costume,No,,,,
10300010,0,1,1,0,0,0,1,0,0,1,0,0,100,0,100,100,1,0.15,0,0,0,0,0,100,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209600,0,0,0,0,0,0,0,0,0,EVENT_Police_F_14d,[이벤트] 순경 코스튬 (여)(14일),Equip,FALSE,Premium,,,Item_Opt,Item_Opt,Item_Common,Item_Common,,,ARMOR,,,item_icon_EVENT_Police_f,item_icon_EVENT_Police_f,코스튬,,,2020 추석 이벤트로 얻을 수 있는 코스튬 입니다.{nl}※14일 기간제 아이템 입니다.,item_drop_armor,,,,NO,NO,YES,NO,NO,NO,,Normal,,NO,,NO,,,,NO,,,NO,NO,No,Outer,Premium,,,EventPolice,Sword,Melee,,,All,,Female,NO,OUTER,ALL,,OUTER,,,Flesh,,,,NO,,,NO,,YES,No,,Premium_Costume,No,,,,
