ClassID,contents_num,reward_id,ClassName,season_idx,RankType,start_date,end_date,Interval,Desc
1,0,0,Dummy,,,,,,더미
7,1,1,7,20210705,All,2021-07-05 06:00:00,2021-07-11 23:59:59,Week,주간
8,1,1,8,20210712,All,2021-07-12 06:00:00,2021-07-18 23:59:59,Week,주간
9,1,1,9,20210719,All,2021-07-19 06:00:00,2021-07-25 23:59:59,Week,주간
10,1,1,10,20210726,All,2021-07-26 06:00:00,2021-08-01 23:59:59,Week,주간
11,1,1,11,20210802,All,2021-08-02 06:00:00,2021-08-08 23:59:59,Week,주간
12,1,1,12,20210809,All,2021-08-09 06:00:00,2021-08-15 23:59:59,Week,주간
13,1,1,13,20210816,All,2021-08-16 06:00:00,2021-08-22 23:59:59,Week,주간
14,1,1,14,20210823,All,2021-08-23 06:00:00,2021-08-29 23:59:59,Week,주간
15,1,1,15,20210830,All,2021-08-30 06:00:00,2021-09-05 23:59:59,Week,주간
16,1,1,16,20210906,All,2021-09-06 06:00:00,2021-09-12 23:59:59,Week,주간
17,1,1,17,20210913,All,2021-09-13 06:00:00,2021-09-19 23:59:59,Week,주간
18,1,1,18,20210920,All,2021-09-20 06:00:00,2021-09-26 23:59:59,Week,주간
19,1,1,19,20210927,All,2021-09-27 06:00:00,2021-10-03 23:59:59,Week,주간
20,1,1,20,20211004,All,2021-10-04 06:00:00,2021-10-10 23:59:59,Week,주간
21,1,1,21,20211011,All,2021-10-11 06:00:00,2021-10-17 23:59:59,Week,주간
22,1,1,22,20211018,All,2021-10-18 06:00:00,2021-10-24 23:59:59,Week,주간
23,1,1,23,20211025,All,2021-10-25 06:00:00,2021-10-31 23:59:59,Week,주간
24,1,1,24,20211101,All,2021-11-01 06:00:00,2021-11-07 23:59:59,Week,주간
25,1,1,25,20211108,All,2021-11-08 06:00:00,2021-11-14 23:59:59,Week,주간
26,1,1,26,20211115,All,2021-11-15 06:00:00,2021-11-21 23:59:59,Week,주간
27,1,1,27,20211122,All,2021-11-22 06:00:00,2021-11-28 23:59:59,Week,주간
28,1,1,28,20211129,All,2021-11-29 06:00:00,2021-12-05 23:59:59,Week,주간
29,1,1,29,20211206,All,2021-12-06 06:00:00,2021-12-12 23:59:59,Week,주간
30,1,1,30,20211213,All,2021-12-13 06:00:00,2021-12-19 23:59:59,Week,주간
31,1,1,31,20211220,All,2021-12-20 06:00:00,2021-12-26 23:59:59,Week,주간
32,1,1,32,20211227,All,2021-12-27 06:00:00,2022-01-02 23:59:59,Week,주간
