ClassID,SilverCost,MaterialCnt_1,MaterialCnt_2,ClassName,Material_1,Material_2
1,20000000,300,50,CompositionCost,misc_Relic_Gem,Premium_item_transcendence_Stone
2,10000000,400,800,DecomposeResult,misc_Relic_Gem,misc_Relic_Gem
101,20000000,500,20,RelicGem_Upgrade_Lv1,misc_Relic_Gem,Premium_item_transcendence_Stone
102,40000000,1000,25,RelicGem_Upgrade_Lv2,misc_Relic_Gem,Premium_item_transcendence_Stone
103,60000000,2000,30,RelicGem_Upgrade_Lv3,misc_Relic_Gem,Premium_item_transcendence_Stone
104,80000000,5000,50,RelicGem_Upgrade_Lv4,misc_Relic_Gem,Premium_item_transcendence_Stone
105,160000000,10000,75,RelicGem_Upgrade_Lv5,misc_Relic_Gem,Premium_item_transcendence_Stone
106,200000000,10000,100,RelicGem_Upgrade_Lv6,misc_Relic_Gem,Premium_item_transcendence_Stone
107,300000000,15000,150,RelicGem_Upgrade_Lv7,misc_Relic_Gem,Premium_item_transcendence_Stone
108,400000000,15000,200,RelicGem_Upgrade_Lv8,misc_Relic_Gem,Premium_item_transcendence_Stone
109,600000000,20000,300,RelicGem_Upgrade_Lv9,misc_Relic_Gem,Premium_item_transcendence_Stone
