ClassID,Price,RankLimit,BuyLimit,ClassName,ShopType,ItemName,ResetType,ResetProp
101,190,2,32767,product_ep13_f_siauliai_1_1,REPUTATION_ep13_f_siauliai_1,vakarine_card_reinforce_misc_1,,product_ep13_f_siauliai_1_1
102,60,2,32767,product_ep13_f_siauliai_1_2,REPUTATION_ep13_f_siauliai_1,dalia_card_reinforce_misc_2,,product_ep13_f_siauliai_1_2
103,10,2,3,product_ep13_f_siauliai_1_3,REPUTATION_ep13_f_siauliai_1,Ghaca_kingdom_misc_box,WEEK,product_ep13_f_siauliai_1_3
104,660,3,3,product_ep13_f_siauliai_1_4,REPUTATION_ep13_f_siauliai_1,Goddess_card_Reinforce,WEEK,product_ep13_f_siauliai_1_4
105,370,3,32767,product_ep13_f_siauliai_1_5,REPUTATION_ep13_f_siauliai_1,goddess_reinforce_misc,,product_ep13_f_siauliai_1_5
106,60,3,32767,product_ep13_f_siauliai_1_6,REPUTATION_ep13_f_siauliai_1,austeja_card_reinforce_misc_3,,product_ep13_f_siauliai_1_6
107,100,3,32767,product_ep13_f_siauliai_1_7,REPUTATION_ep13_f_siauliai_1,R_Potion_Demon_HIGH_DMG_UP,,product_ep13_f_siauliai_1_7
108,50000,4,1,product_ep13_f_siauliai_1_8,REPUTATION_ep13_f_siauliai_1,Goddess_card_EP13_Lada,NO_RESET,product_ep13_f_siauliai_1_8
109,60,4,32767,product_ep13_f_siauliai_1_9,REPUTATION_ep13_f_siauliai_1,saule_card_reinforce_misc_4,,product_ep13_f_siauliai_1_9
110,100,4,3,product_ep13_f_siauliai_1_10,REPUTATION_ep13_f_siauliai_1,Drug_Looting_Potion_1000,WEEK,product_ep13_f_siauliai_1_10
111,2500,5,1,product_ep13_f_siauliai_1_11,REPUTATION_ep13_f_siauliai_1,EP13_reputation_costume_1,,product_ep13_f_siauliai_1_11
112,2500,5,1,product_ep13_f_siauliai_1_12,REPUTATION_ep13_f_siauliai_1,EP13_reputation_costume_2,,product_ep13_f_siauliai_1_12
113,200,5,32767,product_ep13_f_siauliai_1_13,REPUTATION_ep13_f_siauliai_1,randombox_ep13reputation_forest,,product_ep13_f_siauliai_1_13
114,500,5,1,product_ep13_f_siauliai_1_14,REPUTATION_ep13_f_siauliai_1,housing_forest_bg_unlock,NO_RESET,product_ep13_f_siauliai_1_14
201,190,2,32767,product_ep13_f_siauliai_2_1,REPUTATION_ep13_f_siauliai_2,lada_card_reinforce_misc_1,,product_ep13_f_siauliai_2_1
202,60,2,32767,product_ep13_f_siauliai_2_2,REPUTATION_ep13_f_siauliai_2,vakarine_card_reinforce_misc_2,,product_ep13_f_siauliai_2_2
203,20,2,20,product_ep13_f_siauliai_2_3,REPUTATION_ep13_f_siauliai_2,R_Potion_Instance_phill,DAY,product_ep13_f_siauliai_2_3
204,660,3,3,product_ep13_f_siauliai_2_4,REPUTATION_ep13_f_siauliai_2,Goddess_card_Reinforce,WEEK,product_ep13_f_siauliai_2_4
205,370,3,32767,product_ep13_f_siauliai_2_5,REPUTATION_ep13_f_siauliai_2,goddess_reinforce_misc,,product_ep13_f_siauliai_2_5
206,60,3,32767,product_ep13_f_siauliai_2_6,REPUTATION_ep13_f_siauliai_2,dalia_card_reinforce_misc_3,,product_ep13_f_siauliai_2_6
207,100,3,32767,product_ep13_f_siauliai_2_7,REPUTATION_ep13_f_siauliai_2,R_Potion_Wild_HIGH_DMG_UP,,product_ep13_f_siauliai_2_7
208,50000,4,1,product_ep13_f_siauliai_2_8,REPUTATION_ep13_f_siauliai_2,Goddess_card_EP13_Saule,NO_RESET,product_ep13_f_siauliai_2_8
209,60,4,32767,product_ep13_f_siauliai_2_9,REPUTATION_ep13_f_siauliai_2,austeja_card_reinforce_misc_4,,product_ep13_f_siauliai_2_9
210,50,4,3,product_ep13_f_siauliai_2_10,REPUTATION_ep13_f_siauliai_2,R_Potion_duration_Elixir,DAY,product_ep13_f_siauliai_2_10
211,2500,5,1,product_ep13_f_siauliai_2_11,REPUTATION_ep13_f_siauliai_2,EP13_reputation_costume_3,,product_ep13_f_siauliai_2_11
212,2500,5,1,product_ep13_f_siauliai_2_12,REPUTATION_ep13_f_siauliai_2,EP13_reputation_costume_4,,product_ep13_f_siauliai_2_12
213,200,5,32767,product_ep13_f_siauliai_2_13,REPUTATION_ep13_f_siauliai_2,randombox_ep13reputation_flowershop,,product_ep13_f_siauliai_2_13
214,500,5,1,product_ep13_f_siauliai_2_14,REPUTATION_ep13_f_siauliai_2,housing_flowershop_bg_unlock,NO_RESET,product_ep13_f_siauliai_2_14
301,190,2,32767,product_ep13_f_siauliai_3_1,REPUTATION_ep13_f_siauliai_3,saule_card_reinforce_misc_1,,product_ep13_f_siauliai_3_1
302,60,2,32767,product_ep13_f_siauliai_3_2,REPUTATION_ep13_f_siauliai_3,lada_card_reinforce_misc_2,,product_ep13_f_siauliai_3_2
303,30,2,32767,product_ep13_f_siauliai_3_3,REPUTATION_ep13_f_siauliai_3,God_Potion_ATK,,product_ep13_f_siauliai_3_3
304,660,3,3,product_ep13_f_siauliai_3_4,REPUTATION_ep13_f_siauliai_3,Goddess_card_Reinforce,WEEK,product_ep13_f_siauliai_3_4
305,370,3,32767,product_ep13_f_siauliai_3_5,REPUTATION_ep13_f_siauliai_3,goddess_reinforce_misc,,product_ep13_f_siauliai_3_5
306,60,3,32767,product_ep13_f_siauliai_3_6,REPUTATION_ep13_f_siauliai_3,vakarine_card_reinforce_misc_3,,product_ep13_f_siauliai_3_6
307,100,3,32767,product_ep13_f_siauliai_3_7,REPUTATION_ep13_f_siauliai_3,R_Potion_Bug_HIGH_DMG_UP,,product_ep13_f_siauliai_3_7
