ClassID,Circle_1,Circle_2,Circle_3,Circle_4,Circle_5,Circle_6,Circle_7,Circle_8
1,19.78022,19.852942,19.895288,19.921875,19.940475,19.953596,19.963032,19.969744
2,39.56044,39.558823,39.685863,39.765625,39.82143,39.86079,39.889095,19.939486
3,59.12088,59.117645,59.371727,59.53125,59.642857,59.721577,59.778187,19.90923
4,78.46154,78.52941,78.95288,79.21875,79.40476,79.535965,79.63032,19.878971
5,97.58242,97.79412,98.42932,98.828125,99.10714,99.30395,99.44547,19.848715
6,116.48351,116.911766,117.80105,118.359375,118.75,119.02552,119.22366,19.818457
7,135.16484,135.88235,137.06807,137.8125,138.33333,138.7007,138.96487,19.7882
8,153.62637,154.70589,156.23036,157.1875,157.85715,158.32947,158.66913,19.757942
9,171.86813,173.38235,175.28796,176.48438,177.32143,177.91183,178.33641,19.727686
10,189.8901,191.91176,194.24084,195.70312,196.7262,197.4478,197.96674,19.697428
11,207.6923,210.29411,213.089,214.84375,216.07143,216.93735,217.56007,19.667171
12,225.27472,228.52942,231.83246,233.90625,235.35715,236.38051,237.11646,19.636913
13,242.63736,246.61765,250.4712,252.89062,254.58333,255.77727,256.63586,19.606657
14,259.7802,264.55884,269.00525,271.79688,273.75,275.12762,276.1183,19.576399
15,276.7033,282.35294,287.43454,290.625,292.85715,294.43155,295.56378,19.546143
16,293.4066,300,305.75916,309.375,311.90475,313.6891,314.97226,19.515884
17,309.8901,317.5,323.97906,328.04688,330.89285,332.90024,334.3438,19.485628
18,326.15384,334.85294,342.09424,346.64062,349.82144,352.06497,353.67838,19.45537
19,342.1978,352.05884,360.1047,365.15625,368.6905,371.1833,372.97598,19.425114
20,358.02197,369.11765,378.01047,383.59375,387.5,390.25522,392.2366,19.394855
21,373.62637,386.02942,395.81152,401.95312,406.25,409.28073,411.46027,19.3646
22,389.011,402.79413,413.50784,420.23438,424.9405,428.25986,430.64694,19.334341
23,404.1758,419.41177,431.0995,438.4375,443.57144,447.19257,449.79666,19.304085
24,419.12088,435.88235,448.5864,456.5625,462.14285,466.0789,468.90942,19.273827
25,433.84616,452.20587,465.9686,474.60938,480.65475,484.9188,487.9852,19.24357
26,448.35165,468.38235,483.24606,492.57812,499.10715,503.7123,507.02402,19.213314
27,462.63736,484.41177,500.41885,510.46875,517.5,522.4594,526.0259,19.183056
28,476.7033,500.29413,517.48694,528.28125,535.8333,541.1601,544.9908,19.1528
29,490.54944,516.0294,534.45026,546.0156,554.1071,559.8144,563.91864,19.122541
30,504.1758,531.6177,551.3089,563.6719,572.3214,578.4223,582.80963,19.092285
31,517.5824,547.05884,568.0628,581.25,590.4762,596.98376,601.6636,19.062027
32,530.7692,562.35297,584.71204,598.75,608.5714,615.49884,620.4806,19.03177
33,543.73627,577.5,601.25653,616.1719,626.6071,633.9675,639.2606,19.001513
34,556.4835,592.5,617.69635,633.5156,644.5833,652.3898,658.0037,18.971256
35,569.011,607.35297,634.03143,650.78125,662.5,670.7657,676.7098,18.940998
36,581.31866,622.05884,650.2618,667.96875,680.3571,689.09515,695.3789,18.910742
37,593.4066,636.6177,666.38745,685.0781,698.1548,707.3782,714.0111,18.880484
38,605.2747,651.0294,682.4084,702.1094,715.8929,725.61487,732.60626,18.850227
39,616.9231,665.2941,698.3246,719.0625,733.5714,743.8051,751.1645,18.81997
40,628.3516,679.41174,714.1361,735.9375,751.1905,761.949,769.6858,18.789713
41,639.5604,693.3823,729.84296,752.7344,768.75,780.0464,788.17004,18.759455
42,650.54944,707.2059,745.445,769.4531,786.25,798.0975,806.6174,18.729198
43,661.31866,720.8823,760.9424,786.09375,803.6905,816.1021,825.0277,18.69894
44,671.8681,734.41174,776.3351,802.65625,821.0714,834.0603,843.4011,18.668684
45,682.1978,747.7941,791.62305,819.1406,838.3929,851.97217,861.73755,18.638426
46,692.3077,761.0294,806.8063,835.5469,855.6548,869.8376,880.037,18.60817
47,702.1978,774.1177,821.8848,851.875,872.8571,887.6566,898.29944,18.577911
48,711.8681,787.05884,836.85864,868.125,890,905.42926,916.52496,18.547655
49,721.31866,799.85297,851.7277,884.2969,907.0833,923.15546,934.7135,18.517399
50,730.54944,812.5,866.4921,900.3906,924.1071,940.83527,952.86505,18.48714
