ClassID,BonusRate,ClassName
20009,1,ComboBonus_8
20008,1,ComboBonus_7
20007,1,ComboBonus_6
20006,1,ComboBonus_5
20005,1,ComboBonus_4
20004,1,ComboBonus_3
20003,1,ComboBonus_2
20002,1,ComboBonus_1
20001,1,ComboBonus_0
20010,1,ComboBonus_9
20011,1.03,ComboBonus_10
20012,1.05,ComboBonus_11
20013,1.07,ComboBonus_12
20014,1.09,ComboBonus_13
20015,1.11,ComboBonus_14
20016,1.13,ComboBonus_15
20017,1.15,ComboBonus_16
20018,1.17,ComboBonus_17
20019,1.19,ComboBonus_18
20020,1.21,ComboBonus_19
20021,1.23,ComboBonus_20
20022,1.25,ComboBonus_21
20023,1.27,ComboBonus_22
20024,1.29,ComboBonus_23
20025,1.31,ComboBonus_24
20026,1.33,ComboBonus_25
20027,1.33,ComboBonus_26
20028,1.33,ComboBonus_27
20029,1.33,ComboBonus_28
20030,1.33,ComboBonus_29
20031,1.33,ComboBonus_30
20032,1.35,ComboBonus_31
20033,1.35,ComboBonus_32
20034,1.35,ComboBonus_33
20035,1.35,ComboBonus_34
20036,1.35,ComboBonus_35
20037,1.45,ComboBonus_36
20038,1.45,ComboBonus_37
20039,1.45,ComboBonus_38
20040,1.45,ComboBonus_39
20041,1.45,ComboBonus_40
20042,1.5,ComboBonus_41
20043,1.5,ComboBonus_42
20044,1.5,ComboBonus_43
20045,1.5,ComboBonus_44
20046,1.5,ComboBonus_45
20047,1.55,ComboBonus_46
20048,1.55,ComboBonus_47
20049,1.55,ComboBonus_48
20050,1.55,ComboBonus_49
20051,1.55,ComboBonus_50
20052,1.6,ComboBonus_51
20053,1.6,ComboBonus_52
20054,1.6,ComboBonus_53
20055,1.6,ComboBonus_54
20056,1.6,ComboBonus_55
20057,1.65,ComboBonus_56
20058,1.65,ComboBonus_57
20059,1.65,ComboBonus_58
20060,1.65,ComboBonus_59
20061,1.65,ComboBonus_60
20062,1.7,ComboBonus_61
20063,1.7,ComboBonus_62
20064,1.7,ComboBonus_63
20065,1.7,ComboBonus_64
20066,1.7,ComboBonus_65
20067,1.75,ComboBonus_66
20068,1.75,ComboBonus_67
20069,1.75,ComboBonus_68
20070,1.75,ComboBonus_69
20071,1.75,ComboBonus_70
20072,1.8,ComboBonus_71
20073,1.8,ComboBonus_72
20074,1.8,ComboBonus_73
20075,1.8,ComboBonus_74
20076,1.8,ComboBonus_75
20077,1.85,ComboBonus_76
20078,1.85,ComboBonus_77
20079,1.85,ComboBonus_78
20080,1.85,ComboBonus_79
20081,1.85,ComboBonus_80
20082,1.9,ComboBonus_81
20083,1.9,ComboBonus_82
20084,1.9,ComboBonus_83
20085,1.9,ComboBonus_84
20086,1.9,ComboBonus_85
20087,1.95,ComboBonus_86
20088,1.95,ComboBonus_87
20089,1.95,ComboBonus_88
20090,1.95,ComboBonus_89
20091,2,ComboBonus_90
20092,2,ComboBonus_91
20093,2,ComboBonus_92
20094,2,ComboBonus_93
20095,2,ComboBonus_94
20096,2,ComboBonus_95
20097,2,ComboBonus_96
20098,2,ComboBonus_97
20099,2,ComboBonus_98
20100,2,ComboBonus_99
