ClassID,UnlockArgNum,MaxLevel,Price1,Time1,Price2,Time2,Price3,Time3,Price4,Time4,Price5,Time5,Price6,Time6,Price7,Time7,Price8,Time8,Price9,Time9,Price10,Time10,ClassName,UnlockScr,UnlockArgStr,UnlockDesc,ScrCalcPrice
101,200,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Linker8,UNLOCK_BASE_LEVEL,,캐릭터 200레벨 이상,ABIL_COMMON_PRICE_200LV
102,200,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Linker9,UNLOCK_BASE_LEVEL,,캐릭터 200레벨 이상,ABIL_COMMON_PRICE_200LV
103,200,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Linker10,UNLOCK_BASE_LEVEL,,캐릭터 200레벨 이상,ABIL_COMMON_PRICE_200LV
104,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Linker25,UNLOCK_ABIL_SKILL,Linker_JointPenalty,조인트 페널티 1레벨 이상,ABIL_REINFORCE_PRICE
201,250,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Linker17,UNLOCK_BASE_LEVEL,,캐릭터 250레벨 이상,ABIL_COMMON_PRICE_250LV
301,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Linker18,UNLOCK_ABIL_SKILL,Linker_ElectricShock,일렉트릭 쇼크 1레벨 이상,ABIL_REINFORCE_PRICE
302,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Linker27,UNLOCK_BASE_LEVEL,,캐릭터 200레벨 이상,ABIL_COMMON_PRICE_200LV
401,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Linker22,UNLOCK_ABIL_SKILL,Linker_ChainGrip,체인 그립 1레벨 이상,ABIL_REINFORCE_PRICE
501,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Linker23,UNLOCK_ABIL_SKILL,Linker_HangmansKnot,행맨스 낫 1레벨 이상,ABIL_REINFORCE_PRICE
1001,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Linker21,UNLOCK_ABIL_JOB_LEVEL,Char5_9,링커 클래스 45레벨 이상,HIDDENABIL_PRICE_COND_JOBLEVEL
1101,65,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Linker20,UNLOCK_ABIL_OTHERABILITY,Linker18,[일렉트릭 쇼크: 강화] 특성 65 레벨 달성,HIDDENABIL_PRICE_COND_REINFORCE
1102,65,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Linker26,UNLOCK_ABIL_OTHERABILITY,Linker25,[조인트 페널티: 강화] 특성 65 레벨 달성,HIDDENABIL_PRICE_COND_REINFORCE
1103,65,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Linker24,UNLOCK_ABIL_OTHERABILITY,Linker23,[행맨스 낫: 강화] 특성 65 레벨 달성,HIDDENABIL_PRICE_COND_REINFORCE
