ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,103.61393,135.05151,-1015.8622,0
2,2,116.67346,135.05151,-941.8572,0
3,3,129.10886,135.05151,-832.0879,0
4,4,129.83104,135.05151,-727.82764,0
6,5,130.34415,135.33968,-619.1278,0
7,6,131.47548,141.37158,-515.8482,0
8,7,131.48932,141.37158,-413.15826,0
9,8,132.49904,141.37158,-311.1528,0
10,9,132.40547,141.37158,-213.61485,0
11,10,192.5103,135.4515,-120.46927,0
12,11,152.05557,135.4515,-6.370667,0
13,12,113.38846,135.4515,60.280155,0
14,13,24.49205,135.4515,68.68586,0
15,14,-32.057026,135.4515,68.19275,0
17,16,117.5583,135.4515,139.55812,0
18,17,208.8715,135.4515,168.14783,0
19,18,284.396,135.4515,201.1214,0
20,19,295.75177,135.4515,305.02994,0
21,20,393.8834,135.4515,293.77277,0
22,21,496.66882,135.4515,293.18747,0
23,22,605.913,135.4515,291.86514,0
24,23,699.5819,135.4515,274.6303,0
25,24,738.2788,135.4515,353.5981,0
26,25,764.66364,141.6476,442.5133,0
27,26,801.10376,192.97089,522.4975,0
28,27,824.5063,200.36508,611.89813,0
29,28,917.5309,200.36508,587.03357,0
30,29,939.2557,200.36508,669.56067,0
31,30,960.48035,200.36508,758.16003,0
32,31,1061.3351,200.36508,742.7893,0
33,32,1118.7579,200.36508,743.6952,0
35,34,983.9928,200.36508,866.3828,0
36,35,872.4625,200.36508,870.7891,0
37,36,753.8229,200.36508,881.6665,0
38,37,656.6094,209.48889,914.90045,0
39,38,571.8734,224.7842,929.3558,0
40,39,384.0473,236.84282,889.4416,0
41,40,472.9816,236.84282,921.8419,0
42,41,282.82938,236.84282,906.5232,0
43,42,64.03876,236.84282,896.697,0
44,43,65.85068,236.84282,793.45764,0
46,44,183.61725,236.84282,862.838,0
47,45,-32.455196,236.84282,807.2828,0
48,46,-134.02414,236.84282,817.7619,0
49,47,-389.49808,236.84282,910.60443,0
51,49,-33.93657,255.4515,69.692856,0
52,50,514.2184,135.05151,-810.82635,0
53,51,-610.257,245.15918,718.78253,0
54,52,-540.98737,298.05438,945.1067,0
55,53,283.55984,390.84283,907.8119,0
56,54,1121.4738,300.36508,743.68945,-180
57,55,-390.56937,386.84283,911.08,0
58,56,-178.66649,236.84282,906.4728,0
59,57,-291.85205,236.84282,914.5629,0
60,59,48.407883,135.05151,-1041.968,0
