ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,-1464.3179,82.11206,908.5184,0
2,1,-1517.7621,82.11206,755.8438,0
3,1,-1369.3477,82.11206,723.65234,0
4,1,-1316.6898,76.38686,278.80084,0
5,1,-1134.0933,105.51447,218.45108,0
6,1,-1042.3595,126.61806,-149.11794,0
7,1,-1162.9873,138.15158,-261.07535,0
8,1,-1295.7047,160.03232,-238.50653,0
9,1,-1462.8285,206.57996,-275.29745,0
10,1,-1616.6766,201.24283,-389.89835,0
11,1,-1684.5974,201.24283,-502.128,0
12,1,-1696.0776,201.24283,-628.5141,0
13,1,-1667.25,203.89395,-149.1126,0
14,1,-1626.5415,204.14459,118.33064,0
15,1,-1044.3295,1.3252106,412.2334,0
16,1,-732.53314,90.903824,238.90059,0
17,1,-601.71497,97.94484,145.91101,0
18,1,-641.2242,112.105,-115.5664,0
19,1,-639.23016,102.33595,-382.94073,0
20,1,-650.558,104.1133,-570.54083,0
21,1,-630.2591,66.61384,-795.05865,0
22,1,-865.6754,1.6733551,-1123.3159,0
23,1,-954.8801,1.6733551,-1315.5519,0
24,1,-845.3574,2.2427669,-1456.5984,0
25,1,-669.34644,2.2973862,-1341.1201,0
26,1,-738.18945,4.466812,-1232.951,0
27,1,-478.39062,14.8965,-1107.4896,0
28,1,-400.99622,18.366438,-1040.9974,0
29,1,-79.380165,83.451675,-673.5159,0
30,1,-40.44996,83.45168,-507.6454,0
31,1,62.11225,83.45168,-416.66376,0
32,1,339.68286,83.451675,-534.80804,0
33,1,140.37703,83.451675,-724.75024,0
34,1,10.499771,83.451675,-853.75104,0
35,1,193.8874,83.451675,-897.8154,0
36,1,506.11456,93.720245,-417.97748,0
37,1,622.6256,93.720245,-330.9575,0
38,1,651.73145,138.9889,-221.43599,0
39,1,848.22046,118.34379,-79.46461,0
40,1,937.4247,81.7879,-2.0738888,0
41,1,1009.5062,81.7879,110.99191,0
42,1,1026.9541,85.181854,212.64235,0
43,1,1157.2155,77.89638,308.8753,0
44,1,1358.9637,75.50612,332.04514,0
45,1,1346.6343,73.952095,151.8546,0
46,1,1442.6365,73.19942,53.73739,0
47,1,1547.5503,75.50612,141.79645,0
48,1,1529.0542,75.50612,269.51498,0
49,1,1099.9806,80.07587,-147.64305,0
50,1,1007.6379,56.79727,-417.06616,0
51,1,1184.2083,34.421135,-302.0775,0
52,1,1331.3431,20.32962,-240.24976,0
53,1,1326.3602,20.32962,-334.42804,0
54,1,1440.2148,20.32962,-337.21634,0
55,1,1534.5426,20.32962,-312.59583,0
56,1,1623.937,20.32962,-189.53864,0
57,1,1133.484,85.26289,-572.70905,0
58,1,1104.3192,101.49815,-660.3495,0
59,1,1088.743,172.62178,-982.02405,0
60,1,1228.818,172.62178,-1012.6176,0
61,1,886.7602,115.78629,-1029.4856,0
62,1,784.2881,85.36299,-1141.4263,0
63,1,540.2803,85.36299,-1094.245,0
64,1,536.07007,85.36299,-1242.9702,0
65,1,617.55505,85.36299,-1296.3756,0
66,1,659.8929,85.36299,-1221.0652,0
67,1,642.0354,85.36299,-1051.0542,0
68,1,1437.5105,85.00557,-1023.0971,0
69,1,1550.7001,85.00557,-1089.8394,0
70,1,1642.6553,85.00557,-1125.7766,0
71,1,1614.8607,85.00557,-960.83765,0
72,1,-1105.5626,25.10785,-1330.4954,0
73,1,-1269.1775,47.889587,-1289.7557,0
74,1,-1395.916,33.351322,-1283.0118,0
75,1,-1588.3877,1.2944489,-1283.5334,0
76,1,-1646.6073,1.2944489,-1287.2473,0
77,1,-1589.9193,1.2944489,-1030.1941,0
78,1,-1599.7938,1.2944489,-1140.9149,0
79,2,-1452.9779,82.11206,800.94305,0
80,2,-1396.691,82.11206,698.2928,0
81,2,-1129.0864,92.91725,367.29828,0
82,2,-1290.5659,167.46774,-184.97398,0
83,2,-1542.9286,206.57996,-356.9961,0
84,2,-1687.5981,201.24283,-702.48676,0
85,2,-1697.6287,204.14459,92.58261,0
86,2,-551.4842,97.94484,223.5447,0
87,2,-531.334,112.105,-144.51756,0
88,2,-498.0102,102.33595,-471.2388,0
89,2,-658.2781,17.664402,-925.8338,0
90,2,-326.62308,66.41316,-919.8495,0
91,2,-69.32798,83.451675,-809.27344,0
92,2,306.4763,83.451675,-459.85934,0
93,2,-34.362617,83.45168,-376.08517,0
94,2,624.25037,114.57407,-274.09952,0
95,2,960.523,85.181854,207.33334,0
96,2,1345.2238,73.19942,90.07993,0
97,2,1445.8378,75.50611,303.26974,0
98,2,1018.9196,80.07587,-255.80467,0
99,2,1480.6093,20.32962,-250.9302,0
100,2,1205.4663,85.26289,-526.6923,0
101,2,1202.7483,172.62178,-941.1706,0
102,2,1555.5454,85.00557,-925.6958,0
103,2,1371.2585,85.00557,-1079.0417,0
104,2,703.6191,85.36299,-954.02686,0
105,2,556.275,85.36299,-1176.039,0
106,2,-767.84235,2.2973862,-1407.7454,0
107,2,-793.99146,4.466812,-1233.918,0
108,2,-1637.5256,1.2944489,-1187.6797,0
109,2,-1160.0789,37.55722,-1255.6272,0
110,3,-1149.2715,105.51447,116.86903,0
111,3,-656.91156,97.94484,208.18901,0
112,3,-1157.8763,109.72718,508.59988,0
113,3,-1355.3762,185.37227,-182.93526,0
114,3,-1761.3142,201.24283,-574.5426,0
115,3,-1628.8667,204.14459,-71.29288,0
116,3,-516.69025,102.33595,-419.4957,0
117,3,-701.6984,1.6733551,-1074.1968,0
118,3,-1310.704,45.226665,-1334.5135,0
119,3,-1489.5942,11.943972,-1296.5646,0
120,3,-232.69334,83.451675,-778.9763,0
121,3,387.13187,83.451675,-678.3113,0
122,3,748.61926,144.67206,-171.94473,0
123,3,1042.6572,80.07587,-196.3019,0
124,3,1451.2208,75.50612,195.57727,0
125,3,1594.1545,20.32962,-231.11972,0
126,3,1141.4795,172.62178,-961.3732,0
127,3,1522.0957,85.00557,-1017.6693,0
128,3,655.8467,85.36299,-973.79193,0
129,4,-1178.6702,111.9461,434.03497,0
130,4,-1088.4038,105.51447,130.72423,0
131,4,-1411.9272,200.05324,-223.1206,0
132,4,-1724.6146,201.24283,-520.879,0
133,4,-1679.3628,204.14459,-109.45006,0
134,4,-671.8737,97.94484,151.43657,0
135,4,-535.59436,102.33595,-465.30734,0
136,4,-760.72345,1.6733551,-1098.1929,0
137,4,-1239.4894,48.10107,-1342.3146,0
138,4,-1568.9962,1.2944489,-1209.9723,0
139,4,-196.19826,83.451675,-720.1571,0
140,4,308.4248,83.451675,-689.96173,0
141,4,754.77893,144.67206,-100.16594,0
142,4,1386.1292,75.50612,188.12279,0
143,4,1599.7676,20.32962,-315.53662,0
144,4,1073.8362,80.07587,-252.31161,0
145,4,1144.649,172.62178,-1013.399,0
146,4,1608.848,85.00557,-1024.3774,0
147,4,589.035,85.36299,-1011.6447,0
148,5,-1231.3707,92.91725,286.98022,0
149,5,-1640.0542,204.14459,64.687546,0
150,5,-887.5039,1.6733551,-1380.4065,0
151,5,-641.49915,104.1133,-661.21893,0
152,5,113.44614,83.45168,-406.20175,0
153,5,1038.1365,81.7879,-17.79081,0
154,5,1302.7356,75.50612,338.87833,0
155,5,1564.4774,20.32962,-392.97028,0
156,5,1602.5981,85.00557,-1163.7965,0
157,5,703.4546,85.36299,-1144.1176,0
158,6,-1528.7306,82.11206,887.30414,0
159,6,-1785.2823,201.24283,-682.67267,0
160,6,-129.06664,83.451675,-898.88513,0
161,6,1154.6068,85.26289,-516.5475,0
162,6,1025.3029,159.49878,-965.0375,0
163,6,1389.6765,73.19942,55.71731,0
164,7,-1692.463,201.24283,-409.147,0
165,7,-635.1582,14.8965,-1163.1858,0
166,7,121.20826,83.45168,-618.2806,0
167,7,1338.5607,75.50612,250.29893,0
168,7,1431.7567,20.32962,-277.9061,0
169,7,1596.9629,85.00557,-1087.5382,0
170,7,597.94507,85.36299,-1238.3604,0
172,10,84.77685,83.45169,-322.81134,-85
173,11,190.41,85.75,467.01,30
174,12,185,83,753,0
175,13,-1780,150,820,180
176,14,-1690,82,885,0
177,15,-1519.1062,82.11206,813.1846,0
178,15,-1121.2214,105.51447,283.70523,0
179,15,-1042.4717,129.94653,-187.28789,0
180,15,-1533.994,206.57996,-308.76538,0
181,15,-1710.0967,201.24283,-705.85187,0
182,15,-1734.7832,204.14459,78.65671,0
183,15,-592.49963,97.94484,206.33862,0
184,15,-645.35516,102.33595,-327.25,0
185,15,-663.8197,38.916496,-858.6164,0
186,15,-691.08386,2.2973862,-1375.8706,0
187,15,-904.45325,1.6733551,-1170.2933,0
188,15,-1295.1924,46.652687,-1259.5599,0
189,15,-1642.936,1.2944489,-1094.4628,0
190,15,-261.85574,83.451675,-821.31287,0
191,15,-126.41933,83.451675,-578.73267,0
192,15,97.26975,83.451675,-922.44604,0
193,15,334.21436,83.451675,-574.5325,0
194,15,197.05162,83.45168,-440.56616,0
195,15,647.12024,144.67206,-100.4148,0
196,15,959.1811,81.7879,99.07042,0
197,15,1228.6289,75.50612,219.94826,0
198,15,985.8461,80.07587,-264.29037,0
199,15,1340.384,20.32962,-176.81523,0
200,15,1084.6313,172.62178,-1019.1996,0
201,15,1456.5027,85.00557,-1083.4933,0
202,15,808.2132,85.46031,-1047.3564,0
