ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,-1036.8384,-1.1565475,-598.9962,0
2,2,-959.3026,-1.1565416,-519.32526,0
3,3,-881.52936,-1.1565452,-447.559,0
4,4,-802.57904,-1.1565416,-394.62747,0
5,5,-720.38226,-1.1565475,-366.18243,0
6,6,-683.32446,-1.1565449,-442.2512,0
7,7,-760.1963,-1.1565472,-350.5682,0
8,8,-600.9118,-1.1565475,-530.02136,0
9,9,-432.99542,-1.1565502,-676.4278,0
10,10,-345.23553,-1.1565422,-731.4783,0
11,11,-245.23996,-1.2242308,-767.027,0
12,12,-165.11414,-1.1656536,-755.59644,0
14,14,-86.46379,-1.1821482,-817.5511,0
16,16,14.780288,-1.1565475,-816.9547,0
18,18,106.2749,-1.1565475,-804.59375,0
19,19,199.12665,-1.1565421,-768.728,0
25,25,286.1417,-1.1565514,-727.96295,0
27,27,334.12054,-1.1565475,-629.124,0
29,29,423.99487,-1.1565478,-575.6836,0
31,31,467.11923,-1.1565483,-486.42386,0
33,33,564.8471,-1.1565406,-459.457,0
35,35,636.65955,-1.1565459,-391.53787,0
36,36,274.28934,-1.1565503,-850.3662,-55
37,37,276.6522,-1.156551,-838.93384,30
38,38,-115.68808,-1.1565475,-901.5564,0
39,39,-134.56541,-1.1565475,-991.7896,0
40,40,-130.96683,-1.1565475,-933.53467,90
41,41,-119.43795,-1.1565475,-933.43317,0
43,43,-217.5021,-1.1565452,-1091.0752,0
44,44,-174.71906,-1.156546,-1211.5502,0
45,45,276.7802,-1.1565498,-827.27893,0
46,46,284.6083,-1.1565475,-931.1718,0
47,47,254.34749,-1.1565475,-1026.8188,0
48,48,353.97052,-1.1565491,-1081.4204,0
49,49,717.4676,-1.1565429,-334.02298,0
50,50,755.485,-1.156546,-363.41107,-30
51,51,761.6094,-1.156547,-368.47412,55
52,52,793.8175,-1.1565517,-401.01013,0
53,54,988.1386,-1.1565471,-521.2625,0
54,56,905.79193,-1.1565475,-545.6175,0
55,57,-514.63293,-1.1565399,-618.1741,0
56,58,-160.39961,-1.1565504,-1135.6006,0
57,59,-145.76935,-1.1565475,-1064.8794,0
58,60,406.41663,-1.1565475,-1018.3858,0
59,61,373.58838,-1.1565475,-940.71844,0
60,62,957.1609,-1.1565455,-441.3936,0
61,63,867.3291,-1.1565479,-466.24658,0
62,64,-311.1198,79.74097,-573.3087,-70
63,65,-245.52846,79.85956,-568.68274,-120
64,66,-67.35158,79.84525,-578.97174,-120
65,67,40.898457,79.85956,-558.78284,-60
66,68,-360.70206,79.85956,-554.03937,0
67,69,31.716099,79.85956,-551.7467,30
68,70,487.3303,77.297165,-162.59863,150
69,71,477.10242,79.74438,-127.68876,65
70,72,713.9479,-1.1565437,-240.13586,0
71,73,715.31866,-1.156547,-139.48546,0
72,74,719.2364,-1.1565459,-34.277233,0
75,77,637.9756,-1.1786644,7.159619,0
78,80,565.51263,52.834595,-21.84555,-99
79,81,550.5321,58.3136,-82.26427,179
80,82,499.02557,79.85956,35.027153,150
81,83,500.43796,78.744064,12.679489,180
82,84,233.15726,79.81007,212.4279,180
83,85,436.64542,79.85956,-24.625309,94
84,86,431.9863,79.85956,82.536194,101
85,87,417.95032,79.85956,182.4919,159
86,88,43.499718,149.93816,-133.9451,-45
87,89,40.221207,150.06851,-133.0712,45
88,90,334.64005,79.85956,229.51459,0
89,91,311.3389,79.85956,134.07492,0
90,92,310.20264,79.85956,42.17365,0
91,93,320.09967,79.85956,-56.589905,0
93,95,315.61316,79.908356,-143.12027,0
94,96,230.34949,79.85956,-189.52678,0
95,98,-44.824024,153.97984,-171.4984,-45
96,99,93.15375,149.0014,-32.45082,-45
97,100,146.63116,149.30136,39.090565,-45
98,101,157.44203,149.10184,85.353386,0
99,102,113.65739,149.13368,207.16566,0
100,103,162.73297,79.85956,-272.27576,0
101,104,98.15551,79.85956,-354.4344,0
102,105,16.33288,79.85956,-399.07236,0
103,106,-66.66819,96.673325,-414.48322,0
104,107,-122.54881,96.88016,-322.9668,0
105,108,-29.052406,98.52823,-287.41788,0
106,109,-16.589169,158.84901,-221.20767,0
108,111,-490.2429,-1.1565475,-687.2659,0
109,112,-180.64087,-1.1565524,-857.3768,0
110,113,115.58254,-1.1565415,-714.34094,0
111,114,401.18655,-1.1565475,-690.0549,0
112,115,515.68115,-1.1565435,-374.86136,0
113,116,630.2215,-1.1565435,-103.36891,0
114,117,-88.23257,149.03006,-138.28322,0
115,118,-88.81728,149.06702,6.602152,0
116,119,-26.891655,149.06702,76.3047,0
117,120,28.020237,149.06702,139.98056,0
118,122,212.7078,80.3919,-131.83836,0
120,124,-93.40746,96.88016,-353.54495,0
121,125,-148.51883,149.08467,-52.85751,0
122,126,-247.70824,149.10968,-49.463017,0
123,127,-342.84128,149.10968,-62.078888,0
124,128,-440.27893,149.10968,-80.302925,0
125,129,-537.7088,149.10968,-78.212906,0
126,130,-624.05853,175.67014,-65.519066,0
127,131,-704.7503,203.33705,-39.743843,0
128,132,-766.23975,237.29634,21.872032,0
129,133,-845.655,241.05203,106.16513,0
130,134,-930.0377,241.05203,189.45142,0
131,135,-863.10767,241.05203,265.16977,0
132,136,-796.5191,241.05203,329.34256,0
133,137,-734.0857,241.05203,394.64703,0
134,138,-731.69574,241.05203,503.9654,0
135,139,-620.56256,241.05203,607.88477,0
136,140,-525.8323,241.05203,588.35614,0
137,141,-481.79428,241.05203,669.58905,0
138,142,-413.1658,241.05203,743.17035,0
139,143,-336.38876,241.05203,815.58105,0
141,145,-240.04863,241.05203,799.35236,0
142,146,-151.87576,241.05203,754.2059,0
144,148,-49.889427,203.94366,614.6893,0
145,149,-19.375837,172.48456,527.9423,0
146,150,12.418118,149.10968,444.22003,0
147,151,95.35824,149.10968,494.38437,0
149,152,107.70442,149.10968,701.4888,90
150,153,162.69757,149.10968,794.2407,40
151,154,104.3046,149.10968,535.5903,90
152,155,103.36226,149.10968,523.8316,0
153,156,108.74385,149.10968,595.2132,0
155,159,241.42967,149.10968,903.0467,0
156,160,-311.1068,149.10968,-0.05783081,0
157,161,-566.18805,149.10968,-142.38454,0
158,162,-812.731,235.50278,-24.055737,0
159,163,-874.56226,241.05203,366.2594,0
160,164,-585.631,241.05203,438.8629,0
161,165,-570.23956,241.05203,706.6948,0
162,166,-282.51645,241.05203,687.3569,0
163,167,-27.791676,217.14337,680.89276,0
164,147,-87.96147,228.18533,680.88617,0
165,168,-2.6937675,79.85956,-457.2093,0
166,169,323.49094,81.75952,-210.9479,-45
167,170,-711.3159,241.05203,593.4888,0
168,171,598.58405,-1.2210747,223.93689,150
169,172,642.42004,-1.1565427,268.49295,140
170,173,698.855,-1.1565543,198.15546,0
171,174,569.9594,-1.1565475,327.87207,0
172,175,159.53568,152.48483,-106.86702,130
173,176,230.28632,150.84657,-29.895554,130
174,177,107.96509,130.43434,-136.64871,50
175,178,-642.26825,-1.1565475,-486.5139,45
176,179,60.92343,-1.1565475,-811.99414,90
177,180,720.3537,-1.1565522,-86.32279,0
