ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,749.15295,160.55502,-142.89001,0
2,2,651.2758,160.555,-125.65355,0
3,3,554.0641,160.555,-134.37744,0
4,4,453.8072,160.555,-165.60744,0
5,5,354.0565,160.563,-197.06128,0
6,6,261.35077,160.75305,-216.93053,0
7,7,255.26347,160.555,-318.14954,0
8,8,258.95526,160.55504,-405.98215,0
9,9,203.99371,160.55507,-484.44504,0
10,10,115.84985,160.55504,-506.02487,0
11,11,254.34538,160.555,-291.79214,100
12,12,177.89342,160.555,-310.19772,130
13,13,252.7667,160.555,-288.75986,0
14,14,167.6396,160.97179,-229.96844,0
15,15,65.28779,160.555,-245.7203,0
16,16,-35.615623,160.555,-257.2985,0
17,17,-135.7024,160.555,-269.10162,0
18,18,-236.12173,160.55502,-294.09714,0
19,19,-230.04813,160.555,-398.05164,0
20,20,-333.58957,160.555,-416.63397,0
21,21,-437.0331,160.555,-433.6956,0
22,22,-511.2629,169.3097,-352.97903,0
23,23,-611.86194,169.3097,-335.67725,0
24,24,-692.0627,169.30968,-263.83417,0
25,25,-772.44183,208.2247,-190.51042,0
26,26,-715.7601,171.91872,-252.34328,130
27,27,-732.846,178.76154,-255.91371,45
28,28,-864.0665,214.36746,-200.10388,0
29,29,-758.3153,208.2247,-120.33503,0
30,30,439.69873,160.555,-114.8424,90
31,31,510.94443,160.555,-42.48798,0
32,32,648.1492,202.29597,-9.301486,70
33,33,664.95856,207.20389,-9.808501,-30
34,34,-491.28143,171.06662,-252.95221,0
35,35,-491.8699,169.62231,-176.23071,0
36,36,-413.29678,211.29692,-106.40515,0
37,37,-318.40796,275.34387,-99.65323,0
38,38,-344.262,255.58064,-118.64931,0
39,39,-455.68658,179.58333,-124.54215,0
40,40,-451.75436,185.2121,-108.30703,100
41,41,-225.91702,326.75024,-82.18681,0
42,42,-340.86157,160.555,-301.9245,0
43,43,575.99457,160.555,-69.13193,0
44,44,249.00768,160.83992,-144.91205,0
45,45,9.05694,160.555,-224.1856,0
46,46,-582.6896,169.33632,-218.87729,0
47,47,-264.57437,302.46906,-111.31058,-169
48,48,-134.38606,372.5725,-50.444626,0
49,49,-34.335583,344.54443,-30.78836,0
50,50,58.99752,318.29166,-15.337149,0
51,51,161.11816,350.74316,-12.93552,0
52,52,262.6694,348.71936,11.765659,0
53,53,336.1833,312.0165,72.89671,0
54,54,351.11588,435.4686,140.47287,96
55,55,498.6031,322.51532,128.16348,0
56,56,394.91,304.78967,-5.952344,100
57,57,-170.25067,366.4282,64.2896,0
58,58,-20.2324,369.3186,71.589554,0
59,59,248.44774,426.2998,236.3477,100
60,60,265.498,426.2998,229.42502,0
61,61,-39.800255,365.9291,64.89796,100
