ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,182.79436,176.67984,-1293.0781,0
2,2,189.88474,176.67984,-1196.1173,0
3,3,193.58852,176.67984,-1102.4725,0
4,4,185.16534,176.67984,-1012.2013,0
5,5,174.42813,176.67984,-924.49725,0
6,6,104.00086,176.67984,-840.3926,0
7,7,94.987465,176.68489,-737.3131,0
8,8,95.45711,176.69061,-639.9183,0
9,9,95.991974,176.69324,-534.93994,0
10,10,99.92959,175.86572,-435.61798,0
11,11,103.84021,175.84752,-328.76584,0
12,12,69.34818,175.94124,-230.45273,0
13,13,70.306725,175.9384,-124.64185,0
14,14,99.56185,175.86554,-425.60944,90
15,15,99.97052,175.86469,-418.81015,0
16,16,120.51715,176.67984,-1064.3069,0
17,17,41.28732,176.8308,-795.8441,0
18,18,53.475487,175.92941,-477.262,0
19,19,-279.99942,186.80284,-493.10196,0
20,20,-207.12146,183.94373,-242.46094,130
21,21,-180.92657,186.58154,-189.75146,130
22,22,-138.625,202.97343,-168.17183,130
23,23,-244.00575,175.98373,-415.8161,0
24,24,-178.13994,175.98373,-356.92538,0
25,25,-101.44665,175.98373,-304.72357,0
26,26,-17.509325,175.98373,-253.25032,0
27,27,73.87744,175.92784,-23.888653,0
28,28,-108.28267,176.74254,-44.207405,-15
29,29,-103.51226,175.98373,-47.71193,75
30,30,92.975075,175.92703,71.38226,0
31,31,106.22591,175.97485,168.2029,0
32,32,-35.889076,176.13191,276.13495,0
33,33,-86.03958,176.13441,275.2866,0
34,34,-139.40854,291.73132,274.5775,0
35,35,19.395988,176.12515,276.19952,0
36,36,107.87297,176.06718,263.45447,0
37,37,-176.24947,323.75717,246.37967,-90
38,38,-220.4168,353.7894,54.708332,130
39,39,-246.04565,365.8085,29.016657,130
40,40,-199.42119,321.06488,151.34709,30
41,42,-169.76929,294.2229,178.62616,-82
42,43,-143.77094,317.45618,89.35919,-141
43,44,-199.92953,339.00983,17.058277,130
44,45,-274.77533,383.4541,-110.88056,130
46,47,-561.49664,320.23535,122.76509,100
47,48,-634.14294,320.66302,106.18287,100
48,49,-577.6262,330.93173,51.06791,30
49,50,-502.4296,457.458,-75.50793,30
50,51,-582.12305,332.87888,59.285988,30
51,52,-218.80008,360.9328,23.586668,-142
52,53,-307.54315,383.4541,-38.81215,174
53,54,-377.1736,328.69006,-100.05389,66
54,55,-528.2923,323.51788,66.13164,-64
55,56,-437.674,324.6042,-84.03152,-24
56,57,-536.5338,370.64432,-42.463432,30
57,58,-307.01147,392.50058,-168.72095,130
58,59,-380.81027,391.62683,-241.7476,130
59,60,-499.96796,448.7325,-51.940975,130
60,61,-385.68878,390.0296,-34.07259,175
61,62,-440.6185,410.67422,-15.331356,94
62,63,-237.15866,369.6933,-122.0265,130
63,64,-437.05252,447.19998,130.4015,-88
65,66,-441.77246,431.49414,28.211657,0
66,67,-538.6229,324.6042,16.02289,0
68,69,-616.4608,365.11627,14.639507,0
69,70,-586.7378,319.63354,117.93739,0
70,71,-682.3016,483.43304,-73.561745,0
71,72,-669.8944,487.0215,-64.010376,100
72,73,-697.42303,506.3773,-98.2339,20
73,74,-675.69147,506.3773,-159.72469,20
74,75,-656.4058,506.3773,-210.08844,20
75,76,-470.3878,458.0776,-202.00446,100
76,77,-527.92926,491.33755,-230.80641,100
77,78,-583.27826,502.00076,-252.93747,100
78,79,-629.9798,533.9297,-282.92914,100
79,80,-610.0969,481.34476,-72.0027,20
80,81,-614.83026,425.93683,-24.79372,20
81,82,-370.3702,434.66638,113.20401,30
82,83,138.7718,175.84752,-186.80219,0
83,84,4.129513,175.98373,1.725039,0
84,85,183.92548,175.93623,214.22917,0
85,86,-528.0098,445.26724,-175.96175,0
86,87,-671.02405,500.60834,-5.067711,0
87,88,-739.7162,500.60834,-18.462124,0
88,89,-799.9527,500.6003,-103.28275,0
89,90,-911.1219,511.65427,-157.4243,30
90,91,-914.389,500.58777,-143.07489,110
93,94,-131.94623,176.42474,435.72906,0
94,95,-132.7331,176.40698,581.9052,0
95,96,-137.50499,176.38406,595.2648,90
96,97,-870.43866,508.2062,212.85959,45
97,98,-935.0714,508.19937,281.81152,45
99,100,-865.2515,538.4097,393.46683,65
100,101,-773.27454,584.3783,342.3633,65
102,103,-868.81354,500.6083,50.941254,0
103,104,-937.38605,500.60834,132.4077,0
104,105,-994.3339,500.60834,219.38051,0
105,106,-1023.6909,500.60834,325.75702,0
106,107,-973.801,500.60834,420.02542,0
107,108,-903.51227,500.60834,503.85892,0
108,109,-839.40436,500.60834,581.9791,0
109,110,-739.39215,560.03424,603.7977,0
110,111,-642.25696,565.0386,614.30304,0
111,112,-645.62866,525.20355,470.87595,150
112,113,-1065.6273,500.60834,257.03464,0
114,115,-886.1904,500.60834,135.89575,0
115,116,-849.0229,500.60834,634.68933,0
116,118,-413.3255,283.0306,266.63757,130
117,119,-400.60977,277.85132,243.14165,30
118,120,-552.23206,368.02588,672.58527,0
119,121,-462.35135,376.22736,594.45197,0
120,122,-596.64355,317.57135,255.52866,0
121,123,-620.30585,367.51797,567.11786,0
122,124,-436.16235,278.956,462.84824,0
123,125,-131.52066,176.2809,642.2314,0
124,126,-135.8891,176.44304,443.2335,90
125,127,-218.4144,176.24228,638.9973,0
126,128,-373.67252,372.4656,629.991,0
127,129,-300.8529,352.20068,700.7905,0
128,130,-215.17026,363.27966,752.1436,0
129,131,-127.05004,348.9562,763.387,0
130,132,-108.07128,349.30646,767.3993,0
131,133,-99.3145,354.25943,800.85,100
132,134,-55.53123,371.17584,827.12976,0
133,135,-19.06483,353.17096,796.91736,-42
134,136,66.816696,342.7737,755.9999,0
135,137,156.71219,345.22946,762.947,48
136,138,270.55914,345.44513,765.3452,-98
137,141,605.68665,177.24474,-194.8354,0
138,142,606.29755,176.57054,-105.92773,0
139,143,613.9301,176.05838,-12.312759,0
140,144,620.0996,176.11076,84.49083,0
141,145,626.29034,186.1386,170.49846,0
142,146,626.39087,148.10762,267.94592,0
143,147,628.4616,176.57991,371.38586,0
144,148,623.3078,185.48074,461.59998,0
145,149,614.62897,176.29242,552.9036,0
146,150,612.5109,176.38348,626.79724,0
147,151,629.0988,148.10762,326.4194,0
148,152,200.47992,370.9653,830.68097,88
149,153,202.1685,363.6291,898.9518,86
150,154,34.767025,331.10944,732.14606,90
151,155,117.22243,333.0182,736.0495,90
152,156,188.60898,363.6935,966.6907,0
153,157,730.21704,177.54521,-630.34503,0
154,158,779.65686,185.45259,-354.9819,0
155,159,725.1117,180.08345,-264.87576,0
156,160,701.2099,177.01437,-174.28893,0
157,161,705.4674,176.27487,-81.63202,0
158,162,701.5679,176.12822,10.117986,0
159,163,685.2698,173.45004,105.76348,0
160,164,683.9664,143.2701,204.60637,0
