ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,1891.9817,-126.85046,-388.07092,0
2,2,1586.9854,-128.35445,-132.6602,-90
3,3,1599.8776,0.91963196,470.08563,90
4,4,2184.3904,0.91963196,480.75885,90
5,5,2181.095,-125.17831,-80.32453,90
6,6,1822.2352,-157.38527,-465.29053,9
7,7,1826.7667,-157.38527,-487.39893,91
8,8,1953.4038,-157.38527,-461.4131,-87
9,9,1937.6611,-157.38527,-470.60803,-8
10,10,1821.6779,-157.38527,-584.79504,91
11,11,1825.5326,-157.38527,-567.03577,-107
12,12,1858.3649,-125.8316,-422.8796,-97
13,13,1930.4329,-125.85282,-421.40964,-97
14,14,1942.0332,-157.38527,-515.24023,-98
15,15,1943.6871,-157.38527,-538.9835,81
16,16,1927.2748,109.18075,740.5197,-69
17,17,1983.8,-127.02932,6.899456,-80
18,18,1498.7207,27.150055,828.23486,-72
19,19,2003.0732,-127.02959,-28.057627,93
20,20,1970.4711,-127.02867,-27.406143,86
21,21,-642.07935,-134.62225,-58.467033,-118
22,22,-641.2117,-134.62225,-90.47173,111
23,23,1890.304,-157.38527,-461.57166,-72
24,24,1685.1858,-127.02124,19.75056,-77
25,25,1102.1627,-139.5452,310.61658,-91
26,26,1876.1091,-157.38527,-547.89325,-68
27,27,1893.8115,-126.55708,-395.6186,0
28,28,1501.069,26.880487,570.41125,0
29,29,-286.86,-131.62079,-250.71446,0
30,30,3243.2144,0.9619508,484.2336,0
31,31,1893.8862,-157.38527,-586.0467,-92
32,32,1613.2191,-127.1853,-71.507164,0
33,32,1612.1079,-127.30516,-204.1716,0
34,32,2144.7861,-127.0312,-19.954865,-171
35,32,2146.6235,-127.03119,-148.93584,-178
36,32,1473.1417,0.91963196,522.161,-86
37,32,1532.3464,0.91963196,523.1144,-101
38,32,594.1059,-139.2175,-142.91528,6
39,32,1246.5161,-137.66742,-132.72617,-164
40,32,87.62735,-162.3,-313.489,-78
41,32,3208.3623,-160.4947,91.603065,-175
42,33,3773.703,1,625.7218,-94
43,34,717.2319,-139.13461,306.24335,-9
44,34,813.5759,-148.12704,70.349976,75
45,35,975.9125,-137.47577,-136.92723,-82
46,36,969.30237,-136.81699,209.53304,98
47,36,786.1227,-137.38913,-134.56265,-73
48,37,917.3158,-148.12706,65.80245,75
49,38,1014.9932,-148.12709,69.594345,89
50,39,667.499,-137.76256,82.51191,0
51,39,1147.4124,-138.92816,-176.56659,-171
