ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,-1077.49,500.61,332.74,-62,오르샤 알림판
2,2,-133.44,175.98,-285.69,-17,[대장장이]{nl}  일라나이
3,3,21,176,154,33.07,[장비 상인]{nl}      율라
4,4,384.97,175.85,231.72,-150,오르샤 주민
5,5,86.99,176.27,713.25,-80,"  [오르샤 영주]{nl}이네사 해먼데일"
7,7,140.98,176.28,712.85,-110,영주 호위병
8,8,895.18,176.37,702.91,-90,[오르샤 주교]{nl}   우르보나스
9,9,231,175,166,30,[잡화 상인]{nl}      알프
10,10,0,176,150,0,UnvisibleName
11,11,462.19174,175.92143,-29.93526,-101,[악세서리 상인]{nl}        유르스
101,101,-887.55,500.6,-85.23,10,[펠타스타 서브 마스터]{nl}        니린 다메오프
102,102,-1070.18,500.61,229.96,-2,[하플라이트 마스터]{nl}    아이다스 베일러
103,103,-269.96,175.98,-378.04,-10,[클레릭 서브 마스터]{nl}      타마라 이스턴
104,104,-612.21,368.42,608.86,-16,[크리비 서브 마스터]{nl}      멀린다 디체린
105,105,723.44,176.38,642.36,-75,[프리스트 서브 마스터]{nl}              보이라
106,106,462.4,176.4,608.87,-90,[보코르 서브 마스터]{nl}      보보 아이슬린
107,107,-464.48,280.14,371.74,-65,[로델레로 마스터]{nl}        카미야
108,108,934.65,73.98,146.95,-19,[캐터프랙터 마스터]{nl}      메멧 쿨라그
110,110,942.27,73.98,475.77,5,[팔라딘 서브 마스터]{nl}      실비아 나이몬
112,112,915.74,176.36,708.51,-69,사제 프라나스
113,113,-1422.59,472.79,368.31,168,렘파라사 연못
114,114,1443.58,21.82,343.89,0,덧댄다리 숲
115,6,40.71,176.27,713.98,-76,영주 호위병
116,109,1130.38,21.82,361.98,3,[사두 마스터]{nl}아고타 한스카
117,100,236.57,176.41,648.6,-89,[소드맨 서브 마스터]{nl}              코딜
118,111,-603.11,368.12,641.37,-12,성화대
119,115,103.14,176.14,322.95,-136,여신 아우슈리네의 상
120,116,-274.29,177.5,-758.49,0,[위저드 서브 마스터]{nl}          데어미스
121,117,-198.66,177.43,-899.4,0,"[파이로맨서 서브 마스터]{nl}        캐시 나이머스 "
122,118,1035.62,73.98,79.04,-90,[크리오맨서 서브 마스터]{nl}       옥타비아 이프린
123,119,-859.85,500.61,586.16,-90,[사이코키노 마스터]{nl}       일리 테리드
124,120,609.44,148.11,341.2,0,[링커 마스터]{nl}  위노나 엔데
125,121,235.47,176.68,-827.3,-90,[쏘마터지 서브 마스터]{nl}          디머 팔론
126,122,-647.75,317.8,289.48,-45,[엘리멘탈리스트 마스터]{nl}         위칸 셀레스틱
127,123,-182.95,176.24,658.06,-90,[아처 서브 마스터]{nl}         거니슨
128,124,691.07,177.47,-197.58,0,[레인저 서브 마스터]{nl}            쉬바
129,125,584.31,175.85,138.14,-45,[쿼렐슈터 서브 마스터]{nl}            쇼리스
130,126,50.122803,175.98373,-332.2393,0,[새퍼 서브 마스터]{nl}     주빈 케타르
131,127,-1098.89,177.96,-648.37,0,[헌터 서브 마스터]{nl}       발킨 브론
132,128,-89.38,177.22,-755.54,-90,[무고사 마스터]{nl}        워 팻
133,129,-967.44,177.67,-562.9,-90,[스카우트 서브 마스터]{nl}               쉬나
134,130,-109.36502,176.29112,362.76505,14,[컴패니언 상인]{nl}        토라스
135,131,-126.39848,176.35779,394.70178,5,벨하이더
136,132,213.96463,175.8581,-12.915084,-86,[마켓 관리인]{nl}    틸리아나
137,133,320.21655,175.88518,69.16746,0,[창고지기]{nl}    아이사
138,134,-985.94714,500.60834,415.81525,0,[마법협회 오르샤 지부]{nl}           플로아나
139,135,-451.51416,324.6042,-89.63361,0,[바이보라의 날개]{nl}        라시아
140,136,41,176,-14,0,[TP상인]{nl}   레티샤
141,137,-42,176,207,0,이주민 소녀
142,138,-203,176,537,0,이주민 청년
144,142,-143.07272,175.98373,-203.09024,22,UnvisibleName
145,143,-167.75511,181.37395,-212.6962,113,UnvisibleName
146,149,-100.20944,181.64766,-203.31357,0,UnvisibleName
150,150,-461.54,505.13,-277,-135,보물 상자 LV1
151,151,113.87823,176.67984,-1352.2808,0,그림자없는 NPC
1000,1000,-52,176,-229,0,
1002,1002,-662.88,318.51,118.74,0,
152,100020,-451.22076,324.6042,-154.9817,0,게시판
