ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,28.360447,-0.49172974,1276.7471,86
2,2,-1461.9841,197.164,-1121.876,-93
3,3,-63.747856,-0.49172974,1166.0608,-49
4,4,-81.51931,-0.49172974,1156.8132,-45
5,5,1519.9462,-44.36599,802.22144,0
6,6,1931.37,-33.07492,864.05005,-13
7,7,1904.6284,-33.07492,758.18774,169
8,9,1950.1395,-33.07492,863.86774,-90
9,10,1350.6901,-67.66515,597.5013,0
10,10,1269.6531,-67.665276,999.4004,0
11,10,838.88245,-67.66489,597.0768,0
12,10,1112.6707,-67.6651,661.5764,0
13,10,842.99695,-67.6649,949.50024,0
14,10,1368.0032,-67.6653,797.858,0
15,10,1039.9703,-67.66501,919.8528,0
16,11,-1480.9158,64.24306,901.44727,0
17,12,-1679.9252,37.375805,1465.3524,-50
18,13,-1679.0605,37.375706,1491.4594,41
19,14,-1580.0596,37.375793,1415.8093,0
20,15,1837.2878,209.544,181.44704,-75
21,16,1775.9159,209.54436,192.83821,0
22,17,1857.397,209.54413,200.31508,-43
30,19,-1338.0931,116.32394,-86.071365,0
31,20,-723.26935,209.26843,-694.38654,0
32,21,-722.51135,209.26845,-837.6592,0
33,22,-672.9658,209.26859,-795.34924,-133
34,22,-676.6739,209.26863,-893.21545,47
35,23,-775.65015,209.26852,-651.9524,132
36,24,-764.61053,209.26845,-683.9967,-93
37,25,1985.59,-33.07,821.63,0
38,26,2002.22,-33.07,972.94,0
39,27,1929.1938,-33.07492,905.2536,-108
40,28,-371.6191,-0.49172974,794.0121,0
41,28,304.85278,-0.49160767,795.8134,0
42,28,1022.3701,-67.66511,710.8158,0
43,28,1300.3693,-67.66526,846.3564,0
44,28,1067.3878,-28.369013,1363.7881,0
45,28,1783.7811,-33.07492,796.95636,0
47,28,797.97894,131.20766,-39.01883,0
48,28,1289.6746,131.20778,-39.54998,0
49,28,809.02966,48.988873,-900.1825,0
50,28,1266.9066,48.988342,-957.0189,0
51,28,1.2872314,49.974365,-73.25833,0
53,28,-836.69995,116.13842,-28.894585,0
