ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,-891.88696,-122.85829,-1429.5535,180,래스보이 호숫가
2,2,-672.19196,-122.85829,-1443.6582,0,나무뿌리 수정
3,2,-723.93115,-62.01092,-1040.6302,0,나무뿌리 수정
4,2,-819.4157,-62.010914,-722.72864,0,나무뿌리 수정
5,2,-568.715,-62.010918,-820.3939,0,나무뿌리 수정
6,2,-306.21136,-107.37157,-879.04193,0,나무뿌리 수정
7,2,-142.25787,-107.37158,-1090.2874,0,나무뿌리 수정
8,2,-16.912825,-107.37158,-898.28613,0,나무뿌리 수정
9,2,122.57979,-59.448265,-736.36444,0,나무뿌리 수정
10,2,280.09033,0.17767411,-337.91193,0,나무뿌리 수정
11,2,413.2021,0.17765597,-651.0377,0,나무뿌리 수정
12,2,614.98663,0.17761914,-440.71088,0,나무뿌리 수정
13,2,471.1905,0.17764989,-92.37758,0,나무뿌리 수정
14,2,795.6318,0.17759241,-255.21811,0,나무뿌리 수정
15,2,720.7905,0.17761602,81.24414,0,나무뿌리 수정
16,2,-306.1287,63.794933,-170.98431,0,나무뿌리 수정
17,2,39.601746,63.794907,184.70868,0,나무뿌리 수정
18,2,494.31598,63.794952,499.1725,0,나무뿌리 수정
19,2,709.02673,63.79491,-1052.0337,0,나무뿌리 수정
20,2,1052.0508,63.794914,-845.8561,0,나무뿌리 수정
21,2,1381.3856,63.794956,-442.32483,0,나무뿌리 수정
22,2,1009.7322,28.85426,430.42407,0,나무뿌리 수정
23,2,1528.2562,7.741574,262.3002,0,나무뿌리 수정
24,2,1396.5388,-0.22858861,802.82007,0,나무뿌리 수정
25,2,1473.2072,-9.43313,570.21265,0,나무뿌리 수정
26,2,999.1199,45.87775,796.93396,0,나무뿌리 수정
27,3,-889.7525,-122.85829,-1426.1572,0,FieldCantGen
28,4,-459.15005,68.79495,-169.84955,0,주사위
29,4,68.9041,146.89499,394.92618,0,주사위
30,4,292.0559,63.794933,473.82242,0,주사위
31,4,743.0305,63.794914,-926.24945,0,주사위
32,4,792.34906,63.794914,-678.97876,0,주사위
33,4,1492.4476,63.794964,-389.6449,0,주사위
34,5,-155.46143,68.79493,-80.74744,0,주사위
35,5,37.737877,144.99591,-46.25327,0,주사위
36,5,416.45975,94.05328,708.80347,0,주사위
37,5,449.88522,63.79491,-1023.2802,0,주사위
38,5,1070.8043,63.7949,-701.72003,0,주사위
39,5,1395.3333,63.794964,-373.222,0,주사위
40,6,-257.75323,63.794933,-289.22583,0,주사위
41,6,-68.24698,63.7949,264.67642,0,주사위
42,6,460.3021,63.794952,559.69867,0,주사위
43,6,658.2079,63.794918,-1205.0387,0,주사위
