ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,-1634.5358,0.25872803,-1578.9502,-84
4,4,-1194.9017,56.277344,-333.4313,0
5,4,-833.24365,56.277344,-737.6863,0
6,4,-326.266,127.83557,-992.9475,0
7,4,-358.20486,183.57104,-458.1676,0
8,4,582.28723,234.2598,-1095.6666,0
9,4,-1350.8179,0.25872803,-883.66516,0
10,4,247.74817,233.49406,-886.5919,0
11,4,323.50662,234.7125,142.30693,0
12,4,1493.9858,234.03284,-1213.4767,0
13,4,1614.4775,232.31258,140.43866,0
14,4,1200.3516,232.31258,57.701313,0
15,4,1433.5276,234.71252,-818.2227,0
16,4,1465.3345,188.00641,756.3617,0
17,4,710.8499,53.75403,698.28955,0
18,4,224.80997,53.75403,1003.2927,0
19,4,-675.14465,56.277344,-512.0615,0
20,4,509.11337,53.354004,911.35455,0
21,4,-443.3399,143.24786,917.10535,0
22,4,-657.1792,143.24786,730.21387,0
23,4,-1106.0305,143.24788,271.347,0
24,4,-1339.4485,233.28851,806.8145,0
25,5,-197.4418,127.83557,-1037.1094,0
26,5,-209.77368,188.00641,-460.7183,0
28,5,916.21375,190.12378,-499.45145,0
29,5,1241.6868,232.31259,51.00986,0
32,5,1475.2897,188.00641,758.64966,0
33,5,-623.1804,143.24786,996.37756,0
34,5,-532.67426,143.24786,661.2292,0
35,5,-1230.535,143.24786,371.58807,0
36,5,-1540.5,233.28851,1016.6305,0
37,5,-1150.6807,56.277344,-213.31451,0
38,5,-653.9363,56.277344,-552.5981,0
39,5,323.75565,53.75403,958.72235,0
40,5,695.42737,53.75403,654.4866,0
41,6,-1468.8715,233.28851,943.7262,0
42,6,-1086.7278,143.24786,370.98816,0
43,6,-1023.528,143.2479,194.6328,0
44,6,-534.0906,143.24786,895.2467,0
45,6,-1109.8799,56.277344,-307.13773,0
46,6,-752.5497,56.277344,-600.88196,0
47,6,274.70184,53.75403,1052.9683,0
48,6,653.00165,53.75403,747.0902,0
49,6,-165.17126,188.00641,-515.6089,0
50,6,-232.56042,127.83557,-995.5895,0
52,6,312.26187,234.7125,131.55977,0
54,6,1582.1473,233.94566,-1212.2888,0
56,6,1370.6494,188.00641,788.3834,0
57,7,-1108.082,56.277344,-306.6596,0
58,7,-749.4201,56.277344,-597.7983,0
59,7,-231.92726,127.83557,-994.0094,0
60,7,-318.35513,184.90453,-456.55908,0
61,7,580.4274,233.80855,-917.08984,0
66,7,1372.5393,188.00641,863.24866,0
67,7,653.1394,53.75403,748.24225,0
68,7,276.43137,53.75403,1053.2473,0
69,7,-453.68658,143.24786,817.5699,0
70,7,-624.467,143.24786,998.567,0
71,7,-1084.3599,143.24786,372.4961,0
72,7,-1466.1549,233.28851,945.0191,0
73,8,-1075.8052,52.75421,-146.97295,0
74,8,-1168.7128,52.75421,-475.82825,0
75,8,-1019.7731,52.75421,-650.5298,0
76,8,-612.6722,52.75421,-586.5499,0
77,8,-774.7141,52.75421,-816.57874,0
78,8,-380.46387,129.3537,-857.1577,0
79,8,-68.204605,129.3537,-1204.9741,0
80,8,248.87134,232.88892,-881.7776,0
81,8,535.0816,232.88892,-1202.2107,0
82,8,-355.24588,188.76642,-329.20126,0
83,8,-60.139824,188.76642,-586.2401,0
84,8,281.36417,232.88892,210.80235,0
85,8,536.3677,232.88892,-111.3847,0
86,8,732.5597,190.88379,-332.45657,0
87,8,1100.6765,190.88379,-686.99146,0
