ClassID,GenType,PosX,PosY,PosZ,Direction,Name
4,4,-788.2568,85.45746,-739.01166,0,
5,4,-437.77502,85.45746,-643.64294,0,
6,4,-1532.3573,228.37488,-472.5066,0,
7,4,-1515.7086,228.3749,122.5208,0,
8,4,-1506.3765,298.23077,745.72473,0,
9,4,-536.31726,95.06264,127.68159,0,
10,4,123.70427,187.38069,-212.40521,0,
11,4,275.76495,187.38069,-729.6806,0,
12,4,576.45105,187.38069,-446.38107,0,
13,4,-32.018265,105.31911,-1221.7877,0,
14,4,796.70715,92.44209,-1078.4666,0,
15,4,1536.686,165.15172,-1101.9668,0,
16,4,1130.6555,85.515976,-404.4994,0,
17,4,725.22504,79.35243,251.0565,0,
18,4,893.95557,95.89728,979.1594,0,
19,4,1305.9132,209.6418,275.48624,0,
20,4,1357.5568,209.6418,43.338364,0,
21,4,232.82124,93.15315,-1242.1467,0,
22,4,-261.77167,95.06264,233.84425,0,
34,6,-873.92615,93.15315,-628.25116,0,플라밀
35,6,693.0336,93.15674,1056.6626,0,플라밀
36,6,-31.359497,105.31911,-1221.739,0,플라밀
37,6,-1706.003,228.37488,-551.35876,0,플라밀
38,6,-1516.1791,228.3749,123.36769,0,플라밀
39,6,-485.38132,95.06264,134.33879,0,플라밀
40,6,7.073119,187.69737,-344.06027,0,플라밀
41,6,1396.9208,85.515976,-406.3531,0,플라밀
53,6,-480.39627,378.13266,988.6538,0,플라밀
66,9,-829.41797,85.45746,-759.7182,0,플라밀
67,9,-691.9464,93.15315,-585.9416,0,플라밀
68,9,-1480.1172,228.37488,-294.46902,0,플라밀
69,9,-857.65063,93.15315,-627.42474,0,플라밀
70,9,-416.64075,93.15315,-505.5598,0,플라밀
71,9,-777.1615,93.15316,-851.1493,0,플라밀
72,9,-1703.3453,228.3749,14.015282,0,플라밀
73,9,91.75067,187.38069,-238.13387,0,플라밀
74,9,326.3005,187.38069,-726.7752,0,플라밀
75,9,-436.40308,85.45746,-646.8499,0,플라밀
76,9,173.5307,93.15315,-1191.2623,0,플라밀
77,9,-253.3033,93.15316,-1369.997,0,플라밀
78,9,403.14822,91.945206,-1074.3629,0,플라밀
79,9,963.0391,92.44209,-1001.1101,0,플라밀
80,9,1031.0771,92.793045,-294.52563,0,플라밀
81,9,799.36975,92.44209,-1085.2384,0,플라밀
82,9,1101.6101,209.64182,138.0268,0,플라밀
83,9,732.29626,79.35243,358.49323,0,플라밀
84,9,892.3888,95.89728,984.52576,0,플라밀
85,9,1223.5623,211.20386,737.3072,0,플라밀
86,9,463.1924,91.0183,422.77405,0,플라밀
87,9,-1700.6461,228.3749,-383.35104,0,플라밀
88,9,-1348.5786,228.3749,-671.24677,0,플라밀
89,9,-1702.4438,228.3749,324.94507,0,플라밀
90,9,-1341.8407,228.37488,17.307205,0,플라밀
91,9,-1612.1003,298.23077,885.00397,0,플라밀
92,9,-1439.7766,298.23077,580.12085,0,플라밀
93,9,-463.11047,95.06264,206.98262,0,플라밀
94,9,-297.29022,95.06264,40.168324,0,플라밀
95,9,351.60336,79.35243,389.1032,0,플라밀
96,9,557.2686,79.35243,219.95064,0,플라밀
97,9,493.5913,187.38069,-181.97803,0,플라밀
98,9,49.626053,187.69864,-589.7706,0,플라밀
99,9,531.5365,187.38069,-575.22095,0,플라밀
100,9,-93.29413,105.3191,-1205.2771,0,플라밀
101,9,189.10645,93.15315,-1321.0337,0,플라밀
102,9,1311.9464,165.15172,-957.03265,0,플라밀
103,9,1738.5817,165.15172,-1269.0242,0,플라밀
104,9,1499.4492,210.0647,768.7293,0,플라밀
105,9,1333.7919,209.82193,348.4994,0,플라밀
