ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,979.8,10.59,-772.57,0,마석 강화장치
2,1,-633,9.11,-786.33,0,마석 강화장치
3,1,-1502.7,87.8,1141.8,0,마석 강화장치
4,1,1757.39,85.03,1132.05,0,마석 강화장치
5,2,1748.07,80.37,-918.5,0,공간이동 마법진
6,2,931.64,4.67,1021.31,0,공간이동 마법진
7,2,-799.79,8.21,1011.68,0,공간이동 마법진
8,2,-1668.39,87.8,-918.99,0,공간이동 마법진
9,3,-1615.82,81.32,168.2,0,던전이벤트관리자
10,3,-26.42,2.72,1865.57,0,던전이벤트관리자
11,3,1607.97,80.29,152.3,0,던전이벤트관리자
12,3,932.02,4.67,1016.16,0,UnvisibleName
33,5,35.08328,68.15,-2316.6882,-95,랜시드 미로
34,7,27.74,68.16,-2316.83,0,UnvisibleName
35,7,27.74,68.16,-2316.83,0,UnvisibleName
36,6,-521.45917,-95.11,-1668.701,-177,미크마쉬 사원
37,7,-521.16,-95.11,-1670.33,0,UnvisibleName
38,8,-63.741257,-20.08002,-1630.7179,0,
39,8,91.730835,-20.080019,-1796.3597,0,
40,8,76.31028,-20.080025,-1600.0492,0,
41,8,-135.80748,11.796875,-774.6698,0,
42,8,-119.99933,11.796881,-1062.8583,0,
43,8,224.47083,11.796875,-1102.2687,0,
44,8,191.47421,11.796873,-739.4491,0,
45,8,175.5225,11.796875,-914.1261,0,
46,9,-50.282295,-20.08002,-1760.616,0,
47,9,3.9994555,-20.080023,-1526.3561,0,
48,9,-203.83331,11.79688,-934.1942,0,
49,9,74.019325,11.796875,-1127.0215,0,
50,9,-411.37268,10.492295,-938.89557,0,
51,9,473.64874,4.601451,-902.70874,0,
52,9,19.390686,11.796875,-769.48083,0,
53,9,1.5944252,11.79688,-1016.2523,0,
54,10,9.87384,11.796879,-906.54614,0,
55,10,165.35852,-20.080029,-1690.9812,0,
56,10,-831.40247,9.742191,-802.5989,0,
57,10,-780.4683,9.107417,-1033.5623,0,
58,10,806.03735,10.589832,-783.1816,0,
59,10,835.12537,10.589836,-1046.2764,0,
60,10,-1200.5297,50.896152,-906.76776,0,
61,10,1128.7788,50.96354,-909.2737,0,
62,11,-739.3391,9.107415,-942.5011,49,
