ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,1881.6128,0,-328.04047,0,JOB_CENTURION5_1
2,2,-965.3782,0.4988,-50.65103,0,검은 폰드
27,3,2216.7532,0,471.92215,4,대성당 대회랑
29,5,2149.9834,0.4988,583.7394,-37,주교 아우렐리우스의 영혼
32,6,1737.5737,0,726.46246,-32,뜯겨져나간 낱장
33,6,1864.3472,0.4988,116.64272,-57,뜯겨져나간 낱장
35,6,1647.1815,0.4988,323.88773,-96,뜯겨져나간 낱장
38,7,1941.2109,0.4988,419.36993,0,낡은 문헌
39,7,2140.3967,0.4988,104.77965,65,낡은 문헌
41,8,1414.5361,0.4988,-471.54742,0,지성의 제단
42,9,-1014.9852,0.4988,254.26767,-90,가울레 제단
43,10,-222.927,0.4988,-1280.3424,45,비밀의 조각상
44,11,-289.02,0,-1299,-37,대성당 촛대
45,12,-289.5,0,-1169,-37,대성당 촛대
46,13,-150.89,0,-1303.78,-37,대성당 촛대
49,16,-1672.6023,0,835.22675,-40,빨간색 구슬
50,17,-1673.5337,0.4988,622.1985,-44,파란색 구슬
51,18,-1436.67,0.4988,854.25696,-28,노란색 구슬
52,19,-1378.5491,0,693.3833,-42,초록색 구슬
53,20,-1496.2914,0.4988,567.7439,-46,보라색 구슬
56,23,-1539.819,0.4988,463.16232,0,
58,25,-585.6873,0.4988,-818.90875,100,사제 고다
59,26,-2114.784,0.4988,-427.79352,4,성당 책상
61,28,-1544.0924,10.5952,729.3548,0,포탈
64,31,-1544.325,10.5952,729.12213,0,
65,32,1672.8251,0,-469.44266,0,나무뿌리 수정
66,32,2049.4333,0,-538.68146,0,나무뿌리 수정
67,32,1911.3092,0,-84.2361,0,나무뿌리 수정
68,32,1956.8209,0,445.07428,0,나무뿌리 수정
69,32,1622.364,0,386.74216,0,나무뿌리 수정
70,32,1425.7994,0,632.63184,0,나무뿌리 수정
71,32,1243.999,0,893.2882,0,나무뿌리 수정
72,32,746.8902,0,906.985,0,나무뿌리 수정
73,32,496.09497,0,671.17993,0,나무뿌리 수정
74,32,757.93445,0,186.52509,0,나무뿌리 수정
75,32,215.3634,0,89.088455,0,나무뿌리 수정
76,32,-120.13855,0,-131.64441,0,나무뿌리 수정
77,32,-434.65656,0,-111.44997,0,나무뿌리 수정
78,32,-1027.2432,0,-43.383278,0,나무뿌리 수정
79,32,-926.9304,0,-536.6809,0,나무뿌리 수정
80,32,-468.10706,0,-635.51355,0,나무뿌리 수정
81,32,-207.11134,0,-965.3469,0,나무뿌리 수정
82,32,-1282.9047,0.4988,-523.1897,0,나무뿌리 수정
83,32,-1541.8685,0.5,-699.2166,0,나무뿌리 수정
84,32,-1837.8938,0.4988,-638.03143,0,나무뿌리 수정
85,32,-2084.8445,0,-506.13025,0,나무뿌리 수정
86,32,-2057.1313,0,-124.21282,0,나무뿌리 수정
87,32,-1503.0747,0.4988,-305.3978,0,나무뿌리 수정
88,32,-1567.149,0,-77.22688,0,나무뿌리 수정
89,32,-1571.0294,0.4988,171.70863,-9,나무뿌리 수정
90,33,1703.5851,0,-403.3806,0,검은 폰드
91,34,-159.56,0,-1166,-37,대성당 촛대
