ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,1359,145,264,0,스토가스 고원
2,2,749.19,144.85,209.53,0,폰델
3,2,854.12994,144.85,139.62529,0,폰델
4,2,931.4147,144.85,162.038,0,폰델
5,2,830.89,153.73,281.78,0,폰델
6,2,869.24866,144.85,381.68698,0,폰델
7,2,969.2922,144.85,388.6876,0,폰델
8,2,972.93,144.85,234.39,0,폰델
9,2,798.91,144.87,648.01,0,폰델
10,2,804.67,144.87,785.41,0,폰델
11,2,729.87,144.87,738.88,0,폰델
12,2,864.82,144.87,690.05,0,폰델
13,2,856.27,144.87,828.73,0,폰델
14,2,850.83,144.87,894.87,0,폰델
15,2,963.28,144.87,823.14,0,폰델
16,2,890.95056,144.87,550.0597,-99,폰델
17,2,986.64,144.87,617.07,0,폰델
18,2,1172.0066,144.49,766.7015,-65,폰델
19,2,1292.643,144.42,846.33527,-91,폰델
20,2,1443.2393,144.42,877.01636,0,폰델
21,2,1458.2382,144.42,774.25806,0,폰델
22,2,1390.83,154.64,709.3,-100,폰델
23,2,1381.85,144.42,612.12,-101,폰델
24,2,1489.55,144.42,643.66,0,폰델
25,2,1112.5111,144.65,725.8702,0,폰델
26,2,1287.6656,144.42,701.68054,-85,폰델
27,2,1274.5165,144.42,629.2415,-93,폰델
28,2,857.57697,144.85,471.36404,0,폰델
29,2,766.18085,144.85,365.4736,0,폰델
30,3,427.37,143.25,787.34,0,폰드
31,3,387.48,143.25,878.51,0,폰드
32,3,305.72205,143.25,826.0316,0,폰드
33,3,311.34,143.25,620.52,0,폰드
34,3,119.35,143.25,608.5,0,폰드
35,3,138.23929,143.25,834.71436,0,폰드
36,3,138.46,143.25,926.68,0,폰드
37,3,329.36,143.25,903.63,0,폰드
38,3,230.19,152.29,806.93,0,폰드
39,3,200.96733,154.06,726.2289,0,폰드
40,3,397.85,143.25,612.91,0,폰드
41,3,-1.88,143.25,867.42,0,폰드
42,3,-116.15213,143.25,693.8165,0,폰드
43,3,-49.2289,143.25,629.2901,0,폰드
44,3,-165.11,143.25,624.04,0,폰드
45,3,-334.85,143.25,629.68,0,폰드
46,3,-267.1985,143.25,766.29126,0,폰드
47,3,-287.83,143.25,928.44,0,폰드
48,3,-380.02292,154.91,690.6388,0,폰드
49,3,-423.2281,143.25,607.2024,0,폰드
50,3,-583.11,143.25,616.43,0,폰드
51,3,-567.02,143.25,741.03,0,폰드
52,3,-501.92,143.25,940.32,0,폰드
53,3,-530.98,143.25,845,0,폰드
54,3,-392.83542,143.25,846.9244,0,폰드
55,3,-49.9032,136.12,507.123,0,폰드
56,3,616.28,53.66,-304.41,0,폰드
57,3,713.65,53.66,-320.2,0,폰드
58,3,669.69,53.66,-428.68,0,폰드
59,3,850.82,63.93,-418.43,0,폰드
