ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,824.3146,-132.38187,871.7112,0
2,2,1434.4501,301.3231,-84.15669,0
3,3,743.51904,-161.32846,654.7696,0
4,4,-564.74164,-86.04463,514.5347,0
5,5,-735.99304,-271.47162,1672.0541,0
6,6,46.30864,67.897156,-73.168884,-88
8,8,-70.96192,141.52226,-912.533,0
9,8,-155.2776,138.28687,-668.3207,0
10,8,97.47767,139.56769,-697.5531,0
11,8,6.2911816,139.56769,-781.4941,0
12,8,-150.67712,72.969086,-235.11691,0
13,8,86.87434,69.90582,-233.9829,0
14,8,-828.4747,-21.059425,-133.20898,0
15,8,-778.9827,-21.059433,-326.1649,0
16,8,-530.2745,-21.05943,-180.12325,0
17,8,-1317.2214,-161.05579,368.72226,0
18,8,-1450.717,-162.92178,588.1688,0
19,8,-1250.6185,-162.92178,625.1411,0
20,8,-1467.4485,-162.92178,419.50104,0
21,8,-725.63074,-86.04463,293.5204,0
22,8,-869.2427,-86.04463,521.8553,0
23,8,-673.6422,-86.04463,601.9028,0
24,8,-526.78546,-88.08681,479.4915,0
25,8,-709.6604,-90.22218,461.72977,0
26,8,60.040237,-88.912415,475.96124,0
27,8,121.64323,-88.912415,820.0566,0
28,8,220.34973,-88.912415,807.10187,0
29,8,466.86877,-86.71237,645.04474,0
30,8,399.6458,-86.63097,479.95435,0
31,8,900.2185,-161.32846,519.7396,0
32,8,776.0543,-161.32846,597.3585,0
33,8,883.17365,-161.32846,727.32153,0
34,8,1000.3585,-161.32846,704.9067,0
35,8,258.05322,-177.32639,1358.8492,0
36,8,77.05518,-177.32639,1301.4846,0
37,8,120.52112,-177.32639,1501.7579,0
38,8,363.2575,-174.16376,1468.4702,0
39,8,-637.8186,-271.47162,1801.4354,0
40,8,-662.7879,-271.47162,1558.08,0
41,8,-551.1934,-271.4716,1417.5342,0
42,8,-367.16147,-269.9042,1491.4899,0
43,8,-384.01114,-269.04572,1812.6871,0
44,8,-550.9521,-271.47162,1664.0068,0
45,8,883.0411,268.1266,-394.78387,0
46,8,962.8848,269.78326,-117.85939,0
47,8,1044.9413,268.1266,-333.63696,0
48,8,1450.4387,272.3765,-306.6712,0
49,9,-6.9423428,-88.912415,895.6118,0
50,9,200.39435,-88.912415,919.1057,0
51,9,309.38202,-88.912415,919.6636,0
52,9,475.7688,-86.71237,679.99634,0
53,9,437.83063,-86.63097,413.12292,0
54,9,296.8947,-86.140564,408.3798,0
55,9,146.01671,-88.912415,399.60916,0
56,9,-46.68964,-85.05301,414.91333,0
57,9,-72.27169,-88.912415,596.0161,0
58,9,-57.42858,-86.15222,705.87225,0
59,9,106.44776,-88.912415,685.4692,0
60,9,149.33698,-177.32639,1283.6395,0
61,9,351.91245,-177.32639,1285.5469,0
62,9,386.67825,-174.16376,1384.1969,0
63,9,367.94104,-174.16376,1504.4888,0
64,9,58.69518,-177.32639,1548.1599,0
65,9,194.58815,-177.32639,1522.016,0
