ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,-124.28546,253.61,719.9453,0,케파 레이더 마법사
2,1,-100.69872,253.61,907.7206,0,케파 레이더 마법사
3,1,-113.48001,253.61,560.65247,0,케파 레이더 마법사
4,1,34.60267,253.61,740.04114,0,케파 레이더 마법사
5,1,-1018.7795,400.9933,767.0631,0,케파 레이더 마법사
6,1,-994.65155,395.8243,1117.2344,0,케파 레이더 마법사
7,1,-926.5294,395.8243,906.4789,0,케파 레이더 마법사
8,1,759.5909,239.405,1028.0162,0,케파 레이더 마법사
9,1,764.2453,239.405,734.0568,0,케파 레이더 마법사
10,1,598.54114,260.1844,1175.0568,0,케파 레이더 마법사
11,1,614.6905,260.1844,843.9636,0,케파 레이더 마법사
12,2,-845.9106,248.2207,-1414.0845,0,갈색 소켓 궁수
13,2,-956.1421,248.21532,-1260.3531,0,갈색 소켓 궁수
14,2,-682.103,247.17807,-1031.8292,0,갈색 소켓 궁수
15,2,-1510.2856,389.75067,-667.1944,0,갈색 소켓 궁수
16,2,-1378.922,390.22308,-878.59644,0,갈색 소켓 궁수
17,2,-1308.6782,381.9367,-637.70496,0,갈색 소켓 궁수
18,2,-1913.16,390.35126,-1106.7289,0,갈색 소켓 궁수
19,2,-1724.0581,389.1838,-1098.6893,0,갈색 소켓 궁수
20,2,-1295.4421,253.7081,-1704.9774,0,갈색 소켓 궁수
21,2,-1145.4296,253.7081,-1684.3141,0,갈색 소켓 궁수
22,2,-1283.201,253.7081,-1579.624,0,갈색 소켓 궁수
23,2,-757.973,239.9286,-1217.6863,0,갈색 소켓 궁수
24,3,978.414,132.9461,-479.13254,0,닻
25,3,687.4963,132.9461,-807.7768,0,닻
26,3,690.9494,132.1654,-1054.6661,0,닻
27,3,621.70483,132.2346,-1042.032,0,닻
28,3,554.84064,133.452,-1173.5216,0,닻
29,3,626.09174,132.1654,-1129.6433,0,닻
30,3,1098.2256,132.1654,-626.88385,0,닻
31,3,1066.4008,132.1654,-682.81476,0,닻
32,3,1152.939,134.5462,-730.958,0,닻
33,3,364.0826,132.9461,-1143.2148,0,닻
34,1,-920.2072,400.9933,619.4111,0,케파 레이더 마법사
