ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,-569.62054,150.30336,-1383.4834,0
2,2,-566.6445,-28.76204,920.1131,0
3,3,1012.9523,4.973202,137.54358,0
4,4,579.54675,-28.76204,248.64502,0
5,5,-1059.6295,48.273426,-755.3777,75
6,5,-945.28357,8.966804,-161.7275,0
7,5,-912.5921,50.31672,518.6225,0
8,5,-345.94778,-28.76204,965.28174,0
9,5,232.30713,6.0009437,-580.1013,0
10,5,583.7185,-28.76204,684.19507,0
11,5,556.74744,-28.76204,-87.27497,0
12,5,-147.66301,4.1687727,-599.5772,0
13,2,-539.04193,-26.323313,-473.739,0
14,2,1260.3413,4.9732018,118.39857,0
15,2,-1292.2085,8.802853,-64.84131,0
16,2,-1005.6421,49.989635,686.45483,0
17,2,-1117.4122,49.15949,-618.7221,0
18,2,620.2087,-29.997278,-470.18442,0
19,2,576.65186,-28.76204,900.80676,0
20,3,-951.5708,9.038817,-13.157969,0
21,3,948.77893,66.963036,652.2619,0
22,3,-1098.172,48.35827,592.6708,0
23,3,978.6526,46.902493,-305.5046,0
24,3,1518.1064,4.973217,139.6027,0
25,3,1322.2847,65.18399,556.0909,0
26,4,20.01865,-28.76204,925.9581,0
27,4,-599.89886,-28.76204,156.68498,0
28,4,1194.8015,71.693474,791.4614,0
29,4,-1102.8129,8.961193,-21.217438,0
30,4,1222.1691,46.902493,-384.74973,0
31,6,-517.5229,92.14448,-981.6158,-36
32,7,-357.28622,94.62884,-1094.2461,0
33,7,-285.62836,95.5818,-932.0164,0
34,7,-212.48494,4.4682465,-500.8076,0
35,7,161.21266,5.33644,-713.27515,0
36,7,551.3353,-23.275148,-622.2208,0
37,7,591.80585,-28.904566,-161.93352,0
38,7,573.33356,-28.76204,238.2361,0
39,7,574.4321,-28.76204,632.41925,0
40,7,496.9265,-28.76204,1017.1646,0
41,7,84.6738,-28.76204,1045.8314,0
42,7,-262.0603,-28.76204,1037.7211,0
43,7,-681.39655,-28.76204,1033.7316,0
44,7,-662.21545,-28.76204,585.9053,0
45,7,-657.18604,-28.76204,188.80264,0
46,7,-660.4651,-28.76204,-155.974,0
47,7,-651.80383,-28.76204,-517.36896,0
48,7,-1144.5543,47.033104,-868.6093,0
49,7,-1240.1636,46.902493,-572.0074,0
50,7,-962.6876,49.306988,-636.98035,0
51,7,-1404.2069,8.802853,-142.0704,0
52,7,-1092.2222,8.967343,-16.16286,0
53,7,-788.7767,9.079736,-70.34663,0
54,7,-995.51025,39.360855,353.45227,0
55,7,-1173.9333,47.187263,660.3163,0
56,7,-872.1206,51.345226,601.43713,0
57,7,938.53046,66.877045,664.11334,0
58,7,1292.1522,66.77291,644.9285,0
59,7,1115.9994,67.11055,477.37784,0
60,7,1591.6771,4.973204,197.56808,0
61,7,1338.1007,4.973204,77.680626,0
62,7,1025.0253,4.9732037,200.25005,0
63,7,827.3408,4.9732018,65.295334,0
64,7,936.67035,47.231102,-498.15332,0
65,7,992.48267,46.902493,-216.26552,0
66,7,1291.1969,48.511913,-422.551,0
67,8,-4.8335,-79.9115,261.72784,0
68,9,1057.289,46.902493,-373.94223,0
69,10,-1102.9835,49.466805,-664.1795,0
82,11,-1019.1898,9.00365,-38.04139,0
83,12,1016.8715,4.9732018,106.30595,0
84,13,16.7612,4.168772,-581.1641,0
85,14,-441.14523,96.47264,-919.5415,0
86,15,-274.447,-79.9115,577.2573,0
87,16,-1044.8644,50.252586,862.30536,170
88,17,1346.7782,67.82127,461.49182,0
89,18,-654.9801,-28.76204,1045.3853,0
90,19,-1170.3981,47.4057,-811.7021,0
91,20,1352.5527,46.902493,-363.1545,0
