ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,-2648.488,-33.659374,-965.5466,-157,WarpSpot
2,2,1366.1171,-63.665844,1183.9502,82,WarpSpot
3,3,-2116.6067,-30.637865,-751.05853,-45,큐폴2
4,4,-2039.2134,96.43465,646.5553,0,UnvisibleName
5,4,-2028.3823,96.434555,446.8081,0,UnvisibleName
6,4,-1824.1226,97.52015,335.98343,0,UnvisibleName
7,4,-1783.4336,96.43467,594.961,0,UnvisibleName
8,4,-1924.605,96.434616,451.4486,0,UnvisibleName
9,5,700.1629,124.72452,-1401.5725,-90,여신 사울레
10,6,600.7643,124.7245,-1364.1754,-90,큐폴6
12,8,171.4108,124.7,-1444.2965,0,큐폴2
13,9,231.92741,-63.506134,401.56247,-45,감시구
14,10,-1220.518,0.00024368765,-672.4847,0,폐쇄장치
15,11,-380.45352,0.1699,-612.99866,0,폐쇄장치
16,12,409.56274,-107.45801,-664.3059,0,폐쇄장치
17,13,315.83304,124.72479,-1429.8402,-90,UnvisibleName
18,14,654.9684,124.72449,-1419.7393,0,큐폴2
19,15,170.2855,124.7,-1444.257,0,LIMESTONE_52_3_MQ_3_TRIG
35,17,549.05023,124.72452,-1421.0753,0,LIMESTONE_52_3_MQ_9_TRIG
36,18,472.74,124.72451,-1331.62,-20,큐폴2
37,19,538.49,124.72,-1555.69,-17,큐폴6
41,23,232.28415,-63.506012,401.30408,-45,UnvisibleName
42,20,-1822.918,96.43451,-276.20517,0,케파
43,20,-1850.627,96.43459,432.6938,0,케파
44,20,-1960.5896,96.43452,-184.09651,0,케파
45,20,-1878.9836,96.43666,-31.786081,0,케파
47,20,-2102.9746,96.434525,486.45352,0,케파
52,21,-1207.5293,0.00015136362,-101.90356,0,폰델
53,21,-1939.8303,96.43451,-144.52919,0,폰델
54,21,-1982.2693,96.43459,586.2672,0,폰델
55,21,-1220.6505,0.00012073107,48.754135,0,폰델
56,21,-1029.4529,0.0001496249,12.60233,0,폰델
57,21,-1157.943,0.00018871909,-359.87946,0,폰델
58,21,-748.79456,8.842457,187.07953,0,폰델
59,21,-272.80768,5.459074,-417.27728,0,폰델
60,21,-389.49496,2.236758,-501.01657,0,폰델
61,21,1141.9314,-107.45801,-528.6318,0,폰델
62,22,-682.53125,8.123334,-666.74414,0,폰드
72,16,1171.2769,-107.45801,-377.61588,0,UnvisibleName
73,16,1011.1022,-107.45801,-506.44138,0,UnvisibleName
74,16,1019.1394,-107.45801,-757.7676,0,UnvisibleName
75,16,1389.5923,-107.45801,-544.735,0,UnvisibleName
76,16,1265.8086,-107.45801,-433.6669,0,UnvisibleName
77,16,1408.2366,-107.45801,-376.76837,0,UnvisibleName
78,16,1140.1935,-107.45801,-613.2189,0,UnvisibleName
79,16,1164.5109,-63.435947,149.46375,0,UnvisibleName
80,16,1102.9156,-63.436005,347.96918,0,UnvisibleName
81,16,1597.1843,-63.436737,139.8508,0,UnvisibleName
82,16,1582.0706,-63.43672,509.23535,0,UnvisibleName
83,16,1382.7856,-63.4364,293.54822,0,UnvisibleName
84,16,1227.457,-85.624985,-137.20473,0,UnvisibleName
85,16,1753.8009,-63.436966,404.98312,0,UnvisibleName
86,24,701.4457,124.72453,-1345.9788,-95,큐폴6
99,20,-1972.5902,96.43459,569.47186,0,초록 플라메
100,20,-1882.934,96.434715,659.1721,0,초록 플라메
101,20,-1843.513,96.43476,538.9344,0,초록 플라메
102,20,-1953.2347,96.11652,-314.4797,0,초록 플라메
103,20,-1960.3654,-32.613514,-685.89325,0,초록 플라메
104,20,-2116.4163,-33.657776,-940.02386,0,초록 플라메
105,20,-2004.9653,-33.68087,-1031.0662,0,초록 플라메
106,20,-1862.779,-33.658886,-913.77686,0,초록 플라메
107,20,-1837.8253,-33.656094,-773.15344,0,초록 플라메
108,21,-4.733101,124.7246,-1438.057,0,초록 플라메 메이지
109,21,85.951065,124.72458,-1374.186,0,초록 플라메 메이지
110,21,337.77545,-107.45801,-562.4278,0,초록 플라메 메이지
111,21,1229.9528,-63.436077,3.3099525,0,초록 플라메 메이지
112,21,1105.631,-63.435955,263.66064,0,초록 플라메 메이지
113,21,1294.6536,-63.436363,551.6924,0,초록 플라메 메이지
114,21,97.30046,-63.501938,386.43878,0,초록 플라메 메이지
115,21,188.3407,-63.50615,545.5392,0,초록 플라메 메이지
116,21,-454.06088,5.06325,190.68187,0,초록 플라메 메이지
117,21,-508.7755,6.07541,431.60266,0,초록 플라메 메이지
118,21,-279.85773,6.63237,377.09073,0,초록 플라메 메이지
119,21,-408.67014,5.08397,285.16766,0,초록 플라메 메이지
120,21,-2045.0656,96.43453,-172.00691,0,초록 플라메 메이지
121,21,-1932.7089,96.4346,413.9841,0,초록 플라메 메이지
122,21,-481.24008,8.24657,-358.05533,0,초록 플라메 메이지
123,21,253.45941,-107.45801,-702.9854,0,초록 플라메 메이지
124,21,1259.7588,-107.45801,-315.74045,0,초록 플라메 메이지
125,22,-7.838619,124.7246,-1454.5829,0,초록 바본
126,22,15.583963,124.72458,-1321.5673,0,초록 바본
127,22,12.42955,124.72459,-1437.056,0,초록 바본
128,22,246.2413,124.72475,-1467.5687,0,초록 바본
129,22,286.57562,124.72462,-1490.6975,0,초록 바본
130,22,535.38983,124.72449,-1322.3516,0,초록 바본
131,22,-0.4986148,124.72458,-1220.6365,0,초록 바본
132,22,470.08258,-107.45631,-867.67163,0,초록 바본
133,22,-573.8659,9.90332,-750.2539,0,초록 바본
134,22,-525.5801,6.20586,-571.5688,0,초록 바본
135,22,-465.4162,7.0571,-659.8184,0,초록 바본
136,22,-275.1703,6.10351,-472.9236,0,초록 바본
137,22,-300.2811,7.99143,-617.4614,0,초록 바본
138,22,129.79305,-99.50556,-524.6356,0,초록 바본
139,22,177.00204,-107.45801,-691.564,0,초록 바본
140,22,368.48044,-107.45801,-568.7533,0,초록 바본
141,22,382.4504,-107.45802,-750.5115,0,초록 바본
142,22,546.45624,-107.45806,-678.7522,0,초록 바본
143,22,1036.0029,-107.45801,-567.1096,0,초록 바본
144,22,1264.0972,-107.45801,-427.98737,0,초록 바본
145,22,1190.1317,-107.45802,-603.1982,0,초록 바본
146,22,1332.1448,-107.45802,-601.29266,0,초록 바본
147,22,1390.5164,-107.45801,-399.2193,0,초록 바본
148,25,-99.80672,124.72461,-1487.5884,0,초록 러블렘
149,25,3.1712599,124.72459,-1363.7494,0,초록 러블렘
150,25,13.940241,124.72461,-1490.2506,0,초록 러블렘
151,25,-98.343605,124.72461,-1378.1871,0,초록 러블렘
152,25,157.34584,124.72458,-1479.6234,0,초록 러블렘
153,25,81.92562,124.72457,-1359.7307,0,초록 러블렘
154,25,160.41493,124.72455,-1407.2511,0,초록 러블렘
155,25,40.18935,124.72461,-1452.27,0,초록 러블렘
156,25,90.56396,124.72461,-1434.7396,0,초록 러블렘
157,25,-178.65436,124.72459,-1417.0035,0,초록 러블렘
158,25,399.76758,-107.45801,-469.36673,0,초록 러블렘
159,25,998.3905,-107.45801,-598.2353,0,초록 러블렘
160,25,1177.4934,-107.45801,-428.87497,0,초록 러블렘
161,25,1228.1139,-107.45801,-512.581,0,초록 러블렘
162,25,1234.0406,-107.45801,-648.82074,0,초록 러블렘
163,25,1360.4956,-107.45801,-470.08438,0,초록 러블렘
164,25,1147.404,-63.435905,121.86687,0,초록 러블렘
165,25,1200.8317,-63.436058,290.402,0,초록 러블렘
166,25,1339.4077,-63.436348,403.3701,0,초록 러블렘
167,25,1232.3973,-63.43604,155.35036,0,초록 러블렘
168,25,1353.2566,-63.4362,165.71027,0,초록 러블렘
169,25,1626.9344,-63.436783,433.98422,0,초록 러블렘
170,25,162.88177,-63.49932,215.3377,0,초록 러블렘
