ClassID,GenType,PosX,PosY,PosZ,Direction
1,22,1755.689,864.61926,-850.1042,0
2,22,1671.6011,864.61926,-1110.9081,0
3,22,386.51056,863.3622,-1666.4137,0
4,22,564.898,863.3622,-1610.5228,0
5,22,-103.76283,895.78156,-1419.2129,0
6,22,-242.55948,895.78156,-1511.3027,0
7,22,-1439.9233,787.8199,-1285.9893,0
8,22,-1430.5671,787.8199,-1392.6129,0
9,22,-475.84164,680.95526,-791.4617,0
10,22,-335.46384,680.95526,-857.8059,0
12,25,682.85016,763.7976,-761.2537,0
13,25,-1017.1436,786.12085,-637.79596,0
14,25,-1307.9912,787.8199,-1281.197,0
15,30,-845.717,756.7749,1231.6271,0
16,30,-978.46216,743.53564,100.26542,0
17,23,1311.6708,864.61926,-639.8583,0
18,23,1345.7496,864.61926,-710.74664,0
19,23,1447.9689,864.61926,-885.6428,0
20,23,1287.4094,864.61926,-944.859,0
21,23,1307.4523,864.61926,-1077.2063,0
22,23,1503.1976,864.61926,-1106.907,0
23,23,1683.1782,864.61926,-1032.6268,0
24,23,1634.9336,864.61926,-750.7712,0
25,23,1561.1039,864.61926,-683.9206,0
26,23,1262.851,864.61926,-863.9901,0
27,24,1207.647,864.61926,-947.1773,0
28,24,1378.6765,864.61926,-934.35834,0
29,24,1483.482,864.61926,-976.5915,0
30,24,1569.124,864.61926,-1025.7948,0
31,24,1533.7184,864.61926,-849.86224,0
32,24,1638.5111,864.61926,-665.27124,0
33,24,1341.4196,864.61926,-793.9063,0
34,24,1472.1082,864.61926,-669.7844,0
35,24,1624.6128,864.61926,-904.3126,0
36,24,1728.4221,864.61926,-920.7676,0
37,23,1358.1638,864.61926,-1009.0581,0
38,23,1429.2557,864.61926,-1070.964,0
39,23,1176.2759,864.61926,-870.0539,0
40,23,1539.7653,864.61926,-936.70685,0
41,23,1162.6714,864.61926,-1007.9816,0
42,24,1347.6299,864.61926,-864.41724,0
43,24,1261.1959,864.61926,-782.76636,0
