ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,991.58325,997.5414,997.4298,-90
2,2,855.1502,981.9104,412.4003,-84
3,3,968.06555,997.5414,930.3583,-91
4,4,890.19946,1146.3339,-707.2404,-90
5,5,691.5891,997.5414,112.62357,0
6,6,474.8599,997.5414,-15.321846,0
7,7,1706.1566,797.49023,-1001.8861,0
8,8,1626.293,997.06714,-161.35207,0
9,9,1549.5525,997.06714,-85.56491,0
10,9,1709.5447,881.0952,-549.22723,0
11,9,1670.8727,797.4902,-1936.8683,0
12,9,1514.6077,797.49005,-1462.8257,0
13,9,2162.9622,797.49066,-1418.7239,0
14,9,2087.8547,797.4905,-949.83105,0
15,9,1847.8268,1297.5414,1212.5417,0
16,9,1702.3691,1297.5414,1010.3715,0
17,9,1133.0781,997.5413,1105.7253,0
18,9,1005.5952,997.5414,820.458,0
19,9,812,997.5414,119.2446,0
20,9,800.4603,997.5414,-204.91568,0
21,9,430.01816,997.5414,56.599457,0
22,9,-23.010834,997.54126,191.03308,0
23,9,275.89163,997.5413,689.4405,0
24,9,-192.44717,2025.4463,702.3742,0
25,9,-244.13255,2025.4463,1553.8876,0
26,9,-195.20438,1825.5687,2245.9866,0
27,9,-923.79553,2325.8691,908.51874,0
28,9,-256.2816,1508.2461,-1171.836,0
29,9,89.36716,997.54114,-378.90747,0
30,9,187.94286,1297.5413,-1705.4427,0
31,9,208.6033,1175.9192,-1155.955,0
32,10,-26.79,1508.25,-907.05,-113
35,14,1648.7158,997.06714,-114.94795,0
36,14,1861.4819,997.06714,-94.58677,0
37,14,1764.0898,997.12616,190.33109,0
38,14,1481.248,997.06714,135.88394,0
39,14,1619.5922,1032.6138,325.3181,0
40,14,1624.5231,1099.4818,485.88083,0
41,14,1649.2572,1213.322,699.22046,0
42,14,1616.1416,1297.4376,966.43085,0
43,14,1624.5502,1297.5414,1187.6273,0
44,14,1642.7565,1297.5413,1411.162,0
45,14,1919.7906,1297.5413,1308.0282,0
46,14,1955.3489,1297.5414,1098.0063,0
