ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,-1447.98,12.86,-103.49,0,스타울리트 궁수
2,1,-1375.69,28.21,96.14,0,스타울리트 궁수
3,1,-1175.95,24.32,-69.76,0,스타울리트 궁수
4,1,-1189.13,21.07,-100.25,0,스타울리트 궁수
5,1,-1408.98,28.21,18.71,0,스타울리트 궁수
6,1,-1583.76,8.45,-126.53,0,스타울리트 궁수
7,1,-1320.3,8.45,-248.13,0,스타울리트 궁수
8,1,-1057.32,8.45,177.61,0,스타울리트 궁수
9,1,-1531.04,8.45,220.34,0,스타울리트 궁수
10,1,-1207.84,8.45,283.21,0,스타울리트 궁수
11,1,-1268.8,28.21,-98.61,0,스타울리트 궁수
12,1,-1112.04,8.45,-255.53,0,스타울리트 궁수
13,1,-1050.92,8.45,-53.07,0,스타울리트 궁수
14,1,-904.66,5.67,-64.24,0,스타울리트 궁수
15,1,-702.76,5.67,130.59,0,스타울리트 궁수
16,1,-628.28,11.65,-63.91,0,스타울리트 궁수
17,1,-504.59,5.67,90.06,0,스타울리트 궁수
18,1,-466.99,12.09,-56.1,0,스타울리트 궁수
19,1,-483.86,14.63,-145.84,0,스타울리트 궁수
20,1,-672.11,10.85,-160.26,0,스타울리트 궁수
21,1,-752.22,5.67,109.89,0,스타울리트 궁수
22,1,-465.58,5.67,178.89,0,스타울리트 궁수
23,2,-480.32,11.18,-87.66,0,웬디고 탈주범
24,3,-50.69,2.2,-799.24,0,검은 주술 인형
25,3,-208.22,2.2,-871.87,0,검은 주술 인형
26,3,-139.61,2.2,-1012.04,0,검은 주술 인형
27,3,-110.41,2.2,-1082.14,0,검은 주술 인형
28,3,128.34637,2.2,-906.9609,0,검은 주술 인형
29,3,-20.74,2.2,-966.68,0,검은 주술 인형
30,3,119.36,2.2,-823.66,0,검은 주술 인형
31,3,-158.41,5.33,657.1,0,검은 주술 인형
32,3,-113.92,5.33,856.83,0,검은 주술 인형
33,3,-113.92,5.33,856.83,0,검은 주술 인형
34,3,-179.61,5.33,738.16,0,검은 주술 인형
