ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,446.53873,619.3114,-864.47296,0
2,1,364.8538,619.31146,-646.945,0
3,1,525.4409,619.31146,-751.9327,0
4,1,626.593,639.5154,-930.29315,0
5,1,763.55396,619.3114,-681.99066,0
6,1,620.715,619.3114,-636.01044,0
7,1,809.3448,639.5154,-923.0619,0
8,1,711.6144,639.5154,-828.9484,0
9,1,761.004,619.3114,-610.8526,0
10,1,575.6823,620.4806,1025.7289,0
11,1,571.3091,620.4806,1481.2487,0
12,1,584.35596,538.01,352.70044,0
13,1,771.7118,538.01,255.63199,0
14,1,529.57043,538.01,323.6729,0
15,1,585.20416,538.01,538.3751,0
16,1,183.94193,620.4806,797.1341,0
17,1,479.24963,620.4806,812.282,0
18,1,597.2934,620.4806,1099.4169,0
19,1,614.09515,620.4806,1335.4291,0
20,1,407.11618,620.4806,1594.7867,0
21,1,502.32715,620.4806,1982.5498,0
22,1,800.76263,620.4806,1885.8645,0
23,1,659.0087,640.2397,1738.4851,0
24,1,876.17804,620.4806,1550.0754,0
25,1,752.9651,620.4806,1467.7483,0
26,1,-174.50334,620.4806,2048.5732,0
27,1,-122.80452,620.4805,2240.559,0
28,1,-241.68056,620.4806,2215.7546,0
29,1,125.87511,620.4806,1964.0814,0
30,1,383.1362,620.4806,1885.2338,0
31,1,-164.97649,621.8737,772.5895,0
32,1,-150.01836,620.7871,486.06055,0
33,1,-367.50885,620.4806,884.17816,0
34,1,-538.81366,620.4806,733.88916,0
35,1,-540.40497,620.4806,404.2138,0
36,1,-725.8859,620.4806,225.27477,0
37,1,-610.72504,620.4806,478.84106,0
38,1,-1016.5823,659.9422,242.35846,0
39,1,-1274.8212,659.9422,352.96338,0
40,1,-1324.002,551.8166,73.015015,0
41,1,-1433.112,551.8166,-200.99336,0
42,1,-1302.9847,551.8166,-208.3953,0
43,1,-1199.5498,623.5077,-577.28125,0
44,1,-1295.8392,623.5077,-544.13184,0
45,1,-786.24927,619.3114,-875.91064,0
46,1,-815.40027,619.3114,-1056.6011,0
47,1,-589.31244,619.3114,-897.1409,0
48,1,-1692.6621,619.3114,-1336.4452,0
49,1,-1575.2671,619.3114,-1102.7975,0
50,1,-1791.723,619.3114,-1248.5972,0
51,1,-1263.8785,619.3114,-1241.5149,0
52,1,-854.2545,619.3114,-1285.4995,0
53,1,-224.26169,619.3114,-971.32416,0
54,1,36.22043,619.3114,-959.9673,0
55,1,17.75834,619.3114,-1120.248,0
56,1,66.79683,619.3114,-1332.1526,0
57,1,35.41514,619.3114,-1473.422,0
58,1,321.08127,619.3114,-1418.3145,0
59,1,392.2181,619.3114,-1325.4629,0
60,1,248.0588,619.3114,-1389.8274,0
61,1,374.90796,619.3114,-969.39105,0
62,1,-58.010067,577.90576,-1588.4827,0
63,1,-67.32919,512.44666,-1739.8096,0
64,1,61.481018,474.8809,-1796.9469,0
65,1,149.23894,474.8809,-1628.3685,0
66,1,67.189575,474.8809,-1680.297,0
67,2,432.26254,619.3114,-829.1761,0
68,2,608.31616,639.5154,-913.07294,0
69,2,646.2894,619.3114,-624.9331,0
70,2,430.87305,619.31146,-680.94385,0
71,2,735.99243,639.5154,-802.7093,0
72,2,766.5919,639.5154,-969.737,0
73,2,829.9214,638.8933,-725.4625,0
74,2,559.5143,538.01,274.6636,0
75,2,710.8435,538.01,454.94928,0
76,2,509.13043,538.01,410.66922,0
77,2,677.12866,538.01,274.71375,0
78,2,639.20856,538.01,374.9099,0
79,2,-883.75903,619.3114,-1093.0654,0
80,2,-823.2636,619.3114,-875.9432,0
81,2,-764.4848,619.3114,-989.1512,0
82,2,-600.6813,619.3114,-888.8713,0
83,2,-556.46173,619.3114,-992.7243,0
84,2,-470.71045,619.3114,-863.07043,0
85,2,414.5681,619.3114,-957.6153,0
86,2,86.293755,619.3114,-1387.4862,0
87,2,348.42343,619.3114,-1334.445,0
88,2,253.96448,619.3114,-1424.5212,0
89,2,7.5581894,619.3114,-1440.9336,0
90,2,28.653778,619.3114,-1298.821,0
91,2,10.508454,474.8809,-1673.3059,0
92,2,135.82355,474.8809,-1657.9774,0
93,2,61.698357,474.8809,-1855.4242,0
94,2,-51.035866,474.8809,-1784.201,0
95,2,-72.676575,536.063,-1657.5447,0
96,2,-70.401535,617.8069,-1533.099,0
97,3,402.8964,620.4806,1589.7434,0
98,3,380.22,620.4806,1854.8962,0
99,3,714.2623,620.4806,1971.7306,0
100,3,604.51886,640.2397,1752.8976,0
101,3,650.317,632.72565,1565.4883,0
102,3,806.5682,620.4806,1505.5409,0
103,3,896.13354,620.4806,1792.9215,0
104,3,-186.05069,620.4806,2062.6309,0
105,3,-121.20614,620.4806,2323.9988,0
106,3,-274.6891,620.4806,2231.761,0
107,3,-136.32257,620.4806,2168.35,0
108,3,81.531845,620.4806,1950.7197,0
109,3,90.98158,620.4806,815.12524,0
110,3,437.5857,620.4806,848.07355,0
111,3,576.094,620.4806,770.457,0
112,3,621.71643,620.4806,1134.9337,0
113,3,605.1496,620.4806,1360.7949,0
114,3,620.5667,620.4806,846.7958,0
115,3,570.23065,538.01,496.63168,0
116,3,507.60757,538.01,327.36832,0
117,3,682.2833,538.01,246.8629,0
118,3,778.9418,538.01,546.9431,0
119,3,631.16516,538.01,381.11365,0
120,3,-697.5342,620.4806,266.83612,0
121,3,-637.2754,636.2168,395.0652,0
122,3,-598.3897,620.4806,286.23856,0
123,3,-550.91187,620.4806,655.9357,0
124,3,-486.42697,620.4806,851.72736,0
125,3,-211.69395,620.4806,864.17676,0
126,3,319.2632,620.4806,805.3293,0
127,3,-192.86845,620.7871,553.7388,0
128,3,289.36658,620.4806,826.94574,0
129,4,1046.7675,828.8224,-565.5245,89
130,5,-1238.6255,618.3418,2618.2456,135
131,6,1242.1552,742.4698,-770.22095,-90
132,7,493.23944,619.3114,-861.73517,0
133,7,693.38495,619.3114,-669.049,0
134,7,1084.6987,742.46985,-960.11285,0
135,7,757.9109,538.01,231.16193,0
136,7,572.89886,538.01,268.81723,0
137,7,632.8487,538.01,461.33325,0
138,7,573.79193,620.4806,831.3737,0
139,7,69.50025,620.4806,816.02826,0
140,7,418.51404,620.4806,1566.0771,0
141,7,403.6961,620.4806,1864.0348,0
142,7,824.8934,620.4806,1684.7483,0
143,7,802.76306,620.4806,1870.904,0
144,7,-216.74307,620.4806,2034.9371,0
145,7,-955.4511,611.2091,2372.8433,0
146,7,-1179.2926,611.2091,2363.9307,0
147,7,-225.46356,620.7871,584.464,0
148,7,-560.32605,620.4806,428.01514,0
