ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,-1099.6348,372.39,778.5563,0,다이나 양봉지
2,2,-1204.78,233.33,375.6,0,푸른 슬라임
3,2,-1053.01,233.33,422.8,0,푸른 슬라임
4,2,-978.08,233.33,329.81,0,푸른 슬라임
5,2,-1051.2333,224.67,269.26437,0,푸른 슬라임
6,2,-1171.31,232.44,255.39,0,푸른 슬라임
7,2,-1150.18,220.79,116.06,0,푸른 슬라임
8,2,-1074.88,207.86,145.23,0,푸른 슬라임
9,2,-936.68,233.33,136.92,0,푸른 슬라임
10,2,-932.99,233.33,26.33,0,푸른 슬라임
11,2,-1038.9,207.86,20.94,0,푸른 슬라임
12,2,-1145.96,218.71,-8.46,0,푸른 슬라임
13,2,-1193.81,233.33,-33.68,0,푸른 슬라임
14,2,-1161.48,227.8,-94.1,0,푸른 슬라임
15,2,-1049.16,207.86,-99.46,0,푸른 슬라임
16,2,-949.46,233.33,-93.36,0,푸른 슬라임
17,2,-1213.54,233.33,61.13,0,푸른 슬라임
18,2,-1204.12,233.33,229.83,0,푸른 슬라임
19,2,-1132.21,233.33,418.7,0,푸른 슬라임
20,2,-975.18,233.33,222.36,0,푸른 슬라임
21,2,-872.28,233.33,507.1,0,푸른 슬라임
22,2,-463.43,94.97,706.1,0,푸른 슬라임
23,2,-498.84818,94.97,841.7057,0,푸른 슬라임
24,2,-396.96,94.97,918.98,0,푸른 슬라임
25,2,-285.08713,94.97,900.40967,0,푸른 슬라임
26,2,-287.9213,94.97,803.268,0,푸른 슬라임
27,2,-297.02,94.97,717.11,0,푸른 슬라임
28,2,-215.07,94.97,688.11,0,푸른 슬라임
29,2,-144.1349,94.97,699.1247,0,푸른 슬라임
30,2,-183.18,94.97,759.45,0,푸른 슬라임
31,2,-233.88957,94.97,844.3812,0,푸른 슬라임
32,2,-167.28775,94.97,870.66095,0,푸른 슬라임
33,2,-135.42,94.97,963.69,0,푸른 슬라임
34,2,-82.79,94.97,873.74,0,푸른 슬라임
35,2,-84.61,94.97,722.07,0,푸른 슬라임
36,2,-392.70294,94.97,804.4307,0,푸른 슬라임
37,3,-1407.93,175.57,-543.03,0,푸른 플라스크
38,3,-1371.96,175.57,-418.98,0,푸른 플라스크
39,3,-1365.87,175.57,-297.96,0,푸른 플라스크
40,3,-1226.92,175.57,-452.09,0,푸른 플라스크
41,3,-1138.14,175.57,-619.08,0,푸른 플라스크
42,3,-1047.04,175.57,-531.86,0,푸른 플라스크
43,3,-1118.72,175.57,-414.3,0,푸른 플라스크
44,3,-1187.97,175.57,-282.91,0,푸른 플라스크
45,3,-1031.66,175.57,-242.83,0,푸른 플라스크
46,3,-893.80023,175.57,-280.88367,0,푸른 플라스크
47,3,-868.61945,175.57,-405.74905,0,푸른 플라스크
48,3,-699.54517,175.57,-537.22754,0,푸른 플라스크
49,3,-836.66473,175.57,-525.54065,0,푸른 플라스크
50,3,-683.3463,175.57,-613.8001,0,푸른 플라스크
51,3,-673.84,175.57,-475.4,0,푸른 플라스크
52,3,-685.19006,175.57,-348.98285,0,푸른 플라스크
53,3,-756.9697,175.57,-441.0835,0,푸른 플라스크
54,3,-963.6217,175.57,-366.48907,0,푸른 플라스크
55,3,-803.76,175.57,-245.69,0,푸른 플라스크
56,3,-726.24,175.57,-256.22,0,푸른 플라스크
57,3,-962.5,175.57,-450.36,0,푸른 플라스크
58,3,-1234.48,175.57,-599.53,0,푸른 플라스크
59,3,-1491.97,175.57,-454.36,0,푸른 플라스크
60,3,-1513.58,175.57,-330.77,0,푸른 플라스크
61,3,-1559.83,175.57,-559.98,0,푸른 플라스크
62,3,-923.29,175.57,-606.03,0,푸른 플라스크
63,3,-776.9789,175.57,-606.1053,0,푸른 플라스크
64,3,-763.0791,175.57,-353.12756,0,푸른 플라스크
65,4,-1161.63,327.63,-1230.52,0,푸른 수호 거미
66,4,-1104.59,327.63,-1107.78,0,푸른 수호 거미
67,4,-925.82,327.85,-1042.27,0,푸른 수호 거미
68,4,-939.92,327.63,-1123.35,0,푸른 수호 거미
69,4,-1013.32,327.63,-1123.97,0,푸른 수호 거미
70,4,-861.0453,327.63,-1312.5571,0,푸른 수호 거미
71,4,-1188.5098,327.63,-1293.1428,0,푸른 수호 거미
72,4,-1098.6025,327.63,-1372.3816,0,푸른 수호 거미
73,4,-1147.35,327.63,-1445.35,0,푸른 수호 거미
74,4,-969.47,327.63,-1355.01,0,푸른 수호 거미
75,4,-893.6,327.63,-1414.78,0,푸른 수호 거미
76,4,-1078.52,327.63,-1286.92,0,푸른 수호 거미
77,4,-1178.4,327.63,-1127.77,0,푸른 수호 거미
78,4,-896.01,327.63,-1187.83,0,푸른 수호 거미
