ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,-2408.521,216.06186,-179.95453,0
2,2,-545.88226,-65.46565,-300.1082,0
3,3,-577.65674,-65.46566,-104.21095,0
4,4,-607.5123,-65.46565,107.03206,0
5,5,-940.4429,-65.465645,55.258408,0
6,6,-1290.7295,-65.46565,2.3917294,0
7,7,-1256.3196,-65.46565,-209.6945,0
8,8,-1227.4957,-65.46565,-406.97272,0
9,9,-878.4892,-65.46565,-350.66992,0
10,10,-910.3863,-65.46566,-155.62712,0
11,11,-433.61853,2.192955,-1776.5206,0
12,11,-269.45352,2.192955,-1822.4717,0
13,11,-219.09018,2.192955,-1648.0061,0
14,11,-392.96848,2.192955,-1606.5193,0
15,12,-866.70044,1.6009216,-725.7527,0
16,12,-904.99335,1.6009216,-1013.1302,0
17,12,-569.4887,1.6009216,-1050.6354,0
18,12,-527.9968,1.6009216,-786.4013,0
19,13,518.91595,1.0703049,-477.00192,0
20,13,350.5918,1.0703049,-393.25024,0
21,13,352.20694,1.0703049,-634.4935,0
22,13,521.86975,1.0703049,-722.38654,0
26,15,359.4692,1.0703049,-1383.7825,0
27,16,-684.39996,-33.201363,776.65967,46
28,17,299.7896,1.0703049,208.6648,0
29,18,924.84454,83.108734,-1527.3309,-7
35,12,-724.6502,1.6009216,-888.46936,0
36,19,-760.3872,-33.201363,855.8056,0
37,19,-649.371,-33.201363,878.1699,0
38,19,-549.30444,-33.201363,810.2288,0
39,19,-668.5881,-33.201363,763.3654,0
40,19,-577.35815,-33.201363,742.00903,0
41,19,-572.42645,-33.201363,891.78754,0
42,19,-658.34985,-33.20138,681.61035,0
43,19,-690.2356,-33.201363,814.2895,0
44,19,-617.0581,-33.201363,808.34937,0
45,19,-531.3247,1.1486797,1048.2162,0
46,19,-471.2097,1.1945724,961.0096,0
47,19,-411.04123,1.1625134,868.9174,0
48,19,-356.84613,1.113396,772.90137,0
49,19,-581.25604,1.0702744,595.015,0
50,19,-503.75616,1.0702744,541.65485,0
51,19,-481.26227,1.0026014,642.1003,0
52,19,-376.2455,-2.252239,620.16016,0
53,19,-292.35754,-0.21642017,687.27875,0
54,19,-1230.47,-65.46565,-411.7004,0
55,19,-1246.1241,-65.46565,-218.46742,0
56,19,-1285.3153,-65.46565,7.0263405,0
57,19,-934.2816,-65.465645,58.793015,0
58,19,-875.6927,-65.46565,-356.81088,0
59,19,-541.0522,-65.46565,-293.37698,0
60,19,-584.1863,-65.46566,-100.68056,0
61,19,-600.85645,-65.46565,110.46975,0
62,19,1281.7057,-101.71162,-822.4201,0
63,19,1256.076,-101.71162,-624.5177,0
64,19,1214.6018,-101.71162,-405.9706,0
65,19,1577.5619,-101.71161,-356.6572,0
66,19,1624.534,-101.71162,-773.94684,0
