ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,-102,-193,255,-90
2,2,-153,-193,747,-45
3,3,-391,-235,1801,-45
4,4,-704,275,-782,0
5,5,-617,275,-484,45
6,6,-598,275,-465,-45
7,7,-624,275,-461,0
8,8,-495,275,-719,45
9,9,-473,275,-548,-45
10,10,-290,-235,1808,45
11,11,-221,-235,1578,-90
12,12,13,-235,1714,0
13,13,299,244,-752,0
15,15,-1468,374,-295,0
16,16,-1326,670,1419,0
17,17,-1425,720,1399,0
19,19,1425.5459,0.73739624,935.1099,0
20,19,1578.0226,0.73739624,956.27563,0
21,19,1682.2643,0.73739624,827.5134,0
22,19,1663.1738,0.73739624,658.38696,0
23,19,1520.2339,0.73739624,696.4199,0
24,19,1585.9727,-1.0604413,-44.776035,0
25,19,1699.822,-0.15595305,-138.83748,0
26,19,1795.2745,-2.2258625,-54.03248,0
27,19,1826.0532,0.73739624,252.13307,0
28,19,1647.5977,-3.5843964,169.6483,0
29,19,1610.5609,-6.637207,-800.2825,0
30,19,1547.5074,-6.637207,-669.6632,0
31,19,1735.7314,-3.0403922,-671.7823,0
32,19,1691.1134,0.73739624,-950.3977,0
33,19,1463.2596,0.73739624,-916.69824,0
34,20,-138.70074,-193.73682,600.4655,0
35,20,-208.28793,-193.73682,811.63226,0
36,20,-623.11444,-193.73682,1492.0134,0
37,20,-456.94965,-193.73682,1421.6609,0
38,20,-476.74084,-193.73682,1295.3057,0
40,20,-235.2241,-193.73682,1153.2214,0
41,20,94.81542,-275.83917,1283.16,0
42,20,103.97581,-275.8279,1599.0314,0
43,20,68.16197,-281.93793,1465.7506,0
45,20,464.28418,-31.7854,1149.5797,0
46,20,555.175,-33.8217,1290.0234,0
49,20,705.4969,-33.8217,1496.4088,0
50,20,690.9829,0.73739624,1738.4183,0
51,20,952.73035,-3.0632935,1312.4868,0
52,20,704.1966,0.73739624,1127.8192,0
54,20,882.8374,0.73739624,985.8547,0
56,20,1141.5498,0.73739624,650.59766,0
57,20,1367.3901,0.73739624,967.8271,0
58,20,1575.9899,0.73739624,896.9344,0
59,20,1530.9929,0.73739624,584.73846,0
60,20,1655.762,0.73739624,985.34564,0
62,20,1753.0997,0.73739624,652.8899,0
63,20,1124.3813,0.73739624,224.4747,0
64,20,1222.1989,0.73739624,7.72898,0
65,20,1154.5308,0.73739624,-171.11919,0
66,20,1827.7872,0.73739624,258.31006,0
67,20,1553.898,0.73739624,-102.90243,0
68,20,1760.2522,0.73739624,-179.1226,0
69,20,1101.6234,0.73739624,-468.626,0
70,20,1506.3495,0.73739624,-599.3219,0
71,20,1427.9603,0.73739624,-890.33923,0
72,20,1776.8014,0.73739624,-654.3797,0
73,20,1716.5237,0.73739624,-999.98956,0
75,20,881.5995,1.8636017,-1266.6818,0
76,20,772.64026,1.8636017,-1160.9208,0
77,20,906.3573,1.8636017,-931.2807,0
79,20,618.35004,69.7755,-820.6729,0
80,20,531.8924,67.36081,-1109.3901,0
81,20,332.3885,67.36081,-1062.0978,0
83,20,-32.41356,161.19719,-1043.8099,0
84,20,317.24646,246.3198,-854.70514,0
85,20,317.9002,246.3198,-616.4529,0
