ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,3191.4658,-2.6014,169.06168,81,글라데 언덕길
2,2,-1937.1763,124.8062,1262.3497,152,틸라 수도원
3,3,1285.1565,181.1645,-2261.4355,-88,우키스 경작지
4,4,74.70003,-7.9863,-1006.8451,164,모크슬 묘실
5,5,3038.884,-2.6014,-385.65323,0,나무뿌리 수정
6,5,2636.6611,-2.6014,-511.45938,0,나무뿌리 수정
7,5,2249.29,28.8683,-1123.0219,0,나무뿌리 수정
8,5,2301.1436,36.84781,-1727.9635,0,나무뿌리 수정
9,5,2319.5857,37.0825,-2104.0205,0,나무뿌리 수정
10,5,1674.7863,80.3404,-498.39365,0,나무뿌리 수정
11,5,1065.6718,181.1645,-1778.2781,0,나무뿌리 수정
12,5,1518.4701,181.1645,-1976.7526,0,나무뿌리 수정
13,5,659.2683,-7.9863,-935.17847,0,나무뿌리 수정
14,5,463.6061,70.68384,-171.56793,0,나무뿌리 수정
15,5,232.22083,-8.5802,645.8176,0,나무뿌리 수정
16,5,-33.84726,-8.580478,1083.8708,0,나무뿌리 수정
17,5,-745.10156,98.815,564.3177,0,나무뿌리 수정
18,5,-1024.7676,98.771736,829.01575,0,나무뿌리 수정
19,5,-1590.847,54.2665,323.59225,0,나무뿌리 수정
20,5,-1995.8925,54.2665,-183.30624,0,나무뿌리 수정
21,5,-1555.8723,124.8062,1313.161,0,나무뿌리 수정
22,5,88.544365,70.683,-210.35374,0,나무뿌리 수정
23,5,-2146.154,54.2665,284.61163,0,나무뿌리 수정
24,6,1341.8198,80.3404,-530.0268,-48,선임 수도사 거스
25,7,1560.0391,80.3404,-492.42532,-88,헌터 나타샤
26,8,1232.2633,80.3404,-778.3516,0,수도사 욘스
27,9,-471.8775,9.758165,1156.7396,-45,수도사 제프리
28,10,1537.8538,80.3404,-493.22647,-86,비비
30,11,-2453.7231,115.2141,144.4712,0,UnvisibleName
31,12,-2461.63,115.2141,-6.2536545,0,UnvisibleName
33,13,-2460.1914,115.2141,66.152084,-90,UnvisibleName
34,14,-2519.829,115.2141,222.4232,-90,UnvisibleName
35,15,-2534.2917,115.2141,62.804016,0,UnvisibleName
51,19,-2223.968,54.2665,-215.61948,0,초록 로프틀렘
52,19,-2024.8182,54.2665,-110.99038,0,초록 로프틀렘
53,19,-1868.6298,54.2665,61.029152,0,초록 로프틀렘
