ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,266.54105,9.814812,210.26808,0
2,1,7.9819164,-5.732077,104.67754,0
3,1,-340.55524,45.078102,222.00467,0
4,1,40.91606,-57.147736,716.0832,0
5,1,345.1383,-61.262417,941.9301,0
6,1,-223.19775,-57.928898,863.029,0
7,1,-723.8404,104.72539,176.33969,0
8,1,-869.6024,104.29297,-16.106262,0
9,1,-913.35455,104.36282,590.8886,0
10,1,-742.1966,104.29297,937.0924,0
11,1,-790.0671,104.98639,1528.4242,0
12,1,-768.1348,104.29297,1236.4899,0
13,1,83.453094,-57.12698,1155.7784,0
14,1,24.882362,-57.037956,1723.8995,0
15,1,172.97061,-57.037956,1578.1018,0
16,1,28.904316,-6.996558,-132.66675,0
17,1,-119.09488,-5.0105305,-346.27872,0
18,1,217.7464,-1.8150911,-271.5193,0
19,1,65.378845,-7.98434,-372.27368,0
20,1,62.02307,-8.429749,-705.92377,0
21,1,-353.44675,-8.429749,-803.2892,0
22,1,-1141.843,-12.338867,-860.4186,0
23,1,-824.6475,-12.338867,-796.473,0
24,1,-772.2585,-12.343204,-970.12933,0
25,1,-473.0906,-8.429749,-766.3572,0
26,1,402.52792,-8.429749,-780.87115,0
27,1,644.9068,-8.429749,-811.1098,0
28,1,817.45575,-8.429749,-679.85706,0
29,1,773.15356,-8.429749,-819.4182,0
31,1,1021.3051,-11.473877,-851.4827,0
32,1,1121.7092,-7.0665574,-804.3867,0
33,2,1060.2235,107.31373,830.71716,0
34,2,902.8307,107.32142,723.78687,0
35,2,1054.6648,107.93278,523.9698,0
36,2,1145.1538,107.37666,395.28503,0
37,2,1028.8716,107.37843,238.41272,0
38,2,915.5478,107.65582,136.30571,0
39,2,1096.6538,107.38441,6.2030563,0
40,2,1073.5754,107.19378,1351.4822,0
41,2,1084.2354,105.89267,1624.4458,0
42,2,930.41736,106.5119,1498.2692,0
43,2,1550.6298,115.20485,1453.686,0
44,2,1790.1401,119.73444,1530.8984,0
45,2,1856.7318,119.5721,1422.141,0
46,2,1727.1726,119.41462,1411.3896,0
47,2,670.01013,41.69445,838.9421,0
48,2,508.9806,-11.34624,770.1676,0
49,2,276.65698,-57.142326,654.911,0
50,2,-16.31554,-54.40257,695.72156,0
51,2,211.29317,-57.142326,835.34064,0
52,2,-65.423775,-36.481213,1008.7872,0
53,2,134.25638,-57.142757,1107.6774,0
54,2,69.61432,-57.038593,1372.8683,0
55,2,125.56548,-57.037956,1738.1633,0
56,2,-109.52972,-57.037956,1715.6554,0
57,2,139.6992,-51.68908,1510.3837,0
58,2,14.348255,-6.3316755,273.38068,0
59,2,7.5827274,-6.49606,156.21684,0
60,2,337.31473,9.503569,216.42824,0
61,2,186.7725,-6.4960327,267.78058,0
62,2,-133.20848,-5.095135,195.63925,0
63,2,67.451645,-7.2195735,-180.95349,0
64,2,-56.464584,-5.640895,-317.4892,0
65,2,99.11726,-8.09838,-402.4141,0
66,2,268.95355,-0.8925047,-266.8429,0
67,2,54.465073,-6.5790715,-25.082048,0
68,2,107.01076,-8.429749,-583.29004,0
69,2,18.475887,-8.429749,-743.2873,0
70,2,-822.65076,-12.338867,-889.46906,0
71,2,-949.3446,-12.338867,-782.9814,0
72,2,-685.902,-12.338867,-724.5384,0
73,2,-632.61035,-8.429749,-842.1409,0
74,2,-338.3061,-8.429749,-746.94275,0
75,2,531.5137,-8.429749,-801.80756,0
76,2,814.96924,-8.429749,-708.6961,0
77,2,908.8327,-8.429749,-828.4673,0
78,2,1061.4521,-11.473877,-791.44183,0
79,2,1076.9285,-11.021493,-714.35956,0
80,2,1182.7769,-6.2044706,-924.41614,0
81,2,-391.1096,69.96718,235.85637,0
82,2,-528.8188,115.18813,211.31349,0
83,2,-742.27234,107.32501,-90.76224,0
84,2,-826.4527,106.00156,158.7502,0
85,2,-629.2918,104.49171,303.38565,0
86,2,-936.1322,104.29297,286.6358,0
87,2,-901.53235,104.57877,603.64655,0
88,2,-816.00287,108.27678,434.51416,0
89,2,-758.0955,104.29297,852.795,0
90,2,-694.3371,108.61447,1278.0999,0
91,2,-838.151,104.29297,1474.1555,0
92,2,-737.6707,115.04176,1629.4508,0
93,2,-668.47375,104.29297,1428.9904,0
94,2,-1738.6738,109.29779,1442.346,0
95,2,-1787.138,109.29779,1753.4308,0
96,2,-1584.223,109.29779,1615.5338,0
97,2,-1725.2753,109.29779,1570.1458,0
98,2,-1506.8364,109.29779,1426.1086,0
99,2,-1268.7454,104.75953,1480.3229,0
100,2,-1127.0728,102.33793,1443.0537,0
101,2,-801.3883,112.92081,1658.599,0
102,3,-741.3374,107.4819,424.5121,0
103,3,-796.9892,104.29297,621.0836,0
104,3,-711.1575,104.29297,907.42993,0
105,3,-731.57965,104.29544,1310.3934,0
106,3,-665.0497,107.32507,1584.3043,0
107,3,-892.8697,106.42176,1529.9877,0
108,3,-1213.6926,105.98939,1511.9288,0
109,3,-1665.3884,109.29779,1733.9945,0
110,3,-1645.5884,109.29779,1402.8413,0
111,3,-1782.9741,109.29779,1647.9784,0
112,3,-793.7311,104.29297,196.22044,0
113,3,-688.61884,104.12737,-85.50618,0
114,3,-828.0192,107.32502,-100.44379,0
115,3,-563.3172,102.30386,81.84134,0
116,3,-79.574974,-6.2150955,203.02759,0
117,3,62.717163,-6.6416845,-81.137,0
118,3,16.715214,-8.339815,-452.0962,0
119,3,-122.96936,-4.320755,-359.36987,0
120,3,83.338745,-7.6448383,-300.35056,0
121,3,290.0286,-1.6603851,-288.07257,0
122,3,207.66954,-8.245515,-431.42365,0
123,3,68.01179,-8.429749,-747.10913,0
124,3,-171.24623,-8.429749,-797.53546,0
125,3,-409.56882,-8.429749,-752.3088,0
126,3,-983.276,-12.338867,-881.1235,0
127,3,-1033.6973,-12.371675,-718.254,0
128,3,-757.3102,-12.338867,-743.67755,0
129,3,-768.5056,-12.341303,-935.355,0
130,3,-532.05865,-8.429749,-747.51154,0
131,3,-443.86523,91.699936,240.4135,0
132,3,-298.44516,26.761463,265.76157,0
133,3,-876.0038,112.28856,1707.4874,0
