ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,585.63995,602.314,-2290.4922,-112
2,2,-437.92804,337.3494,1978.1326,125
3,3,695.9851,599.8887,-1597.0886,107
4,4,-537.05237,174.71115,-693.9525,-60
5,5,582.7185,238.79839,170.6073,-122
6,6,458.2367,326.15695,-709.408,0
11,7,-1581.7205,128.5476,866.65625,0
12,8,-664.25903,252.2664,94.06122,0
13,9,1164.6973,99.2021,-702.00946,0
16,11,442.9946,238.7984,743.5035,0
17,12,-1528.6956,185.55937,493.8097,0
18,16,392.1516,99.20201,-1166.1147,0
19,16,209.3366,99.201996,-1027.2065,-12
20,16,-168.58313,99.202,-1220.9171,0
21,16,-182.00189,98.82617,-742.48804,0
22,10,942.2028,97.39567,50.914707,0
24,17,965.4435,99.2021,-746.9342,0
25,18,-22.83236,248.7983,-446.5052,0
26,19,-649.72894,252.26642,-107.09027,0
28,21,550.0936,99.20203,-1030.8451,0
29,22,-1502.2822,248.79811,271.36417,0
30,23,-1723.7516,248.79808,333.00494,0
31,24,-1657.6222,248.79807,121.02506,0
32,25,-1333.6133,244.00096,123.52777,0
34,27,-350.48,303.23,760,0
35,28,-412.51947,303.23233,616.1574,0
36,29,-336.02,303.23,796.36,-117
37,30,683.9134,599.8887,-1576.433,0
38,16,139.57643,99.20198,-1239.3877,0
39,16,11.47386,99.20197,-982.93695,0
40,31,-660.9693,252.26642,94.89284,0
41,32,1166.3496,99.20209,-703.4342,0
42,33,-560.6277,248.79828,-256.36035,0
43,10,853.06976,97.39562,-411.94156,0
44,10,-53.440044,248.79831,-447.90323,0
45,10,652.75653,99.202034,-941.1945,0
46,10,-756.7163,252.2664,-36.57689,0
47,10,50.949566,99.20197,-1078.0887,0
48,10,-1280.2754,244.19751,92.11101,0
49,10,58.0715,248.79834,-157.84583,0
50,10,462.4886,238.79837,416.08954,0
51,10,-592.5507,327.3266,-560.2704,0
66,11,460.11548,238.79837,353.37085,0
67,11,574.79224,326.15698,-331.72577,0
68,11,639.5468,326.15695,-581.06635,0
69,11,467.83948,326.15695,-720.9336,0
70,11,195.81017,326.1569,-721.8739,0
71,11,-250.2285,327.32663,-649.4924,0
72,11,-454.6681,327.3266,-581.9023,0
73,11,-569.78217,174.71114,-935.3669,0
74,11,-596.00574,208.34732,-773.4429,0
75,11,-49.180485,207.61208,-591.60333,0
76,11,307.00058,99.20201,-1099.1012,0
77,11,-123.60304,99.201965,-1073.9622,0
78,11,867,97.39563,-125.11084,0
79,11,1059.9692,97.39565,-184.90863,0
80,11,835,97.39563,-385,0
81,11,595.3488,238.79839,514.10205,0
82,11,303.71597,238.79837,545.5613,0
83,12,-927.41254,252.26639,-2.9091644,0
84,12,-623.82056,252.26642,-94.465996,0
85,12,-521.6066,327.32657,-565.5877,0
