ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,-151.65439,341.73044,-1001.3499,0,
2,2,-107.11628,341.80496,-978.6709,0,
3,3,-2897.62,484.5271,-1228.3507,172,
4,4,1746.3326,344.1927,1810.3304,110,
5,5,-2833.7168,484.5271,-1248.3125,0,
6,5,1766.1221,344.1927,1754.6456,0,
7,7,-1228.4377,483.94885,-932.3874,0,
8,7,-1299.0447,483.9487,-1348.833,-94,
9,7,-1313.9948,410.117,-1855.1394,0,
10,7,-1305.6257,411.5518,-1533.1765,56,
11,7,-1547.3353,483.94852,-958.4367,0,
12,7,-1635.709,483.94846,-1221.1049,0,
13,8,35.24047,338.66443,-642.2841,0,
14,8,194.59607,337.8279,-722.5287,0,
15,8,742.55945,342.4413,-678.1272,0,
16,8,-642.82623,404.8704,-939.6619,0,
17,8,-987.3807,404.8704,-1044.3024,0,
18,8,411.3444,341.42923,-612.554,0,
19,9,-1279.6091,410.117,-1978.4677,0,붉은 데드본스캡
20,9,110.42744,584.8895,-1587.8768,0,붉은 데드본스캡
23,9,-1289.261,551.15314,-299.61356,0,붉은 데드본스캡
24,9,-480.58807,649.3501,352.52606,0,붉은 데드본스캡
25,9,545.4354,628.8376,350.0946,0,붉은 데드본스캡
26,9,892.6898,627.58453,495.99265,0,붉은 데드본스캡
27,9,281.3819,342.09,-620.328,0,붉은 데드본스캡
29,9,1398.1287,359.1157,-585.88403,0,붉은 데드본스캡
30,9,1889.692,363.4869,-550.02936,0,붉은 데드본스캡
34,9,1939.5503,344.1927,1260.6156,0,붉은 데드본스캡
35,10,716.7785,342.4413,-471.87128,0,
39,16,-1232.039,483.94876,-1074.065,0,초록 인프로 홀더
40,17,715.71606,342.4413,-470.96432,-75,
42,7,-1530.7493,562.4769,-1487.9465,0,
44,19,-494.3096,404.8704,-946.3547,49,
45,20,2521.9192,413.0796,-104.35196,0,
46,21,2197.1108,363.20624,-448.79657,0,
48,16,-1523.3064,483.94855,-1205.0156,0,초록 인프로 홀더
49,16,-1454.2628,483.94867,-986.4707,0,초록 인프로 홀더
50,16,-1379.3838,483.94864,-1178.4027,0,초록 인프로 홀더
51,16,-1318.4633,483.9487,-1332.5748,0,초록 인프로 홀더
52,16,-1364.0131,560.06323,-717.44037,0,초록 인프로 홀더
53,16,-1366.0023,560.0499,-558.226,0,초록 인프로 홀더
54,16,-1273.9845,411.50238,-1594.6711,0,초록 인프로 홀더
55,16,-1305.7101,410.117,-1883.1603,0,초록 인프로 홀더
56,16,-923.167,404.8704,-996.6277,0,초록 인프로 홀더
59,16,-1968.0481,562.6712,-1377.7153,0,초록 인프로 홀더
60,16,-1759.6558,562.55396,-1448.2579,0,초록 인프로 홀더
81,16,160.64087,584.16425,-1544.1877,0,초록 인프로 홀더
82,16,-1508.8698,551.4309,41.1995,0,초록 인프로 홀더
83,16,169.05373,584.95233,-1638.3826,0,초록 인프로 홀더
84,16,-652.4995,676.77435,250.60583,0,초록 인프로 홀더
85,16,8.031212,635.5042,481.17007,0,초록 인프로 홀더
