ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,-839.1986,136.82043,922.45355,0,
13,3,-808.7251,489.14832,-894.9888,0,
14,5,1057.9375,227.47168,823.98376,0,
17,9,1071.2617,489.14832,-1116.9878,-2,
45,18,-1532.609,489.14832,-793.90894,0,파이란
46,18,-1027.3464,557.4225,-1468.4337,0,파이란
47,18,-595.8107,557.4225,-1524.0227,0,파이란
48,18,-295.61826,564.83606,-711.59125,0,파이란
49,18,-999.10266,489.14832,-720.69305,0,파이란
50,18,-687.6747,489.14832,-800.40894,0,파이란
51,18,-661.5046,489.14832,-994.246,0,파이란
52,18,-996.164,489.14832,-994.7678,0,파이란
57,20,-868.7958,136.82043,1094.6064,0,드레이크
58,20,-1035.9502,165.26494,803.30206,0,드레이크
59,20,-1107.0485,166.86537,960.47345,0,드레이크
60,20,-561.2923,167.02391,966.6471,0,드레이크
61,20,-214.3883,212.94287,934.788,0,드레이크
62,20,-892.3927,212.94287,1629.5284,0,드레이크
63,20,-1544.1956,212.94287,928.814,0,드레이크
64,20,176.28015,564.83606,-739.29285,0,드레이크
65,20,471.90967,564.83606,-868.3673,0,드레이크
66,20,165.89966,564.83606,-1355.8112,0,드레이크
67,20,475.95215,564.83606,-1377.6095,0,드레이크
68,20,402.06824,564.83606,-1049.9847,0,드레이크
69,20,888.9514,489.14832,-657.3541,0,드레이크
70,20,1243.1628,489.14832,-715.7526,0,드레이크
71,20,1192.8112,489.14832,-1270.2368,0,드레이크
72,20,874.74567,489.14832,-1338.4645,0,드레이크
73,20,570.3009,564.83606,-1084.1707,0,드레이크
74,21,995.1506,227.47168,197.88864,0,주술 인형
75,21,1051.7059,347.35175,-237.6384,0,주술 인형
76,21,1300.7375,227.47168,-62.76146,0,주술 인형
77,21,1368.4724,227.47168,284.7506,0,주술 인형
78,21,1195.6385,227.47168,144.52287,0,주술 인형
79,22,1067.7129,227.47168,460.07544,0,주술 인형
80,22,716.196,489.14832,-890.2382,0,주술 인형
81,22,182.71628,564.83606,-1087.6699,0,주술 인형
82,22,-55.076397,564.83606,-732.84033,0,주술 인형
83,22,-774.1238,489.14832,-766.3183,0,주술 인형
84,22,-849.46814,136.82043,837.9645,0,주술 인형
85,22,-995.92615,227.47168,112.34981,0,주술 인형
86,22,-571.15326,228.62033,170.04086,0,주술 인형
87,22,1020.6224,227.47168,11.626295,0,주술 인형
88,22,1371.4578,227.47168,153.38094,0,주술 인형
89,22,-1083.6975,489.14832,-845.5778,0,주술 인형
90,22,-844.0698,489.14832,-998.1602,0,주술 인형
91,22,-977.3673,136.82043,924.3958,0,주술 인형
92,22,-832.8788,167.99176,1238.0149,0,주술 인형
93,22,-787.9439,136.82043,1072.6625,0,주술 인형
95,24,-1378.9341,227.47168,224.03477,-90,
96,11,245.60083,564.83606,-890.5065,0,붉은 인프로 락터
97,22,-679.15,557.4225,-1528.0156,0,주술 인형
98,20,-854.6027,136.82043,728.12976,0,드레이크
99,20,-746.8429,136.82043,791.78174,0,드레이크
100,20,-1489.6108,212.94287,980.9119,0,드레이크
101,20,-938.24347,212.94287,1555.6335,0,드레이크
102,20,-213.53473,212.94287,1067.9744,0,드레이크
103,18,-829.91876,229.08276,296.90057,0,파이란
104,18,-883.63745,227.47168,-43.613342,0,파이란
105,22,353.07394,564.83606,-1220.6377,0,주술 인형
106,20,917.6963,489.14832,-970.8701,0,드레이크
109,20,1238.4011,489.14832,-935.1142,0,드레이크
110,18,973.2238,489.14832,-1061.3683,0,파이란
111,18,1041.705,489.14832,-772.2016,0,파이란
112,22,997.0597,489.14832,-1189.5754,0,주술 인형
113,22,1179.324,489.14832,-763.343,0,주술 인형
114,22,-249.81096,564.83606,-802.9268,0,주술 인형
115,22,-668.713,227.5595,-0.3463936,0,주술 인형
116,22,-1564.3625,212.94287,1035.3798,0,주술 인형
117,22,-826.5791,212.94287,1654.809,0,주술 인형
118,22,-182.35043,212.94287,970.6289,0,주술 인형
120,26,-1423.3348,227.47168,73.137665,0,
121,26,-756.7698,228.5691,148.52222,0,
122,26,-726.28326,136.82043,956.87146,0,
123,26,-893.47687,489.14832,-834.1512,0,
124,26,258.33533,564.83606,-1245.2372,0,
125,26,1089.655,489.14832,-874.02246,0,
126,26,1088.1611,227.47168,321.28217,0,
127,26,-144.55057,564.83606,-796.9149,0,
128,26,-877.142,212.94287,1706.7351,0,
129,26,-1598.9438,212.94287,953.01965,0,
130,26,-97.13443,212.94287,1004.9994,0,
131,26,-1556.525,489.14832,-867.2978,0,
132,26,-1006.9897,557.4225,-1570.0574,0,
133,26,-609.7346,557.4225,-1446.5681,0,
136,23,-1650.5305,303.31244,116.49536,176,
138,10,1650.4877,182.35712,117.63239,0,
140,25,1044.0923,342.39853,1658.5074,0,
141,6,1044.1035,342.39853,1649.4647,0,
142,8,1002.2462,342.3985,1727.9265,-42,
143,28,-423.2543,227.47168,152.31204,-178,
144,29,785.68854,227.47168,146.99846,0,
145,30,1648.8579,183.02866,118.53784,0,
146,31,-1650.3281,303.13843,113.68703,0,
147,1000,-519.44,168.09,719.54,180,
