ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,26.376266,0.123,107.4819,0
2,2,124.91725,0.123,347.3955,0
4,3,-347.85364,111.088,-573.31354,0
5,4,-647.5708,111.088,-525.88776,0
6,5,-901.5302,103.62022,-909.16626,0
7,6,-1496.9795,112.3665,-889.00714,0
8,7,-1368.7618,118.3985,-504.90955,0
9,8,-1107.6992,0.4155,-23.67272,0
10,9,-1515.0676,0.4155,-211.8399,0
11,10,-869.2136,3.3401,317.566,0
13,11,-844.0153,114.4636,760.54626,0
15,12,-36.061676,112.5825,911.92303,0
16,13,-19.217113,112.5825,671.7848,0
17,14,-486.3737,112.5825,648.5101,0
18,15,-486.57553,112.5825,879.3674,0
19,16,546.83856,57.5365,874.54956,0
21,17,566.4669,57.5365,716.8132,0
22,18,1117.7261,0.4243,691.8973,0
24,19,1298.1694,118.3563,324.88666,0
26,20,9.248821,0.123,-11.835621,0
28,21,1018.9968,0.3081,-622.3892,0
29,22,381.0675,5.7886,289.9505,0
30,23,318.11826,0.123,-104.73138,0
31,24,-315.427,0.123,-55.208527,0
32,25,-294.2634,0.123,350.59473,0
33,26,-1205.9493,114.4636,948.8916,0
34,27,683.7007,0.3081,-470.92218,0
35,28,-1255.3871,0.0457,303.89572,0
36,29,298.031,57.5365,910.3587,0
37,30,823.1584,0.4243,768.46234,0
38,31,772.4633,120.3944,235.61641,0
39,32,-1137.6249,112.367,-693.8376,0
40,33,932.30347,114.91349,94.19976,-57
41,34,-1028.7721,3.3401,304.53156,0
42,35,476.90396,91.1839,-626.89355,0
43,36,-25.179396,0.76053905,-774.7845,0
44,34,-913.9122,114.4636,858.90564,0
45,34,-149.49362,112.5825,768.46423,0
46,34,1119.2732,112.6441,103.15617,0
47,34,92.734184,0.123,50.609787,0
48,34,-1196.7982,112.3665,-739.2802,0
49,37,1161.4254,112.6441,64.525505,0
50,38,71.22851,0.123,155.8889,0
51,39,-35.246914,5.7807,-472.58447,0
52,40,-34.507362,5.7807,-466.32352,0
53,41,-170.41786,0.123,19.547928,0
54,41,258.24307,0.123,93.21041,0
55,41,-7.4845753,6.8758,445.65512,0
56,41,441.64288,57.5365,764.59985,0
57,41,-266.74362,112.5825,891.3008,0
58,41,-986.93994,114.4636,828.04,0
59,41,-1059.4888,3.3401,234.21434,0
60,41,-1395.4532,0.4155,-45.958687,0
61,41,-1297.8217,112.3665,-784.77734,0
62,41,-1004.7156,118.1145,-588.94604,0
63,41,-467.21982,111.088,-498.21396,0
64,41,833.3135,0.3081,-501.8186,0
65,41,779.1224,116.0623,57.26957,0
66,41,1267.4897,118.3563,156.44907,0
67,41,979.73425,0.4243,627.0676,0
68,42,-1041.4769,105.48816,-928.6988,50
69,43,-253.61438,112.58247,986.6729,-47
70,44,746.6254,0.4243,585.54425,-37
71,45,121.83504,0.123,-10.833511,0
72,45,102.05772,0.123,192.40996,0
73,45,-224.22858,0.123,234.95244,0
74,45,-27.15818,6.8758,396.3933,0
75,45,-399.1001,112.58229,799.83655,0
76,45,-192.24069,112.58224,835.2691,0
77,32,-1372.2626,112.3665,-806.58435,0
78,32,-1264.819,118.3985,-566.6502,0
79,32,-1001.8707,112.3665,-798.14343,0
80,32,-971.7458,118.1145,-579.6299,0
81,32,-133.55797,112.58239,709.1034,0
82,32,-302.0043,112.58218,842.6755,0
83,32,463.7983,57.53647,828.3593,0
84,32,872.7762,112.6441,39.478195,0
85,32,915.62494,118.34819,253.87227,0
86,32,1100.5916,108.80489,-9.715155,0
87,32,1239.9385,118.35634,231.82744,0
88,45,839.77136,0.3081,-559.0459,0
89,45,374.05243,5.7886,207.43678,0
90,45,-1093.2949,112.3665,-580.3272,0
91,45,-1084.7949,114.464,862.50854,0
92,45,-945.9262,114.4636,949.0055,0
93,47,311.90723,91.1839,-678.7358,85
94,48,-204.00914,0.7605,-769.8567,0
96,49,-119.16598,0.76099527,-785.1595,0
97,49,374.43375,91.184006,-642.9914,0
98,32,292.373,57.536472,740.62036,0
99,32,-396.93817,112.58246,685.27167,0
100,32,1072.2236,112.6441,166.91063,0
101,45,-1193.8787,112.36654,-855.74396,0
102,45,-1035.0659,3.3401132,269.32343,0
103,45,-55.48613,0.12299273,-397.7105,0
104,45,966.6663,116.0623,191.17017,0
105,45,789.4263,0.30813426,-549.4807,0
106,45,950.05804,112.64412,-10.45192,0
107,50,-591.74097,111.38818,-547.1952,0
108,50,-466.77084,111.088,-479.87738,0
109,50,-476.38364,111.08801,-556.9702,0
110,50,829.1923,0.308136,-608.61035,0
111,50,817.7796,0.308136,-530.32764,0
112,50,841.9343,0.308136,-467.38446,0
113,50,-62.46383,0.12297821,44.966858,0
