ClassID,GenType,PosX,PosY,PosZ,Direction,Name
900,900,-45,264,-3186,0,
901,901,-41.13,263.85,-2439.76,0,비카라스 메이지
902,901,-23.197426,254.38,-2212.6252,0,비카라스 메이지
903,901,-59.43,269.54,-2154.67,0,비카라스 메이지
904,901,-65.74034,254.83,-1982.0479,0,비카라스 메이지
905,901,-81.45,254.83,-1881.44,0,비카라스 메이지
906,901,-5.73,212.52,-1746.35,0,비카라스 메이지
907,901,-158.66,255.06,-1727.68,0,비카라스 메이지
908,901,-114.69476,255.06,-1535.8002,0,비카라스 메이지
909,901,-94.4,212.52,-1619.78,0,비카라스 메이지
910,901,108.37,254.8,-1617.98,0,비카라스 메이지
911,901,-71.19,254.88,-1414.37,0,비카라스 메이지
912,901,-19.48,265.33,-1216.36,0,비카라스 메이지
913,901,-64.38,256.74,-1030.07,0,비카라스 메이지
914,901,-9.46,322.95,-930.21,0,비카라스 메이지
915,901,-154.79,338.01,-826,0,비카라스 메이지
916,901,26.56,338.01,-807,0,비카라스 메이지
917,902,-1192.7202,255.06,-1711.5608,0,푸른 티니
918,902,-653.2134,255.06,-1720.4277,0,푸른 티니
919,902,-986.98,255.06,-1549.672,0,푸른 티니
920,902,-945.73517,255.06,-1766.1688,0,푸른 티니
921,902,-305.70905,255.06,-1697.2223,0,푸른 티니
922,902,-833.75,255.06,-1669.92,0,푸른 티니
923,902,-478.75,255.06,-1698.13,0,푸른 티니
924,902,-180.66,255.06,-1577.27,0,푸른 티니
925,902,-105.49628,212.52,-1704.4458,0,푸른 티니
926,902,5.49,212.52,-1755.14,0,푸른 티니
927,902,-37.99,224.99,-1592.4,0,푸른 티니
928,902,198.7,254.76,-1671.15,0,푸른 티니
929,902,449.42,252.86,-1650.77,0,푸른 티니
930,902,652.58,252.86,-1702.52,0,푸른 티니
931,902,282.97464,254.72,-1713.6687,0,푸른 티니
932,902,936.18176,252.86,-1649.8884,0,푸른 티니
933,902,1071.3909,252.86,-1694.8777,0,푸른 티니
934,902,1206.2103,252.86,-1758.252,0,푸른 티니
935,902,861.1463,252.86,-1782.138,0,푸른 티니
936,902,1199.59,252.86,-1590.69,0,푸른 티니
937,903,-1234.83,337.12,-628.42,0,에하드 마법사
938,903,-1027.18,337.12,-690.55,0,에하드 마법사
939,903,-952.96,337.12,-527.91,0,에하드 마법사
940,903,-659.87,344,-607.24,0,에하드 마법사
941,903,-445.47,344,-518.06,0,에하드 마법사
942,903,-349.69,344,-671.63,0,에하드 마법사
943,903,-172.8,338.01,-596.72,0,에하드 마법사
944,903,-85.39,338.01,-783.07,0,에하드 마법사
945,903,38.01,338.01,-467.05,0,에하드 마법사
946,903,36.81,338.01,-630.56,0,에하드 마법사
947,903,247.06,343.3,-633.78,0,에하드 마법사
948,903,337.62,343.3,-554.11,0,에하드 마법사
949,903,421.17,343.3,-629.12,0,에하드 마법사
950,903,557.84,343.3,-531.81,0,에하드 마법사
951,903,654.07,343.3,-630.72,0,에하드 마법사
952,903,720.92,343.3,-519.95,0,에하드 마법사
953,903,810.03,337.75,-637.26,0,에하드 마법사
954,903,912.32,337.75,-560.22,0,에하드 마법사
955,903,1027.97,337.75,-581.63,0,에하드 마법사
956,904,913.92,337.75,-739.89,0,갈색 콜리멘
957,904,989.5,337.75,-477.82,0,갈색 콜리멘
958,904,974.43,337.75,-375.62,0,갈색 콜리멘
959,904,1289.48,337.75,-354.03,0,갈색 콜리멘
960,904,1136.34,337.75,-568.14,0,갈색 콜리멘
961,904,1249.04,337.75,-671.15,0,갈색 콜리멘
962,904,1089.3,337.75,-331.97,0,갈색 콜리멘
963,904,1088.36,337.75,-869.88,0,갈색 콜리멘
964,904,997.31,334.01,-912.31,0,갈색 콜리멘
965,904,1033.46,253.6,-1005.15,0,갈색 콜리멘
966,904,981.57,252.86,-1164.07,0,갈색 콜리멘
967,904,1053.52,252.86,-1315.33,0,갈색 콜리멘
968,904,1021.13,252.86,-1470.6,0,갈색 콜리멘
969,904,838.1,252.86,-1601.08,0,갈색 콜리멘
970,904,940.58,252.86,-1748.17,0,갈색 콜리멘
971,904,1166.79,252.86,-1785.09,0,갈색 콜리멘
972,904,1055.89,252.86,-1619.82,0,갈색 콜리멘
973,904,1265,252.86,-1477.52,0,갈색 콜리멘
974,904,929.9634,252.86,-1941.5846,0,갈색 콜리멘
975,904,1236.17,252.86,-1614.11,0,갈색 콜리멘
976,905,-1295.68,337.12,-642.26,0,러블렘
977,905,-1079.9552,337.12,-556.725,0,러블렘
978,905,-1222.5796,337.12,-487.9212,0,러블렘
979,905,-1166.82,337.12,-307.33,0,러블렘
980,905,-969.4517,337.12,-396.1823,0,러블렘
981,905,-938.59125,337.12,-725.2938,0,러블렘
982,905,-1133.84,337.12,-791.67,0,러블렘
983,905,-1130.19,276.42,-976.35,0,러블렘
984,905,-1053.79,255.06,-1047.71,0,러블렘
985,905,-1120.5981,255.06,-1222.4896,0,러블렘
986,905,-1052.1,255.06,-1400.6,0,러블렘
987,905,-1200.95,255.06,-1504.22,0,러블렘
988,905,-1094.2795,255.06,-1678.5562,0,러블렘
989,905,-1281.41,255.06,-1783.55,0,러블렘
990,905,-1202.4,255.06,-1984.79,0,러블렘
991,905,-1063.01,255.06,-1936.81,0,러블렘
992,905,-1136.02,255.06,-1852.23,0,러블렘
993,905,-919.99,255.06,-1704.74,0,러블렘
994,905,-938.12,255.06,-1583.03,0,러블렘
995,905,-1261.46,255.06,-1618.37,0,러블렘
996,905,-887.36365,337.12,-574.4742,0,러블렘
997,906,-4.54,330.33,-40.8,0,블라인들렘
998,906,-68.23,330.33,-250.5,0,블라인들렘
999,906,-0.54,330.33,-225.77,0,블라인들렘
1000,906,-84.99,330.33,-81.37,0,블라인들렘
1001,906,-9.35,315.54,227.98,0,블라인들렘
1002,906,-16.48,330.13,378.61,0,블라인들렘
1003,906,-85.94,315.54,125.41,0,블라인들렘
1004,906,-87.56,332.43,524.17,0,블라인들렘
1005,906,13.29,291.97,656.89,0,블라인들렘
1006,906,-63.518375,291.97,686.678,0,블라인들렘
1007,906,-19.84,330.32,819.28,0,블라인들렘
1008,906,-45.88,362.43,1040.95,0,블라인들렘
1009,906,-45.11193,334.64,951.33795,0,블라인들렘
1010,906,-57.12,334.96,1226.38,0,블라인들렘
1011,906,-19.61,334.96,1318.73,0,블라인들렘
1012,906,-77.98,334.96,1412.99,0,블라인들렘
1013,906,-175.67404,334.89,735.2325,0,블라인들렘
1014,906,116.17,334.17,690.54,0,블라인들렘
1015,907,-1152.66,334.89,508.03,0,갈색 티니 마법사
1016,907,-868.11,334.89,588.76,0,갈색 티니 마법사
1017,907,-1177.01,334.89,665.75,0,갈색 티니 마법사
1018,907,-1088.9318,334.89,935.11633,0,갈색 티니 마법사
1019,907,-1295.4525,334.89,797.15027,0,갈색 티니 마법사
1020,907,-656.62,334.89,718.25,0,갈색 티니 마법사
1021,907,-544.82,334.89,647.3,0,갈색 티니 마법사
1022,907,-362.81,334.89,751.95,0,갈색 티니 마법사
1023,907,-182.24,334.44,615.2,0,갈색 티니 마법사
1024,907,-30.54,317.77,809.68,0,갈색 티니 마법사
1025,907,-2.13,332.37,573.33,0,갈색 티니 마법사
1026,907,206.67,334.17,718.24,0,갈색 티니 마법사
1027,907,572.61,334.17,688.08,0,갈색 티니 마법사
1028,907,653.26,334.17,756.82,0,갈색 티니 마법사
1029,907,809.7091,334.17,690.2167,0,갈색 티니 마법사
1030,907,875.15,334.17,955.11,0,갈색 티니 마법사
1031,907,1015.94,334.17,743.32,0,갈색 티니 마법사
1032,907,1055.89,334.17,568.73,0,갈색 티니 마법사
1033,907,1311.88,334.17,722.91,0,갈색 티니 마법사
1034,907,1401.34,322.34,805.69,0,갈색 티니 마법사
1035,907,1377.47,328.29,513.98,0,갈색 티니 마법사
1036,907,1189.39,334.17,625.27,0,갈색 티니 마법사
1037,907,859.38,334.17,515.44,0,갈색 티니 마법사
1038,907,1128.78,334.17,864.62,0,갈색 티니 마법사
1039,907,1442.88,330.6,1045.08,0,갈색 티니 마법사
1040,907,-1107.0786,334.89,811.6195,0,갈색 티니 마법사
1041,907,-924.9342,334.89,853.0001,0,갈색 티니 마법사
1042,907,-1018.1349,334.89,699.316,0,갈색 티니 마법사
1043,907,-1004.9411,334.89,543.4708,0,갈색 티니 마법사
1044,908,398.16043,361.23,1283.1926,0,베누켈로스
1045,908,402.59424,361.23,1634.8375,0,베누켈로스
1046,908,372.7,361.23,1477.11,0,베누켈로스
1047,908,566.45447,361.23,1389.3849,0,베누켈로스
1048,908,864.87,356.96,1624.92,0,베누켈로스
1049,908,903.97,355.93,1343.86,0,베누켈로스
1050,908,1161.81,356.51,1447.57,0,베누켈로스
1051,908,945.32,355.13,1739.07,0,베누켈로스
1052,908,438.85,158.26,2020.96,0,베누켈로스
1053,908,750.93,115.37,2207.79,0,베누켈로스
1054,908,1337.33,115.37,2156.34,0,베누켈로스
1055,908,1325,241.75,1911.3,0,베누켈로스
1056,908,1459.94,361.23,1404.89,0,베누켈로스
1057,908,1604.17,361.23,1319.43,0,베누켈로스
1058,908,1713.41,361.23,1572.3,0,베누켈로스
1059,908,1571.18,361.23,1522.29,0,베누켈로스
1060,908,1363.82,361.23,1572.86,0,베누켈로스
1061,908,1122.33,355.83,1589.09,0,베누켈로스
1062,908,1447.39,150.74,2317.6,0,베누켈로스
1063,908,1669.92,150.74,2368.34,0,베누켈로스
1064,908,1649.46,116.82,2128.14,0,베누켈로스
1065,908,1551.09,210.65,1908.57,0,베누켈로스
1066,908,1309.96,360.54,1378.04,0,베누켈로스
1067,908,869,341.71,1109.42,0,베누켈로스
1068,908,730.61194,360.97,1369.5825,0,베누켈로스
1069,908,591.2843,361.23,1500.8866,0,베누켈로스
1070,908,611.79956,361.23,1242.4143,0,베누켈로스
1071,908,756.29816,360.28,1558.0085,0,베누켈로스
1072,909,-2454.8083,564.46,1625.6162,0,메다키아
1073,909,-1877.29,544.19,1945.99,0,메다키아
1074,909,-1717.95,555.33,1755.49,0,메다키아
1075,909,-1667.3806,544.19,1924.6028,0,메다키아
1076,909,-1483.9246,556.28,1956.4766,0,메다키아
1077,909,-1251.45,556.28,2020.29,0,메다키아
1078,909,-1278.5739,556.28,1790.3353,0,메다키아
1079,909,-1086.1355,512.49,1367.3898,0,메다키아
1081,909,-1009.2976,556.28,2082.6592,0,메다키아
1082,909,-745.85,556.28,2036.2,0,메다키아
1084,909,-836.09,556.28,1687.07,0,메다키아
1085,909,-635.99,556.28,1889.76,0,메다키아
1087,909,-380.98,500.87,1904.65,0,메다키아
1088,909,-384.31,452.7,2178.55,0,메다키아
1089,909,-227.08,411.06,2150.48,0,메다키아
1090,909,-185.24,360.18,1978.32,0,메다키아
1091,909,-67.523,322.73,2000.2252,0,메다키아
1092,909,47.98,307.44,2047.63,0,메다키아
1093,909,-95.043724,334.96,1864.3329,0,메다키아
1094,909,0.7091465,334.96,1720.3922,0,메다키아
1095,909,-98.37561,334.96,1635.2593,0,메다키아
1096,909,-911.95996,556.28,1933.0804,0,메다키아
1097,909,-746.0951,556.28,1826.8887,0,메다키아
1098,909,-852.5689,556.45,2303.9158,0,메다키아
1099,909,-2706.8884,531.08,1934.1093,0,메다키아
1100,909,-2488.7078,559.57,1820.217,0,메다키아
1101,909,-2454.3655,546.61,1986.27,0,메다키아
1102,909,-2375.0994,559.94,1894.0042,0,메다키아
1103,909,-2225.7583,559.94,2005.1926,0,메다키아
1104,909,-2073.4604,558.45,1895.3071,0,메다키아
1105,909,-1906.8274,555.15,1774.9937,0,메다키아
1106,909,-1095.3947,552.95,1882.1464,0,메다키아
1107,909,-1085.4697,553.34,1561.3629,0,메다키아
1108,909,-1084.6467,556.28,1710.8518,0,메다키아
1109,911,-1042.24,552.99,1966.6,0,글리퀘어
1110,912,407.30386,334.17,698.546,0,마우로스
1111,901,-28.843485,212.52,-1741.0809,0,비카라스 메이지
1112,901,147.12341,254.75,-1676.5414,0,비카라스 메이지
1113,901,229.08792,254.76,-1678.417,0,비카라스 메이지
1114,901,-289.09015,255.06,-1723.2737,0,비카라스 메이지
1115,901,-376.33524,255.06,-1653.0658,0,비카라스 메이지
1116,901,-45.097443,254.38,-2308.6797,0,비카라스 메이지
1117,901,-28.371998,294.38,-1301.2019,0,비카라스 메이지
1118,902,-609.80774,255.06,-1657.1401,0,푸른 티니
1119,902,-1205.7153,255.06,-1888.191,0,푸른 티니
1120,902,-1061.8085,255.06,-1927.1349,0,푸른 티니
1121,902,-1140.627,255.06,-1508.6371,0,푸른 티니
1122,904,1189.5435,252.86,-1680.9132,0,갈색 콜리멘
1123,904,983.01276,252.86,-1059.8018,0,갈색 콜리멘
1124,904,1027.0056,337.75,-604.9689,0,갈색 콜리멘
