ClassID,GenType,PosX,PosY,PosZ,Direction
1001,1,-359.66626,415.64676,-1930.6384,0
1002,1,-349.83636,415.7209,-1710.5582,0
1003,1,-210.99023,415.6468,-1520.2893,0
1004,1,-108.14911,425.61594,-1704.5421,0
1005,1,-174.89812,425.61594,-1754.3878,0
1006,1,-215.03206,299.20703,-860.57697,0
1007,1,-4.7401137,299.20703,-927.6847,0
1008,1,9.193852,299.20703,-1064.3381,0
1009,1,-219.13464,325.87573,-1223.1964,0
1010,1,-224.12253,376.83197,-1332.9092,0
1011,1,-119.29212,332.22476,-639.0124,0
1012,1,-122.15192,332.22476,-558.92334,0
1013,1,869.701,218.45741,-1152.6095,0
1014,1,723.0988,218.45741,-975.97174,0
1015,1,755.6093,218.4574,-934.4902,0
1016,1,852.1149,218.45743,-812.683,0
1017,1,821.20935,218.45743,-597.3452,0
1018,1,910.3112,220.77383,-141.4718,0
1019,1,900.42755,218.45743,-212.20924,0
1020,1,867.4726,218.45743,81.40931,0
1021,1,1517.9303,218.45743,-233.10042,0
1022,1,1798.4177,218.45743,-217.76372,0
1023,1,1682.4056,218.45743,-225.27094,0
1024,1,1479.6929,218.45743,-77.80905,0
1025,1,1538.8362,218.45743,32.61074,0
1026,1,804.40985,218.49059,248.04816,0
1027,1,804.5996,218.49446,426.48404,0
1028,1,878.2568,218.54465,693.8047,0
1029,1,694.9906,218.54465,1076.474,0
1030,1,870.94867,218.54465,845.0116,0
1031,1,703.9742,218.54465,883.65704,0
1032,1,696.4728,218.54465,673.6154,0
1033,1,1458.6743,415.45715,621.9496,0
1034,1,1246.9,415.45715,690.5912,0
1035,1,1248.4537,420.96158,857.1233,0
1036,1,1524.0841,415.45715,1045.4088,0
1037,1,1363.8909,415.45715,1099.8806,0
1038,1,1376.3434,415.45715,1272.2944,0
1039,1,806.60754,218.58281,1363.0916,0
1040,1,682.1582,218.59811,1691.2346,0
1041,1,396.68573,218.59811,1686.2831,0
1042,1,192.60959,218.59811,1724.8782,0
1043,1,364.02997,218.59811,1531.7789,0
1044,1,242.42621,222.37595,1288.7094,0
1045,1,417.65298,215.15817,1301.5702,0
1046,1,152.49644,242.28949,1435.9825,0
1047,1,269.86005,304.33127,847.3692,0
1048,1,-168.50488,371.07288,615.8489,0
1049,1,-54.0306,371.07288,830.42615,0
1050,1,35.86918,371.07288,653.377,0
1051,1,-157.30707,371.07288,1087.8961,0
1052,1,-210.4946,371.07288,1052.7626,0
1053,1,-8.101772,371.07288,1351.6632,0
1054,1,-603.3783,154.77615,1208.0682,0
1055,1,-304.13727,229.85251,1494.5776,0
1056,1,-601.9053,229.85251,1569.4552,0
1057,1,-315.85568,218.59811,1699.4829,0
1058,1,-466.80853,223.52257,1629.2489,0
1059,1,-685.63586,218.59811,1644.7893,0
1060,1,-228.18193,371.07288,879.58716,0
1061,1,-201.8197,371.07288,842.8586,0
1062,1,-179.62584,371.07288,906.21454,0
1063,1,-337.47406,371.07288,123.5555,0
1064,1,-289.36148,371.07288,190.46155,0
1065,1,35.63116,381.28934,234.64307,0
1066,1,167.44373,371.07288,-65.57358,0
1067,1,-85.902405,381.52747,-92.8475,0
1068,1,-35.20501,371.07288,-243.01332,0
1069,1,-189.02553,371.07288,-307.73907,0
1070,1,-340.5905,381.52747,-74.827995,0
1071,1,-1094.9606,551.2819,-228.40831,0
1072,1,-1153.0897,551.2819,-191.76273,0
1073,1,-1236.0186,551.2819,66.22923,0
1074,1,-1087.4747,551.2819,87.32967,0
