ClassID,GenType,PosX,PosY,PosZ,Direction
11,11,-1380,118,-823,0
12,12,-323,114,-1732,0
13,13,720,78,48,0
14,14,-251.90666,-211.61728,883.0003,0
18,18,-1724.6537,-207.0601,790.68353,-135
19,18,-1882.1898,-211.41304,942.0303,0
20,18,-1606.0845,-208.53282,953.84906,180
21,18,-1517.9089,-211.63829,1229.7313,-45
22,18,-1454.9519,-211.41304,970.66187,135
23,18,-1556.0455,-211.41304,789.5821,45
24,18,-1673.6191,-208.10226,1118.3096,45
25,18,-1342.7612,-211.41307,1215.015,0
26,18,-1339.7897,-211.41304,817.9995,0
27,18,-1286.5652,-205.91753,1019.6016,0
28,19,-1910.3658,-211.41304,810.6685,0
29,19,-1876.9144,-206.1519,746.1083,45
30,19,-1913.3517,-211.49574,1141.7461,0
31,19,-1888.3348,-211.88081,1215.882,-45
32,20,-1799.1619,-211.41306,996.1126,0
33,20,-1525.5344,-211.28761,973.7463,0
34,20,-1470.3055,-211.41306,1186.7478,0
35,21,-1658.762,-209.14238,802.75684,0
36,21,-1664.9663,-208.10226,1105.2075,0
37,21,-1428.8802,-211.41304,804.2311,0
38,21,-1343.0396,-211.41306,1113.9862,0
39,22,632.5809,-160.51215,1907.6161,90
41,34,-497,111,-1822,-45
42,35,-167,114,-1840,45
43,36,-224,114,-1561,-45
44,37,-502,114,-1632,45
49,41,1383.3031,-215.55568,867.1526,0
51,68,1549.6412,-214.59361,912.57086,0
53,69,1633,-215,1185,0
54,42,1477,-215,1276,0
55,55,1477,-215,1276,0
56,56,-1325.74,120.04,-829.35,-90
116,61,765.927,-162.82364,1451.1746,0
117,61,594.3167,-202.32526,865.70166,0
118,61,1224.8016,-213.64948,1092.8734,0
119,61,383.2664,-208.57767,898.3427,0
120,61,-222.12094,-214.07932,1104.2004,0
121,61,-793.1015,-204.23595,1033.4653,0
122,61,-1363.0862,-214.43541,1011.571,0
123,61,-1768.4524,-210.56694,1013.8226,0
124,61,-238.1845,-171.03851,614.09564,0
125,61,-313.60245,-96.87882,-104.79085,0
126,61,-297.69025,6.039164,-631.3008,0
127,61,-285.9753,94.43486,-1196.553,0
128,61,-180.37589,111.36833,-1689.1405,0
129,61,-553.19116,114.93373,-1775.9662,0
130,61,248.4079,-11.217124,-678.9129,0
131,61,572.5966,1.8243514,-866.0591,0
132,61,999.55206,-20.603989,-818.6361,0
133,61,669.5252,80.14314,-244.10724,0
134,61,646.53296,78.97172,178.14214,0
135,61,1425.2676,-66.84198,-1104.6572,0
136,61,1783.5209,-66.84198,-743.7071,0
137,61,1465.7047,-21.300194,-347.00473,0
138,61,1617.3821,2.7076645,62.831596,0
139,62,807.58246,-160.08745,1402.4298,0
141,67,653,75,-19,0
142,67,786,75,-15,0
143,67,781,78,116,0
144,67,657,75,115,0
145,67,-390,113,-1669,0
146,67,-389,111,-1800,0
147,67,-253,114,-1792,0
148,67,-258,111,-1669,0
149,70,677.36115,-200.61038,899.8324,0
152,70,-372.72678,-99.0208,49.086067,0
154,70,718.59296,78.971725,38.071335,0
156,70,1390.6343,-58.42227,-837.06494,0
158,70,1527.8348,14.057121,52.409477,0
159,70,-336.33414,114.93373,-1634.8701,0
161,72,466.65958,-220.68181,1035.9548,0
162,72,525.5591,-220.68182,674.4802,0
163,72,704.7686,-209.59082,748.08624,0
164,72,961.5798,-220.68181,804.72864,0
166,72,1290.1787,-211.80788,1127.698,0
167,72,1484.9065,-215.55568,893.8273,0
168,72,1476.1682,-215.55568,1202.3519,0
169,72,-471.99622,-101.39419,162.36977,0
170,72,-433.9189,-101.39418,-62.910843,0
174,72,-1577.0779,-211.41304,817.8256,0
175,72,-1678.6172,-208.10226,1092.7499,0
176,72,-1338.2625,-214.43541,864.33026,0
177,72,859.0354,-211.77484,1091.9462,0
178,72,491.3488,-201.3187,910.32153,0
179,72,733.7861,-211.87132,1241.0427,0
180,72,669.41754,-213.88243,1116.5365,0
181,72,818.59534,-208.20592,869.4575,0
182,72,184.03981,-203.625,916.3045,0
183,72,1026.2074,-215.5557,1103.5043,0
184,72,-250.36763,-118.2197,402.3631,0
185,72,-1039.8054,-204.23596,1053.0541,0
186,73,768.0251,-160.4667,1333.0253,0
187,73,551.3648,-198.05783,781.7075,0
188,73,757.4333,-207.7693,1002.4451,0
189,73,1293.842,-211.80788,964.75616,0
190,73,1593.923,-215.5557,1174.3865,0
191,73,-1514.1985,-214.43542,1153.2716,0
192,73,-1487.563,-213.27367,905.735,0
193,73,-508.99838,-101.39419,61.105347,0
194,73,-240.285,-97.24843,213.36313,0
200,73,-167.16168,114.93373,-1466.7845,0
201,73,157.59338,-0.5306201,-674.07587,0
214,74,563.6876,-6.7940826,-1003.1885,0
215,74,740.7352,-0.12084484,-664.0275,0
216,74,811.1459,1.707444,-904.85175,0
217,74,515.55914,81.77296,59.2928,0
218,74,838.0328,78.971725,169.8683,0
219,74,927.3132,81.153305,-175.4112,0
223,74,1211.6155,-66.84198,-809.5903,0
224,74,1429.3335,-66.84198,-728.0414,0
225,74,1712.4116,-66.84198,-1147.0306,0
226,74,1436.871,-61.14876,-998.59045,0
227,74,1591.9194,-66.84198,-1256.9619,0
228,74,1028.6287,-42.920334,-826.098,0
230,75,-269.4029,114.93373,-1889.8595,0
231,75,-478.79224,114.93372,-1682.5437,0
232,75,-223.12968,114.93373,-1557.5409,0
234,75,-295.74445,-70.407616,-214.0307,0
237,75,-102.73128,4.613327,-964.61426,0
238,75,-226.33841,5.2952423,-705.9642,0
239,75,-297.57965,2.5285797,-848.9318,0
240,75,434.615,2.5285797,-705.17126,0
241,75,712.9976,1.7074443,-1054.2815,0
242,75,652.4209,1.8717686,-756.2854,0
243,75,922.2029,77.95116,-57.42057,0
244,75,700.1943,78.971725,191.75568,0
245,75,501.2392,77.95114,-184.53311,0
246,75,467.41586,82.103065,-62.682304,0
256,75,673.3386,18.425303,-496.20972,0
273,73,-145.81429,114.93373,-1821.7325,0
276,74,1702.0663,-66.84198,-985.01086,0
277,74,1363.6584,-66.84198,-1109.1327,0
278,74,692.27454,-6.7940826,-934.69476,0
280,75,571.4604,2.5285797,-629.15515,0
281,72,-674.07764,-204.23595,1024.313,0
282,72,-1702.6301,-214.45584,901.2345,0
283,72,-1535.5021,-210.71356,1038.8695,0
284,72,-318.92798,-171.03851,609.31036,0
286,73,-333.51828,6.832279,-736.8718,0
287,73,-498.5485,120.01708,-1772.8888,0
289,73,-286.37302,-37.830105,-343.6688,0
290,73,-125.35976,2.5285795,-710.21295,0
291,73,-183.55083,2.5285797,-901.0038,0
293,73,-276.09885,94.43486,-1201.6188,0
294,75,-450.6584,111.61488,-1883.0293,0
295,75,-55.540565,111.36832,-1587.351,0
296,75,-376.62253,116.48963,-1478.1771,0
297,75,-296.72452,114.93373,-1383.2242,0
298,75,-189.88214,57.657085,-1145.9015,0
299,75,-458.29486,2.5285797,-856.353,0
300,75,-59.66105,2.5285797,-689.8206,0
301,75,-196.21698,-3.0818148,-584.5939,0
302,75,-391.58374,2.5285797,-701.4755,0
303,75,-600.95166,-99.323715,130.48386,0
304,75,-502.6169,-99.48913,-150.96928,0
305,75,-426.3126,-101.39419,281.2022,0
306,75,54.91655,2.5285797,-683.6951,0
307,75,575.31335,76.650024,-24.847305,0
308,74,656.72235,48.995888,-388.34338,0
309,74,425.2134,1.7074432,-885.80206,0
310,74,1271.5381,-60.25128,-1005.3289,0
311,74,1845.2845,-66.84198,-1139.5347,0
312,74,1800.0906,-66.84198,-868.1417,0
313,74,1472.8932,-47.305187,-496.3085,0
314,74,1467.1093,1.1039963,-273.2987,0
315,74,1301.194,3.5145493,-221.80788,0
316,74,1423.2671,1.1039988,67.65735,0
317,74,1320.4957,9.596606,87.005165,0
318,74,1599.0476,6.8100815,-181.95206,0
319,74,1612.1659,5.4277573,-16.532848,0
320,74,1739.22,7.2131343,3.2524061,0
321,72,-1836.0026,-206.18646,791.816,0
322,72,-1865.9286,-211.77267,1188.7133,0
323,72,-1276.2893,-205.91754,1196.1713,0
324,72,827.5302,-212.35762,691.8107,0
325,72,1151.2335,-213.58107,926.70264,0
326,72,1415.9684,-209.50319,1021.5703,0
327,72,1679.3328,-215.55568,1275.8986,0
328,72,1320.7501,-215.55568,842.626,0
329,72,-158.22198,-101.95673,-63.88211,0
330,72,-598.6778,-101.39418,-113.25985,0
331,75,-185.26578,-95.18333,37.86177,0
332,75,-625.2235,-101.39418,-9.474468,0
333,75,-338.4276,-101.39418,139.01562,0
334,75,-339.5813,-8.948862,-570.38965,0
335,75,-532.7346,2.5285797,-692.84296,0
336,75,-400.85022,5.4386444,-950.6241,0
337,75,-193.3073,2.5285797,-801.3829,0
338,75,-30.524307,114.93374,-1893.0626,0
339,75,90.29733,114.93373,-1700.1777,0
340,75,-179.03,114.93373,-1746.5381,0
341,75,-372.6721,114.93373,-1780.4053,0
342,75,-37.747437,2.5285797,-801.63696,0
343,75,450.07327,78.97172,181.51863,0
344,75,815.40424,81.577866,-151.08641,0
345,74,541.04626,2.5285797,-773.80035,0
346,74,653.45447,75.629456,-145.18433,0
347,74,942.8122,77.95116,86.97578,0
348,74,368.78198,78.97171,87.58212,0
349,74,1193.4158,-60.25128,-1090.0764,0
350,74,1939.321,-66.84198,-847.70215,0
351,74,1541.3276,-66.84198,-880.1653,0
352,74,1695.8864,2.7076645,-127.07306,0
353,74,1697.1276,2.9477592,139.2088,0
354,72,-1884.365,-211.41306,992.1131,0
355,70,730.9994,-0.36945114,-808.23706,0
356,74,1548.6024,-66.84198,-1113.846,0
357,74,1331.6349,-66.84198,-933.80853,0
358,74,1672.7675,-66.84198,-779.51306,0
359,74,1382.4784,2.063707,-153.49823,0
360,74,821.56055,1.7074465,-1014.8431,0
361,75,807.0903,-0.19042724,-779.0134,0
362,75,519.3876,1.7074432,-888.9964,0
363,74,1330.9797,7.884453,-26.882427,0
364,74,1562.359,6.793907,163.47049,0
365,76,-174.11993,-214.07932,1015.6067,0
366,76,-167.97168,-214.07932,1176.5774,0
367,76,-1343.157,120.58379,-710.25226,0
