ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,815.87524,307.7971,-144.93921,127,
2,2,-197.33485,312.4104,143.65729,0,
3,4,-164.96623,312.4104,169.774,-100,
4,5,-864.43463,367.82675,1060.2395,-175,
6,8,-22.540943,312.4104,-106.82979,125,
7,9,-130.09155,312.4104,-111.93361,62,
8,3,-1073.3779,303.54526,-776.4369,44,
9,6,-1109.8368,303.54526,-748.97284,0,
10,7,-1267.3373,303.5778,1447.3674,-104,
11,11,-1509.9785,303.5778,652.4898,0,
12,10,-986.14496,303.54526,-647.2528,0,
14,12,-892.17847,367.82675,1045.0358,-6,
15,13,-1554.3453,302.90594,-1099.7218,0,
16,14,-2450.0034,304.42026,-488.25305,0,
18,17,-46.95955,313.4104,859.6729,-156,
36,19,-46.95955,313.4104,859.6729,-156,
38,21,-37.28901,312.4104,129.69238,-104,
65,23,-1801.1692,360.18262,216.62659,-179,
67,25,-309.69815,312.4104,-45.746387,10,
68,29,-115.26547,313.4104,787.01825,159,
69,30,-248.9662,312.4104,-109.73722,52,
70,32,-1283.5385,303.5778,1411.7327,-132,
71,33,509.83267,302.68567,-123.61469,0,라자태드폴
73,33,503.49655,302.68567,19.963238,0,라자태드폴
74,33,634.512,302.68567,176.43509,0,라자태드폴
76,33,773.67114,302.68567,171.98282,0,라자태드폴
78,33,492.72586,302.68567,167.25635,0,라자태드폴
81,34,-2190.999,303.00754,-484.02817,0,메로그 독침술사
83,34,-1434.375,306.25,-149.24486,0,메로그 독침술사
84,34,-1512.2284,303.5778,752.05664,0,메로그 독침술사
85,34,-1506.7003,302.90594,-758.3805,0,메로그 독침술사
86,34,-1463.2048,303.5778,1009.4289,0,메로그 독침술사
88,35,-394.64688,313.4104,741.1789,0,메로그 주술사
89,35,-73.91729,313.4104,724.6869,0,메로그 주술사
104,38,-1552.916,302.90594,-1099.6667,0,
105,38,-2449.8955,304.42026,-488.90173,0,
106,38,-1264.9368,303.5778,1442.2413,0,
107,38,-876.74194,367.82675,1041.809,0,
108,38,810.90265,307.7971,-141.36499,0,
109,39,894.5733,309.09293,-36.48208,0,
110,35,-1449.0883,302.90594,-513.4431,0,메로그 주술사
111,35,-1441.6788,302.90594,-434.3905,0,메로그 주술사
112,35,-2141.1018,303.00754,-503.27518,0,메로그 주술사
113,35,-1499.0299,302.90594,-744.9855,0,메로그 주술사
114,35,-982.49817,313.42358,884.73126,0,메로그 주술사
115,35,-1636.762,302.90594,-525.1854,0,메로그 주술사
116,33,620.40814,302.68567,26.051178,0,라자태드폴
117,33,653.635,302.68567,-101.94952,0,라자태드폴
118,33,770.0039,302.68567,37.68123,0,라자태드폴
119,33,356.22852,308.52356,114.12864,0,라자태드폴
120,33,-470.63058,315.1194,128.0349,0,라자태드폴
121,33,-929.3156,366.539,336.05508,0,라자태드폴
122,33,-828.0667,361.08765,90.46775,0,라자태드폴
123,33,431.4441,308.06732,134.30074,0,라자태드폴
124,34,-975.56226,308.17377,-432.0523,0,메로그 독침술사
125,34,-791.29376,305.11182,-474.9743,0,메로그 독침술사
126,34,-871.26276,303.54526,-712.3397,0,메로그 독침술사
127,34,-757.09796,307.78757,-212.82652,0,메로그 독침술사
128,34,-1574.8075,361.05258,168.87248,0,메로그 독침술사
129,34,-1663.4044,303.5778,826.96246,0,메로그 독침술사
130,34,-1606.8595,302.90594,-916.1482,0,메로그 독침술사
131,34,-1608.1996,303.5778,1016.2368,0,메로그 독침술사
132,35,-1480.7151,302.90594,-322.9772,0,메로그 주술사
133,35,-1378.3354,302.90594,-568.4272,0,메로그 주술사
134,35,-1995.529,304.42026,-506.88986,0,메로그 주술사
135,35,-260.25958,313.4104,854.4454,0,메로그 주술사
136,35,-858.5766,313.42358,610.6532,0,메로그 주술사
137,35,-805.147,313.42358,884.0054,0,메로그 주술사
138,33,-935.045,361.08765,179.12122,0,라자태드폴
139,33,-836.07166,361.08765,216.55136,0,라자태드폴
140,33,-1250.7961,362.4197,232.04395,0,라자태드폴
141,33,-1029.0945,367.82675,447.65964,0,라자태드폴
142,33,-915.24005,313.42358,914.8966,0,라자태드폴
143,33,-671.5815,302.23083,745.2596,0,라자태드폴
144,33,-1065.6455,303.54526,-512.2675,0,라자태드폴
145,33,-867.56854,303.54526,-551.93634,0,라자태드폴
146,33,-753.4594,307.78757,-375.44843,0,라자태드폴
147,33,-705.71655,303.54526,-719.2268,0,라자태드폴
148,33,-1030.339,372.39468,27.598108,0,라자태드폴
149,33,-800.7212,361.08765,318.3637,0,라자태드폴
150,33,-988.8419,361.08765,276.39783,0,라자태드폴
151,40,-1469.832,361.05258,251.40097,0,라자태드폴
152,41,620.6471,302.68567,162.36493,0,
155,41,-909.6202,361.08765,250.41309,0,
156,41,-704.7581,307.78757,-358.2546,0,
157,41,-1084.5104,303.54526,-665.3182,0,
158,41,-1491.8394,361.05258,188.99109,0,
159,41,-1495.9462,302.90594,-372.89536,0,
161,41,-1470.6677,302.90594,-888.5813,0,
162,41,-2121.041,303.00754,-445.93958,0,
163,41,-1669.1003,303.5778,747.3306,0,
164,41,-1434.2385,303.5778,995.69507,0,
165,41,-1579.8385,303.5778,1405.2949,0,
166,41,-932.77234,313.42358,644.76746,0,
168,41,-388.64844,313.4104,772.39294,0,
169,42,-56.76097,313.4104,655.2762,-133,
170,43,-35.60863,313.4104,795.1766,0,
171,44,-37.697926,313.4104,753.71783,-173,
172,45,-664,303,819,270,
173,35,-989.6692,313.42358,709.1803,0,메로그 주술사
174,35,-951.7187,313.42358,630.51843,0,메로그 주술사
175,35,-798.9028,313.42358,728.82166,0,메로그 주술사
176,35,-861.77356,313.42358,877.73346,0,메로그 주술사
177,33,-1093.4781,367.82675,580.02844,0,라자태드폴
178,33,-1092.2485,367.82675,833.80023,0,라자태드폴
179,33,-642.0406,367.82675,845.14026,0,라자태드폴
180,33,-713.6527,302.23083,793.9695,0,라자태드폴
181,33,-677.5628,367.82675,484.2854,0,라자태드폴
182,33,-807.26776,367.82675,427.8131,0,라자태드폴
183,33,-934.3287,367.82675,436.52798,0,라자태드폴
184,33,-806.6954,313.42358,643.4105,0,라자태드폴
185,33,-806.6239,313.42358,804.42444,0,라자태드폴
186,33,-986.272,313.42358,832.51843,0,라자태드폴
187,33,-980.04675,313.42358,686.09375,0,라자태드폴
188,33,-990.42633,313.42358,603.29095,0,라자태드폴
189,33,-1598.5741,303.5778,858.85254,0,라자태드폴
190,33,-1819.3256,303.5778,1010.3105,0,라자태드폴
191,33,-1800.3541,303.5778,1015.3956,0,라자태드폴
192,33,-1615.4862,303.5778,1181.0314,0,라자태드폴
193,33,-1558.6475,303.5778,1134.7871,0,라자태드폴
194,33,-1456.5665,303.5778,928.7022,0,라자태드폴
195,33,-1728.2091,303.5778,790.42017,0,라자태드폴
196,34,-1514.043,302.90594,-536.33826,0,메로그 독침술사
197,34,-1549.4535,303.5778,1098.9318,0,메로그 독침술사
198,34,-1592.4537,303.5778,849.62494,0,메로그 독침술사
199,34,-1585.5745,303.5778,1343.6622,0,메로그 독침술사
200,34,-1543.3135,303.5778,858.3887,0,메로그 독침술사
201,34,-1519.6536,302.90594,-178.64017,0,메로그 독침술사
202,34,-1793.2139,303.5778,927.8561,0,메로그 독침술사
203,34,-1637.4097,303.5778,717.2174,0,메로그 독침술사
204,33,-1053.0771,306.95123,-353.62796,0,라자태드폴
205,33,-801.18085,307.78757,-353.27063,0,라자태드폴
206,33,-696.5807,303.54526,-582.4674,0,라자태드폴
207,33,-771.58215,303.54526,-663.75977,0,라자태드폴
208,33,-756.7427,303.54526,-774.9855,0,라자태드폴
209,33,-664.0011,303.54526,-758.2777,0,라자태드폴
210,33,-967.784,303.54526,-489.425,0,라자태드폴
211,35,-210.46979,313.4104,651.92535,0,메로그 주술사
212,35,-352.2964,313.4104,864.7942,0,메로그 주술사
213,35,-389.69962,313.4104,628.5678,0,메로그 주술사
214,35,-389.69962,313.4104,628.5678,0,메로그 주술사
215,34,-1631.1937,361.05258,136.0279,0,메로그 독침술사
216,34,-1557.9122,368.924,340.3668,0,메로그 독침술사
217,34,-1551.371,361.05258,230.65623,0,메로그 독침술사
218,34,-1426.3265,361.05258,87.81333,0,메로그 독침술사
219,34,-1414.3545,361.05258,330.97592,0,메로그 독침술사
220,34,-1614.05,367.96164,324.64868,0,메로그 독침술사
221,34,-1542.7283,361.05258,75.52566,0,메로그 독침술사
222,34,-1640.6976,368.924,370.20163,0,메로그 독침술사
223,34,-1340.0427,368.924,396.94098,0,메로그 독침술사
224,33,-1417.5375,361.05258,165.17554,0,라자태드폴
225,33,-1636.9855,365.15262,187.9099,0,라자태드폴
226,33,-1682.6555,369.0024,57.65647,0,라자태드폴
227,33,-1358.5457,321.50195,-88.32682,0,라자태드폴
228,33,-1601.7413,309.25485,-135.21747,0,라자태드폴
229,33,-1496.7483,302.90594,-512.77075,0,라자태드폴
230,33,-1626.6761,302.90594,-670.80133,0,라자태드폴
231,33,-1751.9486,302.90594,-495.57333,0,라자태드폴
232,33,-1422.5868,302.90594,-567.13354,0,라자태드폴
233,33,-1018.5902,366.69418,160.11562,0,라자태드폴
234,33,-1341.7593,302.90594,-508.71094,0,라자태드폴
235,33,-1332.69,302.90594,-576.0255,0,라자태드폴
236,33,-1424.7559,302.90594,-683.528,0,라자태드폴
237,34,-1376.5033,302.90594,-827.9114,0,메로그 독침술사
