ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,-217.94438,160.39981,-443.9836,13
2,2,-103.29041,164.76758,-324.3722,-39
3,3,-133.51344,160.58434,-498.77078,31
4,4,-188.13057,158.6094,-478.45258,31
5,5,35.687653,164.52605,-336.61606,-68
6,6,-151.12221,164.52605,-346.11002,-63
7,9,4.5638466,164.52605,-353.46112,95
8,9,-137.71623,164.52605,-339.36084,80
9,10,46.38374,164.52605,-323.37646,-62
10,11,-95.3804,181.01491,630.9678,0
11,12,78.44704,180.68451,411.55984,0
13,13,795.4593,151.94589,190.08786,0
14,14,632.9616,152.49525,24.557598,0
15,15,-714.8818,151.7681,78.05047,0
16,16,-943.2261,153.25537,203.85294,0
17,17,-133.13307,146.78116,-1388.5225,0
18,17,-67.637886,162.55434,-1238.4037,0
19,17,104.29324,162.55434,-1125.6514,0
20,17,277.46942,146.88786,-1168.2285,0
21,17,80.630165,152.37943,-1288.3849,0
22,17,-274.96924,146.88786,-1239.7372,0
23,17,-89.18083,162.55434,-996.5593,0
24,17,-290.32352,146.88786,-1032.0933,0
25,17,262.13116,147.38016,-990.41785,0
26,17,86.37155,151.4785,-937.765,0
42,20,-1164.4585,157.7032,-877.5708,0
43,20,-899.3364,155.03908,-951.16113,0
44,20,-978.2685,157.79918,-1125.7993,0
45,20,-1113.4597,157.79918,-1016.3654,0
46,20,-784.9192,157.79918,-1189.0548,0
47,20,-744.9144,156.26219,-829.67267,0
48,20,-982.2307,161.4868,-811.924,0
49,20,-731.72125,156.21576,-1012.155,0
50,21,133.51111,158.31369,1228.5956,0
51,22,70.73099,167.95865,1183.112,0
52,23,92.35536,164.5233,1113.2635,0
53,24,383.8896,162.19489,1417.5884,0
54,25,739.5819,167.52434,1306.6625,0
55,26,6.762787,164.184,1794.5262,0
56,27,-400.78082,232.53047,-1716.3677,-136
59,30,-46.008457,168.67427,2327.8655,90
60,31,191.53333,159.06656,1178.6167,-71
61,32,214.68167,159.2419,1185.4382,-53
62,33,319.66263,162.19489,1419.7855,-33
63,34,305.15683,162.19489,1396.046,-6
64,35,92.75473,158.31369,1177.393,0
65,36,-74.23056,171.89902,1049.0787,0
66,37,-211.41136,171.89902,1206.5461,0
67,38,-178.71155,171.89902,1421.7799,0
68,39,-17.328041,171.89902,1550.835,0
69,40,12.091197,171.89902,1554.0096,-77
70,41,-4.8862395,164.184,2229.7344,0
71,42,-197.19254,164.184,2112.3838,0
72,43,-695.74554,153.37282,-535.97125,0
73,43,-887.2244,154.04808,-493.85864,0
74,43,-993.8905,153.30241,-631.64905,0
76,43,-602.38403,153.32246,-389.83078,0
77,44,1122.7662,153.54625,-864.0281,0
80,44,1385.9803,152.60033,-653.73846,0
81,44,1428.057,152.66423,-827.66113,0
82,44,1293.8461,152.45901,-934.6633,0
83,43,-1008.6218,148.11348,-944.66254,0
84,43,-813.562,157.79918,-1110.2087,0
86,43,-1105.1958,156.59454,-826.1891,0
87,44,1137.6923,152.54846,-642.3129,0
88,44,735.58325,152.45216,-724.16003,0
89,44,617.1517,155.85126,-536.68396,0
90,45,-305.4452,146.88786,-1136.1312,0
91,45,-221.10931,146.88786,-1291.6437,0
92,45,-62.100136,162.55434,-1215.2865,0
93,45,140.18382,149.1707,-1264.8027,0
94,45,-147.11935,158.49055,-986.03644,0
95,45,41.107227,162.55434,-1074.1774,0
96,45,-92.200386,154.7378,-809.4952,0
97,45,196.60732,146.88786,-940.1962,0
98,45,239.61461,148.50941,-1134.8809,0
99,45,371.16757,158.51534,-1008.3056,0
100,45,1092.8729,153.28127,-640.5129,0
101,45,1098.0421,153.54625,-821.315,44
102,45,1313.489,154.98534,-723.11975,0
103,45,1295.4221,154.47066,-885.4124,0
104,45,868.4852,158.21107,-636.92773,0
105,45,485.04486,169.08142,668.0528,0
106,45,475.15424,169.08142,588.1419,0
107,45,609.7243,169.08142,682.12854,0
108,45,-75.51522,171.89902,1401.3458,0
109,45,-126.71141,171.89902,1241.6509,0
110,45,59.395336,158.31369,1431.9321,0
111,45,105.50375,158.31369,1162.7557,0
112,45,-47.075233,171.89902,1278.0077,0
113,45,-633.1207,159.3059,491.11548,0
114,45,-983.89966,165.37874,215.10388,0
115,45,-703.6714,162.52121,254.77788,0
116,45,-742.20184,158.45042,-11.343126,0
117,45,-972.5297,157.2227,20.172295,0
118,45,-170.62006,166.89032,247.2081,0
119,45,-299.9283,160.3811,516.9346,0
120,45,-172.29457,169.28552,670.808,0
121,45,-47.644028,167.38345,909.74146,0
122,45,42.219673,167.13806,686.00244,0
123,45,285.61563,163.15372,502.8444,0
124,45,166.4773,163.48817,348.49142,0
125,45,23.103281,173.23402,234.43779,0
126,45,-109.58185,181.34937,498.51096,0
