ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,344.65366,240.16415,1648.7681,66,WarpSpot
2,2,2531.1404,316.12582,-223.43843,62,WarpSpot
3,3,180.68672,313.42056,-1344.9833,-96,WarpSpot
4,4,177.60178,313.42056,-1290.1538,-43,
5,4,104.7138,48.2027,1362.407,0,
6,4,2503.5469,316.12582,-272.42767,0,
7,5,383.8171,351.79013,720.297,0,팔라딘 추종자A3
8,6,-568.40656,320.24808,716.0496,-47,팔라딘 추종자B1
13,13,254.758,351.79007,265.2041,-91,팔라딘 추종자A2
14,14,-1497.3691,48.401947,-1088.8475,-11,팔라딘 추종자B2
15,15,347.3568,240.16415,1424.2008,-61,큰 밝은 가시 꽃
16,15,217.59233,240.16415,1259.7537,-29,큰 밝은 가시 꽃
17,15,191.9852,240.16415,1650.6466,-24,큰 밝은 가시 꽃
18,16,168.8773,240.16415,1494.5804,-120,고사리
19,16,400.76404,240.16415,1272.1165,-100,고사리
20,16,536.01624,240.16415,1471.4869,-101,고사리
21,17,246.2506,300.136,1071.2439,-57,샤울레이 변색된 풀
24,17,480.64868,240.16415,1647.7251,0,샤울레이 변색된 풀
25,18,-1061.6862,320.87408,1438.0438,-67,샤울레이 변색된 풀4
32,19,244.99411,351.79007,159.10976,70,팔라딘 추종자B2
84,22,345.93658,240.16415,1454.5079,0,나무뿌리 수정
85,22,427.95438,351.79013,602.8066,0,나무뿌리 수정
86,22,-138.91867,351.79013,295.75467,0,나무뿌리 수정
87,22,-1094.6407,320.24808,1206.5382,0,나무뿌리 수정
88,22,-790.28076,311.98325,80.2583,0,나무뿌리 수정
89,22,-1253.125,48.401947,-767.896,0,나무뿌리 수정
90,22,7.246296,351.79013,-182.56474,0,나무뿌리 수정
91,22,224.14871,311.87222,-969.31683,0,나무뿌리 수정
92,22,561.2699,351.79013,-141.80106,0,나무뿌리 수정
93,22,1157.3309,351.79013,-195.60178,0,나무뿌리 수정
94,22,2480.6064,316.12582,-451.66537,0,나무뿌리 수정
95,22,1588.3813,295.84872,1242.676,0,나무뿌리 수정
96,22,2278.574,184.84619,1685.26,0,나무뿌리 수정
97,22,1024.3014,351.79013,774.78705,0,나무뿌리 수정
98,22,1674.568,316.0748,-468.89752,0,나무뿌리 수정
109,24,-1318.4492,320.87408,1421.0122,-57,샤울레이 변색된 풀4
110,25,-1329.935,320.87408,1101.6462,0,샤울레이 변색된 풀4
111,26,-1012.3163,320.87408,1041.5371,23,샤울레이 변색된 풀4
112,27,-870.8097,320.87408,1232.0385,-47,샤울레이 변색된 풀4
113,28,-1143.0894,320.87408,1228.6072,-51,샤울레이 변색된 풀4
114,29,-895.067,320.87408,1391.6624,41,샤울레이 변색된 풀4
115,30,-1452.002,48.401947,-923.71124,0,
116,31,335.7278,351.7901,280.08295,-133,팔라딘 추종자A3
117,32,203.28038,351.7901,229.25858,15,팔라딘 추종자B1
119,33,2216.859,209.2437,1703.9604,0,UnvisibleName
120,34,213.32771,351.7901,290.23703,-52,크란토 텐트
122,35,263.48618,351.79007,281.82706,-37,행상인이 잃어버린 물건2
123,20,-1500.984,48.401947,-760.4247,0,록타눈
124,20,-1353.0442,49.027954,-926.64197,0,록타눈
125,20,-1139.4294,320.24808,1312.338,0,록타눈
126,20,-79.08363,351.79013,507.7389,0,록타눈
127,20,-127.91523,351.79013,237.1161,0,록타눈
128,20,-132.87445,351.79013,-50.86667,0,록타눈
129,20,-936.28284,320.24808,1456.3945,0,록타눈
130,20,-1295.6589,320.24808,1063.5599,0,록타눈
131,20,-1375.27,320.87408,1428.4183,-14,록타눈
132,20,-962.0408,320.24808,988.96106,0,록타눈
133,20,-1027.9778,320.24808,1137.8701,0,록타눈
134,20,-929.847,311.98325,33.921764,0,록타눈
135,20,-680.70435,311.98325,108.96506,0,록타눈
136,20,219.17683,313.42056,-1173.3275,0,록타눈
137,20,179.62975,311.87222,-918.8893,0,록타눈
138,20,342.49353,342.44693,-1045.9934,0,록타눈
139,20,199.81125,351.79013,-251.31265,0,록타눈
140,20,536.25366,351.79013,-205.87411,0,록타눈
141,20,716.80286,351.79013,-11.639378,0,록타눈
142,20,617.7838,351.79013,366.4995,0,록타눈
143,20,359.43872,351.79013,672.9359,0,록타눈
144,20,1327.4552,316.0748,-356.95123,0,록타눈
145,20,2318.2073,316.12582,-496.21527,0,록타눈
146,20,1570.3762,295.84872,1257.6687,0,록타눈
147,20,2108.67,184.67766,1826.6284,0,록타눈
148,20,2298.7268,184.84619,1567.5446,0,록타눈
149,20,427.12576,240.16415,1435.2981,0,록타눈
150,20,312.65186,240.16415,1482.6167,0,록타눈
151,20,308.18112,240.16415,1326.2708,0,록타눈
152,23,-1014.3522,311.98325,-19.98071,0,록타눈
153,23,-1013.9124,311.98325,157.91188,0,록타눈
154,23,-756.22284,311.98325,286.76706,0,록타눈
155,23,-636.3301,311.98325,193.99355,0,록타눈
156,23,-692.1882,311.98325,-23.929428,0,록타눈
157,23,-791.26337,311.98325,81.22377,0,록타눈
158,23,-821.4815,311.98325,180.20728,0,록타눈
159,23,-942.32837,311.98325,15.893005,0,록타눈
160,23,-1100.8684,311.98325,0.907135,0,록타눈
161,23,-775.6436,311.98325,-104.63115,0,록타눈
162,21,246.71977,313.42056,-1139.3782,0,부베 전사
163,21,157.09491,312.49823,-997.868,0,부베 전사
164,21,-1384.6816,49.027954,-799.27423,0,부베 전사
165,21,-1554.5338,48.401947,-716.1522,0,부베 전사
166,21,-1375.8488,49.027954,-558.35156,0,부베 전사
167,21,80.03982,351.79013,-213.75139,0,부베 전사
168,21,471.80164,351.79013,-184.08105,0,부베 전사
169,21,787.07007,351.79013,-10.543436,0,부베 전사
170,21,641.9622,351.79013,66.7385,0,부베 전사
171,21,1334.3472,316.0748,-376.53036,0,부베 전사
172,21,1515.5978,316.0748,-450.85373,0,부베 전사
173,21,-1448.3258,48.401947,-947.5208,0,부베 전사
174,21,2124.6145,316.12582,-448.1626,0,부베 전사
175,21,2433.7153,316.12582,-456.64935,0,부베 전사
176,21,660.46136,351.79013,510.6432,0,부베 전사
177,21,794.2365,351.79013,295.33643,0,부베 전사
178,21,1530.6266,295.84872,1305.4371,0,부베 전사
179,21,1693.6678,294.3876,1267.0071,0,부베 전사
180,21,2193.731,190.98114,1584.6069,0,부베 전사
181,21,2396.1892,184.84619,1606.2883,0,부베 전사
182,21,2075.5645,184.67766,1787.2463,0,부베 전사
183,21,-191.21187,351.79013,-49.313923,0,부베 전사
184,36,282,351,227,0,
185,37,245.06955,351.79007,160.41335,0,
186,38,2255.2122,188.56581,1713.7217,0,행상인이 잃어버린 물건1
187,20,1923.9761,366.3281,-422.03192,0,빌카스
188,20,1098.8108,352.41614,-109.55153,0,빌카스
189,20,1691.8086,294.38016,1326.7085,0,빌카스
190,20,1398.842,327.60266,1108.5156,0,빌카스
191,20,2214.5007,185.4722,1548.317,0,빌카스
192,20,2398.7656,185.4722,1791.7606,0,빌카스
193,20,2086.8691,185.30367,1632.43,0,빌카스
194,20,1961.0688,238.28638,1376.2218,0,빌카스
195,20,192.66074,240.79016,1556.5334,0,빌카스
196,23,2057.057,185.30367,1640.9999,0,롬펠누카
197,23,2075.615,185.30367,1778.392,0,롬펠누카
198,23,2268.7766,202.5599,1831.2316,0,롬펠누카
199,23,2252.1992,190.70433,1712.4458,0,롬펠누카
200,23,2305.9631,185.4722,1582.8308,0,롬펠누카
201,39,-1315.1577,320.87408,1071.8909,0,빌카스 궁수
202,39,-1283.7767,320.87408,1279.6101,0,빌카스 궁수
203,39,-1026.1421,320.87408,1465.001,0,빌카스 궁수
204,39,-1047.4331,320.87408,1177.1709,0,빌카스 궁수
205,39,-1115.7853,320.87408,1015.8062,0,빌카스 궁수
206,39,-833.22736,320.87408,1247.6388,-58,빌카스 궁수
207,39,-1405.4589,320.87408,1457.0045,0,빌카스 궁수
208,39,-934.1493,320.87408,926.515,0,빌카스 궁수
209,23,224.827,240.79016,1395.2671,0,롬펠누카
210,23,220.90515,240.79016,1573.9917,0,롬펠누카
211,23,406.534,245.30734,1668.604,0,롬펠누카
212,23,447.1927,240.79016,1483.8386,0,롬펠누카
213,23,267.39627,315.68414,1008.2238,0,롬펠누카
214,23,148.77484,240.79016,1648.6964,0,롬펠누카
215,23,390.58157,240.79016,1467.3826,0,롬펠누카
216,40,530.7562,352.41614,-160.11998,0,빌카스
217,39,2420.5967,316.75183,-383.16064,0,빌카스 궁수
218,39,2232.6926,316.75183,-608.1252,0,빌카스 궁수
219,39,1979.5267,362.6189,-471.84143,0,빌카스 궁수
220,39,1388.3691,316.7008,-402.80164,0,빌카스 궁수
