ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,1518.8745,-8.393936,-757.27344,2,
2,2,-2031.7782,-8.345245,812.29816,-179,
3,3,1202.376,-8.393932,-956.693,0,
4,3,1261.1113,-8.393936,-713.38165,0,
5,3,1039.2416,-8.393941,-399.61862,0,
6,3,1115.1375,-8.393941,-142.55278,0,
7,3,1017.6342,-8.39394,-1339.4109,0,
8,3,866.625,-8.393936,-1544.0221,0,
9,3,504.77457,-8.393936,-1672.3746,0,
10,3,294.2763,82.02561,-820.5115,0,
11,3,131.29019,-8.393932,-1499.4974,0,
12,3,-291.23407,-8.393941,-1613.344,0,
13,3,-983.87177,-8.393936,-1488.7521,0,
14,3,-1557.7965,205.65466,-1080.8356,0,
15,3,-365.58368,81.94332,-866.51337,0,
16,3,-318.72263,81.94331,-651.6276,0,
17,3,-385.38782,81.94332,-322.84735,0,
18,3,1012.2018,81.7554,397.98172,0,
19,3,859.37463,81.7554,635.77295,0,
20,3,947.38916,-8.311417,1170.379,0,
21,3,941.86914,-8.311414,1460.3547,0,
22,3,1205.7177,-8.311421,1300.5702,0,
23,3,127.68348,-8.265717,1379.4974,0,
24,3,138.72765,-8.265717,1082.333,0,
25,3,255.00705,81.7554,300.37347,0,
26,3,90.84491,81.7554,432.28256,0,
27,3,-576.1633,-8.345245,561.03296,0,
28,3,-1588.0604,-8.345248,716.99054,0,
29,3,-1826.9774,-8.345242,774.4681,0,
30,4,291.21457,81.94332,-266.9242,-95,
31,5,353.97052,81.94332,-262.91223,-77,
32,6,328.53177,81.7554,196.95163,126,
33,7,376.42932,81.80905,15.265045,-83,
34,8,471.0975,81.94332,-132.29231,-27,
35,9,46.02353,81.7554,534.2865,0,
36,10,46.02353,81.7554,534.2865,0,
37,11,981.6014,-8.393936,-40.921192,0,
38,12,324.36423,82.02562,-694.4555,0,
39,13,-1657.2974,205.65466,-1040.1094,-47,
40,14,-1838.9115,-8.345245,1036.0637,0,
41,15,995.5899,-8.11142,1521.698,0,
42,16,981.6014,-8.393936,-40.921192,0,
