ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,2234.6392,1.2194824,-155.30136,-1
2,2,-1341.4329,187.3789,169.37317,178
3,3,1128.3042,51.824738,2440.0776,89
4,4,2067.3171,1.2194824,-118.53297,0
5,4,1902.7897,1.2194824,-131.95868,0
6,4,1963.742,1.2194824,299.72226,0
7,4,1966.9872,1.2194824,640.13544,0
8,4,1658.1177,1.2194824,-814.6789,0
9,4,1548.4143,1.2194824,-964.4081,0
10,4,1694.1116,138.16516,-1487.1462,0
11,4,1517.2445,139.15588,-1817.6433,0
12,4,1190.8757,138.16516,-1605.0598,0
13,4,945.5923,138.16516,-1674.0839,0
14,4,606.79736,138.16516,-1668.1832,0
15,4,375.67303,138.36972,-1608.9773,0
16,4,-511.50336,1.2194824,-1002.0332,0
17,4,-191.69676,1.2194824,-1186.7925,0
18,4,-206.28342,1.2194824,-927.26935,0
19,4,154.01202,1.2194824,-444.58664,0
20,4,288.23477,93.45795,125.09856,0
21,4,583.3629,93.45795,348.71024,0
22,4,435.46457,104.28625,1103.2137,0
23,4,802.8015,104.28625,1098.0219,0
24,4,1014.3002,104.28625,1170.7062,0
25,4,1164.6815,55.746307,1979.3695,0
26,4,333.45578,-31.53057,1979.7831,0
27,4,-118.16542,-31.530563,2041.4518,0
28,4,-572.307,187.3789,-71.248055,0
29,4,-669.4961,187.3789,278.5197,0
30,4,-940.32074,187.3789,13.787344,0
31,4,-869.522,923.67346,906.42114,0
32,4,-988.7288,923.67346,1290.3975,0
33,4,-615.41113,923.67346,1167.1398,0
34,5,1149.0687,-10.518555,-281.30194,-13
35,6,1188.8457,-10.518555,-350.10324,31
36,7,1424.4513,-10.518555,-2.292876,-94
37,8,1243.1766,-10.518555,-25.923836,-52
38,9,-801.39526,187.3789,148.53014,0
39,10,509.23444,138.16516,-1839.0626,0
40,11,433.11096,104.28625,1283.3182,0
41,12,1987.7509,1.2194824,1009.2018,0
42,13,509.23444,138.16516,-1839.0626,0
43,14,433.11096,104.28625,1283.3182,0
44,15,1987.7509,1.2194824,1009.2018,0
45,16,1602.0309,-9.109555,-118.47404,0
46,17,544.06274,138.16516,-1647.9761,0
47,18,1634.835,1.2194824,-872.169,0
48,19,393.51877,104.28625,1132.5298,0
49,20,509.23444,138.16516,-1839.0626,0
50,21,433.11096,104.28625,1283.3182,0
51,22,-153.00684,187.3789,247.42883,0
52,23,847.54596,104.28625,1246.0184,97
53,23,254.31552,104.28625,1182.4432,134
54,23,-358.66177,1.2194824,-825.3173,0
55,24,1099.9811,104.28625,1210.7981,0
56,24,797.6427,104.28625,956.11115,0
57,24,-100.8996,1.2194824,-981.62854,0
58,25,451.52374,104.28625,984.99066,0
