ClassID,GenType,PosX,PosY,PosZ,Direction
1,3,-2168.9238,403.9768,-1571.2385,0
2,3,-1983.0244,390.32623,-1711.2645,0
3,3,-1944.8834,390.32623,-1418.8828,0
4,3,-1494.0156,302.6931,-1697.9514,0
5,3,-1260.6718,291.41376,-1471.0087,0
6,3,-722.61285,291.41376,-1072.8448,0
7,3,-1486.5676,291.41376,-228.57703,0
8,3,-1214.3989,291.41376,-478.57245,0
9,3,-2126.556,291.41376,-426.1159,0
10,3,-2400.8655,291.41376,-225.8224,0
11,3,-2761.0195,406.33917,-284.71222,0
12,3,-2232.0002,406.33917,112.38893,0
13,3,-1225.254,291.41376,841.4055,0
14,3,-1052.1602,291.41376,937.97845,0
15,3,-1378.4731,446.01895,1070.6383,0
16,3,-1768.6056,591.0552,1270.3301,0
17,3,-1548.8761,591.0552,1040.4279,0
18,3,-781.8887,291.41376,392.044,0
19,3,-1771.3123,591.0552,929.88416,0
20,3,-1054.2988,291.41376,118.22012,0
21,1,-702.5753,291.41376,423.32202,0
22,1,-745.97345,291.41376,469.68573,0
23,1,-567.0557,237.10928,598.4505,0
24,1,-235.35301,291.41376,837.6184,0
25,1,-179.08942,291.41376,817.6138,0
26,1,-21.315918,291.41376,815.39606,0
27,1,-1477.5446,291.41376,-361.99448,0
28,1,-1590.981,291.41376,-172.36769,45
29,1,-1453.3905,291.41376,-126.92783,0
30,1,-1360.023,291.41376,-311.1108,0
31,1,-1399.7373,291.41376,-504.4792,0
32,1,-1140.8972,291.41376,-338.4548,0
33,1,-1087.5555,291.41376,-509.4938,0
34,1,-1097.2977,291.41376,-39.44257,0
35,1,-1005.3003,291.41376,-273.95697,0
36,1,-1076.6747,291.41376,-1123.9122,0
37,1,-1108.7559,291.41376,-944.127,0
38,1,-1035.8231,291.41376,-765.56885,0
39,1,-799.3798,238.78728,-290.05493,0
40,1,-520.94934,234.67603,-299.58408,0
41,1,-34.178608,291.66684,-446.724,0
42,1,-175.32944,291.66684,-375.84207,0
43,1,-73.76561,291.66684,-205.17627,0
44,1,-30.208164,291.41376,-1284.0289,0
