ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,-33.89635,-36.17253,-1051.3917,-74,크란토 연안
3,3,18.178593,-33.119797,-699.8639,0,순례자 (남) 3 - 기존머리1
4,8,-50.151264,-33.119797,-902.3849,0,SQ1_NOTICE
5,9,-29.581047,-33.119797,-713.4357,0,SQ1_ENTER
6,5,-216.51134,-61.0774,1399.9143,0,순례자 (남) 3 - 기존머리1
7,4,-180.65953,-61.0774,1493.6646,0,순례자(여)_03
8,10,-200.54614,-61.0774,1448.779,0,아우스테야 제단
9,6,-119.15527,51.37583,821.22955,0,순례자(여)_03
10,7,-64.46911,51.375835,864.73834,-78,순례자 (남) 3 - 기존머리1
11,12,1018.3542,29.574951,-716.6472,-86,푸른 산호
12,12,1162.5552,29.574951,-894.72345,-91,푸른 산호
13,12,1267.5834,29.574951,-646.3587,-74,푸른 산호
14,12,1022.5652,29.574951,-604.8964,-92,푸른 산호
15,12,1328.8917,29.574951,-602.81213,-75,푸른 산호
16,12,1383.4211,34.249737,-847.1999,-67,푸른 산호
17,11,871.3752,230.416,1718.9022,0,특이한 돌
18,14,1024.6992,230.416,1724.1268,0,특이한 돌
19,11,804.9554,227.3324,1428.0317,0,특이한 돌
20,14,926.09784,230.416,1363.4998,0,특이한 돌
21,11,954.73346,230.41599,1485.9288,0,특이한 돌
22,11,1095.14,230.41597,1393.2521,0,특이한 돌
23,14,1071.503,230.41597,1498.4608,0,특이한 돌
24,14,799.5392,230.416,1559.0535,0,특이한 돌
25,14,1012.1208,230.41599,1603.5568,0,특이한 돌
26,11,1176.3926,230.41597,1504.5625,0,특이한 돌
27,13,-66.03864,-56.248665,1320.4325,0,
29,15,-543.6573,-95.65718,-220.46272,0,
30,19,-541.59344,-95.65718,-219.96632,0,푸른 빛이 나는 돌
31,20,-1083.9053,-95.464905,335.4899,0,푸른 빛이 나는 돌
32,16,-1083.4497,-95.464905,335.76236,0,
33,17,633.78735,-97.33649,-153.89343,0,
34,21,633.6679,-97.33649,-152.00797,0,푸른 빛이 나는 돌
35,22,1037.1351,-97.51825,567.2843,0,푸른 빛이 나는 돌
36,18,1039.2797,-97.51825,566.2625,0,
38,24,-901.19183,-91.55264,101.52144,0,푸른 콜리멘
40,24,-634.86127,-91.55264,-78.88909,0,푸른 콜리멘
41,24,-491.85947,-95.65718,-244.17793,0,푸른 콜리멘
45,24,-1115.5428,-52.176704,-475.88538,0,푸른 콜리멘
46,24,-17.464594,50.30214,412.49854,0,푸른 콜리멘
47,24,44.681755,48.821632,606.3757,0,푸른 콜리멘
48,24,-106.20581,48.821632,614.13837,0,푸른 콜리멘
49,24,-21.727152,50.302147,43.89516,0,푸른 콜리멘
50,24,-36.663223,35.89631,-186.91174,0,푸른 콜리멘
52,24,-825.7704,48.821632,657.5292,0,푸른 콜리멘
53,24,-672.4448,48.821632,824.75134,0,푸른 콜리멘
54,24,-869.39056,48.821632,832.3472,0,푸른 콜리멘
58,24,-1412.6537,-33.192257,661.32587,0,푸른 콜리멘
60,24,1142.8182,28.40471,-491.1721,0,푸른 콜리멘
61,24,1280.3414,34.249733,-788.56055,0,푸른 콜리멘
63,24,-270.17154,48.821632,783.7119,0,푸른 콜리멘
64,24,525.144,13.441363,1090.6245,0,푸른 콜리멘
65,24,1119.0026,29.574951,-762.58496,0,푸른 콜리멘
66,24,901.9194,59.346725,983.425,0,푸른 콜리멘
67,24,1009.3216,143.28548,1200.5776,0,푸른 콜리멘
71,24,920.26166,230.416,1473.9749,0,푸른 콜리멘
72,24,1214.8444,-0.62628174,823.66174,0,푸른 콜리멘
74,24,1042.9672,16.929356,950.67126,0,푸른 콜리멘
75,24,1482.9471,-0.62628174,1019.7353,0,푸른 콜리멘
76,24,1346.168,-55.61395,498.85272,0,푸른 콜리멘
78,24,896.8286,-93.628296,424.74997,0,푸른 콜리멘
80,24,877.4791,-93.628296,33.352837,0,푸른 콜리멘
81,24,790.70325,-97.33649,-186.60368,0,푸른 콜리멘
83,24,639.2765,-97.33649,-302.6023,0,푸른 콜리멘
84,24,231.08919,-33.119797,-401.8789,0,푸른 콜리멘
85,24,-203.86319,-33.119797,-538.0442,0,푸른 콜리멘
87,24,-67.64223,-33.119797,-876.9888,0,푸른 콜리멘
88,24,102.20348,-33.119797,-721.2697,0,푸른 콜리멘
89,24,-1088.5646,-95.464905,292.4016,0,푸른 콜리멘
90,24,-1282.878,-46.06994,485.2695,0,푸른 콜리멘
92,25,-1529.7478,-33.192257,674.2455,0,붉은 레푸스버니
93,25,-1544.3466,-33.192257,843.3505,0,붉은 레푸스버니
94,25,-1309.7615,-33.192257,735.8104,0,붉은 레푸스버니
95,25,1217.8492,-0.62628174,978.1937,0,붉은 레푸스버니
96,25,1355.5896,-0.62628174,1143.5657,0,붉은 레푸스버니
97,25,1495.825,-0.62628174,874.9305,0,붉은 레푸스버니
99,25,753.67065,224.39015,1441.1467,0,붉은 레푸스버니
101,25,171.85365,-33.119797,-526.5951,0,붉은 레푸스버니
105,25,-29.979374,50.302147,38.82912,0,붉은 레푸스버니
106,25,-18.605528,48.770203,-148.84705,0,붉은 레푸스버니
107,25,-20.851206,17.231075,-237.19028,0,붉은 레푸스버니
108,25,-26.30931,51.37583,684.23346,0,붉은 레푸스버니
109,25,-491.94736,48.82163,925.7809,0,붉은 레푸스버니
110,25,-105.82044,50.302155,364.2583,0,붉은 레푸스버니
111,25,-97.37552,48.821632,513.19556,0,붉은 레푸스버니
112,25,745.0737,-93.628296,323.83362,0,붉은 레푸스버니
113,25,730.0442,-93.628296,8.86322,0,붉은 레푸스버니
114,25,1015.2873,-93.628296,109.41781,0,붉은 레푸스버니
115,25,1031.7518,-97.51825,514.4126,0,붉은 레푸스버니
117,25,-797.24457,48.82163,941.73016,0,붉은 레푸스버니
120,25,1070.372,29.574951,-879.43896,0,붉은 레푸스버니
122,25,-1101.8544,-95.464905,434.7329,0,붉은 레푸스버니
123,25,-1578.3711,-36.15266,1052.9418,0,붉은 레푸스버니
124,25,-1191.4098,-95.464905,272.68344,0,붉은 레푸스버니
125,25,-654.8469,-95.65718,-260.71753,0,붉은 레푸스버니
126,25,-754.70764,-91.55264,-80.49388,0,붉은 레푸스버니
127,25,-531.5215,-95.65718,-105.49068,0,붉은 레푸스버니
128,24,836.5623,-93.628296,175.68462,0,푸른 콜리멘
129,27,-197.91742,-61.0774,1446.8792,0,
130,28,-101.91869,51.37583,850.026,0,
131,29,1044.2761,29.574951,-741.6384,0,붉은 레푸스버니 암살자
133,29,1286.4705,29.574951,-662.6881,0,붉은 레푸스버니 암살자
134,29,1374.4572,29.574951,-687.42035,0,붉은 레푸스버니 암살자
135,29,1275.9685,34.249733,-804.5056,0,붉은 레푸스버니 암살자
137,29,1106.0428,29.574951,-563.8598,0,붉은 레푸스버니 암살자
138,30,-106.17651,50.302147,91.48285,0,푸른 콜리멘
140,30,-38.415222,50.302147,293.4485,0,푸른 콜리멘
141,30,-55.855335,50.302147,384.2516,0,푸른 콜리멘
144,30,37.783195,48.770203,-98.45178,0,푸른 콜리멘
145,30,-21.521551,10.752979,-254.48575,0,푸른 콜리멘
146,30,-87.22088,48.770203,-20.159786,0,푸른 콜리멘
147,31,-792.0519,48.821632,683.3976,0,붉은 레푸스버니
148,31,-689.5757,48.821632,542.58545,0,붉은 레푸스버니
153,31,-825.581,48.82163,851.367,0,붉은 레푸스버니
155,32,-550.8728,48.821636,570.4625,-95,푸른 산호
156,32,-973.9336,48.821632,849.73315,-85,푸른 산호
157,32,-797.1032,48.821632,1014.8442,-79,푸른 산호
158,32,-692.7871,48.821632,932.2076,-95,푸른 산호
159,32,-772.5571,48.821632,653.9907,-77,푸른 산호
160,32,-711.3297,48.821632,524.3493,-83,푸른 산호
161,33,-148.299,-33.119797,-601.0885,0,나무뿌리 수정
162,33,675.4402,-97.33649,-134.28331,0,나무뿌리 수정
163,33,1184.9175,29.574951,-718.5732,0,나무뿌리 수정
164,33,942.8031,-93.628296,305.94595,0,나무뿌리 수정
165,33,1383.9127,-0.62628174,953.105,0,나무뿌리 수정
166,33,881.6523,59.346725,965.89026,0,나무뿌리 수정
167,33,407.2434,17.43621,1211.8699,0,나무뿌리 수정
168,33,109.679,-57.101734,1563.5278,0,나무뿌리 수정
169,33,-33.05883,50.302147,473.60764,0,나무뿌리 수정
170,33,-0.47803164,48.770203,-65.1526,0,나무뿌리 수정
171,33,-827.0446,-91.55264,-56.68098,0,나무뿌리 수정
172,33,-1434.6465,-33.192257,724.6088,0,나무뿌리 수정
173,33,-700.5162,48.821632,788.0335,0,나무뿌리 수정
174,33,-1383.8616,-52.15889,-454.37082,0,나무뿌리 수정
175,33,-974.97876,-77.75502,-827.5457,0,나무뿌리 수정
176,33,-472.6439,-95.65718,-232.62415,0,나무뿌리 수정
177,33,957.2631,230.416,1568.86,0,나무뿌리 수정
178,33,-1122.7201,-95.464905,346.91663,0,나무뿌리 수정
179,33,-1644.9044,-36.15266,1048.7014,0,나무뿌리 수정
180,33,-44.868565,48.82163,945.6539,0,나무뿌리 수정
181,1000,930.68,223.15,1887.74,-90,보물 상자 LV1
182,1001,-55.00337,50.302147,180.16899,0,
5002,5002,-0.14074843,-33.119797,-889.39655,0,
5006,30,-1459.7998,-52.231388,-678.16,0,
5007,30,-1479.1147,-52.184227,-583.7677,0,
5008,30,-1405.862,-52.15889,-516.3299,0,
5009,30,-1408.534,-52.15889,-452.5352,0,
5011,30,-1208.4912,-52.15889,-601.9921,0,
5013,30,-1286.8168,-52.15889,-704.4149,0,
5015,30,-1343.213,-52.15889,-755.8898,0,
5017,30,-1373.5773,-52.210464,-633.3212,0,
5019,30,-1263.1488,-52.15889,-782.481,0,
5021,30,-1158.0718,-52.15889,-607.4721,0,
5022,30,-1180.7955,-52.15889,-694.3969,0,
5025,30,-1296.0962,-52.160988,-465.59915,0,
5026,30,-1219.7224,-52.260662,-493.36514,0,
5029,30,-1103.5806,-52.15889,-516.7538,0,
5030,30,-1064.0614,-52.15889,-576.11786,0,
5033,30,-684.458,-91.55264,-45.692383,0,
5036,30,-547.595,-91.55264,-29.052998,0,
5041,30,-864.8626,-91.55264,158.04073,0,
5042,30,-947.68115,-91.55264,88.103485,0,
5043,30,-933.24023,-91.55264,20.464664,0,
5044,30,-933.6464,-91.55264,-39.059376,0,
5045,30,-872.2186,-91.55264,-87.51489,0,
5048,30,-904.3573,-91.55264,62.596455,0,
5050,30,-742.622,-91.55264,105.92368,0,
5053,30,-711.23987,-95.65718,-154.88799,0,
5054,30,-669.25867,-95.65718,-224.74998,0,
5057,30,-550.9471,-95.65718,-265.6634,0,
5062,30,-439.51486,-95.65718,-260.51312,0,
5065,30,-298.39407,-33.119797,-694.22876,0,
