ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,-1046.2675,0.40000153,953.94006,97
2,2,-794.7781,0.40000153,774.67993,-97
3,3,-720.88104,-0.28950194,706.4293,-141
6,6,635.2309,92.36264,348.78043,0
7,7,1476.8298,92.3622,288.35062,0
8,8,1476.1584,92.362206,284.97034,0
9,9,1450.698,92.36219,255.14001,0
10,7,-1266.0695,-123.18071,-497.1873,0
11,10,-1262.606,-122.57175,-499.2424,0
12,7,-66.52744,-107.54067,-724.7389,0
13,11,-65.66399,-107.54067,-723.8756,0
14,12,-659.17224,-74.06618,-386.2972,-50
15,13,-246.53085,-105.62475,-628.69275,-173
16,16,905.2295,-107.74068,-534.74695,0
17,17,1578.7311,-107.74068,-386.38553,0
18,18,1578.7311,-107.74068,-386.38553,0
53,22,1544.9037,-107.74068,-427.38922,0
54,23,-757.3532,0.39926973,484.94888,0
55,23,-632.17535,0.403055,517.95856,0
56,23,-610.48444,0.60246515,205.82559,0
57,23,-603.60626,0.40537214,324.7719,0
58,23,-476.35513,0.4066778,430.24594,0
59,23,-375.161,0.41770634,551.86365,0
60,23,-312.14102,0.39842534,476.8196,0
61,23,-89.22882,82.979805,723.1822,0
62,23,-148.59578,83.01119,839.8608,0
63,23,-2.0685768,83.15074,826.69183,0
64,23,-85.167854,83.07289,955.00055,0
65,23,76.99476,83.18264,880.9179,0
66,23,47.37706,83.17755,1022.6924,0
67,23,108.29951,92.16046,1184.6168,0
68,23,609.0486,92.36264,384.96182,0
69,23,545.552,92.362404,248.4436,0
70,23,727.14056,92.3625,304.28256,0
71,23,582.37585,92.36231,158.21896,0
72,23,714.1086,92.36231,108.29096,0
73,23,859.93964,92.36225,121.96761,0
74,23,-895.96564,0.39854106,221.91518,0
75,23,-972.42316,0.39669427,120.89955,0
76,23,-1026.375,0.3981649,-111.35339,0
77,23,-908.179,0.39673105,-94.51198,0
78,23,-568.3931,-15.952779,-51.546627,0
79,24,-694.4924,0.40252048,378.79614,0
80,24,-764.1262,0.40010247,244.19363,0
81,24,-801.52856,0.39291096,92.80544,0
82,24,-674.31586,0.43632466,110.18966,0
83,24,-987.13885,0.3957618,18.29124,0
84,24,791.0301,92.36226,-85.00035,0
85,24,816.3006,92.36226,6.953415,0
86,24,925.17847,92.36221,-67.287865,0
87,24,854.9502,92.362175,-237.78763,0
88,24,931.88495,92.36217,-273.48013,0
89,24,978.33905,92.36218,43.41549,0
90,24,1156.2954,92.362175,140.63806,0
91,24,1347.459,92.362175,166.99107,0
92,24,1346.3438,92.362206,263.79395,0
93,24,1486.914,92.36219,165.4636,0
94,24,1476.6196,92.362206,390.69394,0
95,24,1562.4167,92.362206,309.0657,0
96,24,-1109.8436,0.39784846,5.1603994,0
97,24,-1310.0453,0.39821684,-74.525856,0
98,24,-1447.4832,0.39822096,-124.81252,0
99,24,-1431.7091,0.39821997,-6.2422867,0
100,24,-1532.9963,0.39822146,95.88432,0
101,24,-1648.2141,0.3982217,-42.251713,0
102,24,-1719.9122,0.39822033,45.680767,0
103,24,-485.05295,-41.678356,-159.08253,0
104,25,-697.3369,0.40087968,207.03224,0
105,25,882.4193,92.362236,46.72032,0
106,25,1269.4991,92.36219,199.13074,0
107,25,3.7379856,-107.74068,-276.6693,0
108,25,1236.3876,-107.74068,-476.15622,0
109,25,1370.1328,-107.74068,-228.15736,0
110,25,58.209282,-107.54067,-726.96655,0
111,25,-990.4001,-107.54067,-516.86475,0
112,25,-1621.1676,0.39822254,78.837326,0
113,25,70.63698,92.16045,1347.5941,0
114,23,638.68475,92.36236,260.3654,0
115,23,64.916145,92.16045,1274.068,0
116,23,74.88305,92.16045,1402.8132,0
117,23,124.53844,83.19759,1058.1155,0
118,23,1275.7549,-107.74068,-617.5161,0
119,23,1184.8591,-107.74068,-526.8403,0
120,23,1192.3738,-107.74068,-414.667,0
121,23,1270.4789,-107.74068,-337.89667,0
122,23,804.599,-107.74068,-675.3899,0
123,23,721.0113,-107.74068,-592.5219,0
124,24,1275.9453,-107.74067,-238.9962,0
125,24,1366.9128,-107.74068,-62.34624,0
126,24,1306.6029,-107.74068,-151.54498,0
127,24,1302.1833,-107.74068,-522.0772,0
128,24,1360.9131,-107.74068,-398.46088,0
129,24,1483.2958,-107.74069,-654.2005,0
130,24,1584.357,-107.74068,-705.7361,0
131,24,1059.9117,-107.74068,-524.5135,0
132,24,952.0745,-107.74068,-508.1388,0
133,24,-183.08052,-107.74068,-215.35358,0
134,26,-41.77173,-107.73975,-154.83928,0
135,26,-119.4873,-107.74068,-328.71368,0
136,26,-2.052887,-107.74067,-49.363747,0
137,26,117.74957,-107.74068,-6.0210342,0
138,26,174.61516,-107.74068,-150.01389,0
139,26,82.36097,-107.74068,-185.18631,0
140,26,161.98692,-107.74068,-300.35336,0
141,26,161.2576,-107.74068,-411.03217,0
142,26,324.4613,-107.74068,-482.46317,0
143,26,536.9258,-107.74068,-545.3727,0
144,26,618.37805,-107.74068,-649.52496,0
145,26,744.054,-107.74068,-729.6955,0
146,26,853.2328,-107.74068,-869.55133,0
147,26,1375.8351,-107.74068,-613.526,0
148,26,1663.551,-107.74068,-675.29565,0
149,26,1882.6995,-106.98299,-557.85974,0
150,26,1550.533,-107.74068,-162.79874,0
151,26,1804.7612,-106.98168,-576.45636,0
152,26,-175.13994,-107.54067,-777.8429,0
153,26,-72.512955,-107.54067,-858.145,0
154,26,46.748146,-107.54067,-824.1614,0
155,26,-72.28059,-107.54067,-706.7541,0
156,26,-887.0131,-107.54067,-571.7029,0
157,26,-936.1944,-107.54067,-429.4458,0
158,26,-1076.1185,-107.54067,-577.29346,0
159,26,-1100.7546,-107.54067,-463.56433,0
160,26,-1196.9902,-118.20934,-430.55438,0
161,26,-1358.874,-136.25209,-477.4159,0
162,26,58.025703,-107.74068,-352.9857,0
163,26,42.058914,-107.54067,-913.28876,0
164,26,967.7035,-107.74068,-974.4203,0
165,26,1685.765,-107.74068,-247.15619,0
166,26,-209.3799,-107.54067,-687.05225,0
167,26,-178.02383,-107.54067,-600.2576,0
168,26,-246.20665,-107.54067,-862.4243,0
169,26,-58.180103,-107.71426,26.396503,0
170,24,-148.88351,-94.91971,-62.264336,0
171,24,-904.46326,-107.54067,-502.68936,0
172,26,-1182.6045,-110.48911,-516.95544,0
173,23,914.11395,92.3622,-158.77708,0
