ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,738.5951,218.11069,-1526.4341,-44,WarpSpot
2,2,1754.669,215.65106,-546.0566,1,WarpSpot
3,3,1215.8269,448.5075,1377.1113,29,WarpSpot
4,4,-1632.5046,391.1612,234.6475,-179,WarpSpot
5,5,650.2459,218.11069,-1458.7185,0,나무뿌리 수정
6,5,509.64935,218.11069,-1218.9905,0,나무뿌리 수정
7,5,291.51083,218.11069,-1204.1484,0,나무뿌리 수정
8,5,411.30725,169.03079,-761.8045,0,나무뿌리 수정
9,5,625.30035,169.07246,-675.0162,0,나무뿌리 수정
10,5,482.9369,143.34653,-246.05096,0,나무뿌리 수정
11,5,-110.66626,252.92082,-1288.3196,0,나무뿌리 수정
12,5,-400.55423,252.92082,-1228.4658,0,나무뿌리 수정
13,5,-511.38928,169.65312,-546.42084,0,나무뿌리 수정
14,5,-342.80978,169.65312,-258.96973,0,나무뿌리 수정
15,5,-17.20773,169.65312,-492.6292,0,나무뿌리 수정
16,5,1033.286,209.24364,-676.4072,0,나무뿌리 수정
17,5,1414.4767,209.24365,-608.29974,0,나무뿌리 수정
18,5,1123.839,241.45448,314.09402,0,나무뿌리 수정
19,5,1184.9052,241.41708,676.0218,0,나무뿌리 수정
20,5,-511.4462,362.58954,248.3074,0,나무뿌리 수정
21,5,-954.7269,425.59714,217.87906,0,나무뿌리 수정
22,5,-1332.4907,425.59714,261.26254,0,나무뿌리 수정
23,5,41.462486,426.10004,390.74377,0,나무뿌리 수정
24,5,306.84036,426.10004,546.1785,0,나무뿌리 수정
25,5,-172.33153,470.61627,938.92584,0,나무뿌리 수정
26,5,-106.1794,483.10434,1307.4177,0,나무뿌리 수정
27,5,272.9189,470.96155,925.68506,0,나무뿌리 수정
28,5,681.1777,464.86658,1142.9824,0,나무뿌리 수정
29,5,1061.1774,451.73273,1155.6927,0,나무뿌리 수정
30,6,717.8694,218.11069,-1500.4003,0,FieldCantGen
31,6,1735.6876,215.5832,-550.62683,0,FieldCantGen
32,6,-1597.7635,407.86798,229.50859,0,FieldCantGen
33,6,1189.5149,456.44995,1366.7465,0,FieldCantGen
34,7,308.36264,234.7529,-1506.92,0,중급 관리 장교녀
35,8,-1014.0111,425.59714,495.98834,-90,팔라딘 추종자A2
36,9,115.22427,471.96027,1313.034,-84,팔라딘 추종자A3
37,10,-768.6011,169.65312,-424.44855,0,항아리
38,10,-279.1871,169.65312,-140.3412,0,항아리
39,10,992.81805,209.24362,-471.9238,0,항아리
40,10,1530.4303,209.24364,-486.1834,0,항아리
41,11,-701.9495,169.6531,-255.88306,0,작은 항아리
42,11,-499.54315,169.65312,-114.08163,0,작은 항아리
43,11,31.273224,169.65312,-248.93538,0,작은 항아리
44,11,105.00166,169.65314,-472.9959,0,작은 항아리
45,11,911.9744,209.24364,-598.54114,0,작은 항아리
46,11,1138.5172,209.51653,-410.59387,0,작은 항아리
47,11,1410.9229,209.24364,-431.26694,0,작은 항아리
48,12,1499.0762,209.24364,-734.92914,0,작은 항아리
49,12,1126.2632,209.24365,-867.0965,0,작은 항아리
50,12,-614.27844,169.65312,-688.7122,0,작은 항아리
51,12,-361.2199,169.6531,-659.7238,0,작은 항아리
52,13,-1175.298,425.59714,455.8889,0,작은 항아리
53,13,-1418.5515,425.61942,124.99808,0,작은 항아리
54,13,-952.7317,425.59714,147.42542,0,작은 항아리
55,13,-650.93823,362.58954,373.16864,-24,작은 항아리
56,13,-672.112,362.58954,175.78549,46,작은 항아리
57,13,-437.13718,362.58954,359.52475,-98,작은 항아리
58,13,-305.8229,362.58954,265.52167,-120,작은 항아리
59,14,-1406.3104,425.59714,388.8527,0,작은 항아리
60,14,-1179.6888,425.62262,80.09584,0,작은 항아리
61,14,-549.6765,362.58954,360.90506,56,작은 항아리
62,14,-361.3435,362.58954,158.43547,-17,작은 항아리
63,15,-1369.6453,426.71518,436.71786,-26,
64,15,-924.66675,425.59714,157.30203,0,
65,15,-1406.635,425.60858,161.31985,0,
66,15,-1477.5074,425.59714,319.82208,0,
67,15,-1272.0474,425.63727,47.597626,0,
68,15,-1115.002,425.6071,115.86107,0,
69,16,-496.36862,362.58954,348.53473,-74,
70,16,-235.00299,362.58954,276.50247,0,
71,16,-692.1313,362.58954,326.38904,0,
72,16,-589.81537,362.58954,126.48756,0,
73,16,-381.63528,362.58954,290.15155,-17,
74,16,-580.5524,362.58954,382.96417,0,
75,16,-422.62427,362.58954,111.67053,0,
76,17,742.59906,472.2502,1255.3367,-76,덩굴
77,17,722.4793,447.37106,1051.6813,-26,덩굴
78,17,862.87665,465.5158,1052.269,0,덩굴
79,17,897.4647,460.80948,1266.1879,155,덩굴
80,17,999.52997,451.7842,1113.3127,-89,덩굴
81,17,1028.3237,468.9184,1267.4481,0,덩굴
82,17,589.11237,482.7719,1054.0315,-105,덩굴
83,17,760.15607,487.03265,1150.9843,0,덩굴
84,17,924.3219,455.71408,1172.5723,0,덩굴
85,17,1130.5406,464.03412,1188.4421,175,덩굴
86,18,-558.46497,252.92082,-1240.4005,0,
87,18,-198.18648,252.92082,-1200.5995,0,
