ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,1039.1886,2.8802853,-2110.5735,0
2,1,1099.6993,2.09552,-1837.0471,0
3,1,980.5539,2.09552,-1805.3705,0
4,1,859.3569,2.09552,-1974.4475,0
5,1,841.26605,2.09552,-1741.1914,0
6,1,896.7743,2.09552,-1531.3895,0
7,1,1174.1636,2.09552,-1958.0052,0
8,1,282.89374,49.424126,-1119.288,0
9,1,164.26338,49.17245,-1170.6729,0
10,1,57.3624,49.45756,-1198.7174,0
11,1,492.61166,-59.684387,-302.89954,0
12,1,445.23047,-59.684387,-373.23907,0
13,1,593.1196,-59.684387,-354.18622,0
14,1,795.02014,-59.684387,-414.2367,0
15,1,620.2451,-59.684387,-521.61365,0
16,1,236.31517,57.877403,-1019.9068,0
17,1,536.45917,-59.684387,-581.798,0
18,1,-50.07053,49.54962,-1743.6995,0
19,1,23.186348,49.54962,-1603.5338,0
20,1,154.37802,49.54962,-1765.8239,0
21,1,-23.648005,49.54962,-1662.7842,0
22,1,96.119995,49.54962,-1821.9065,0
23,1,211.99579,49.54962,-1680.932,0
24,1,283.64694,49.54962,-1795.1655,0
25,1,331.05435,49.54962,-1712.5795,0
26,1,843.1843,2.09552,-1859.8638,0
27,1,993.44794,2.09552,-1920.2177,0
28,1,1206.8287,2.09552,-2157.9927,0
29,1,1327.1528,2.09552,-1852.4014,0
30,1,1374.7002,2.09552,-2060.1416,0
31,1,916.5807,2.09552,-1612.9237,0
32,1,645.2827,-59.684383,-614.5078,0
33,2,-1337.2489,68.37848,43.81954,0
34,2,-1563.0453,68.37848,208.44794,0
35,2,-1633.2626,68.37848,141.40335,0
36,2,-1426.1747,68.37848,166.31664,0
37,2,599.8768,131.8558,1379.4114,0
38,2,908.6665,4.0944877,199.4432,0
39,2,1012.0439,4.699604,264.6591,0
40,2,1024.5544,2.09552,51.828655,0
41,2,429.12497,-59.684376,-491.83118,0
42,2,521.9617,-59.684387,-430.25085,0
43,2,727.5055,-59.684387,-335.09622,0
44,2,751.2189,-59.68438,-526.0418,0
45,2,645.718,-59.684387,-430.53024,0
46,2,244.06946,52.197124,-1210.2742,0
47,2,190.79028,49.54381,-1063.5413,0
48,2,108.26447,50.40424,-1106.0334,0
49,2,721.88794,2.7200131,-1215.3131,0
50,2,713.6349,17.041924,-1119.0447,0
51,2,907.62775,2.09552,-1152.8763,0
52,2,859.77167,2.09552,-1243.3785,0
53,2,-32.995415,49.54962,-1830.2902,0
54,2,-100.95226,49.54962,-1676.8569,0
55,2,35.018314,49.54962,-1545.1279,0
56,2,80.08129,49.54962,-1667.6849,0
57,2,297.05252,49.54962,-1735.557,0
58,2,795.7646,2.09552,-2074.7808,0
59,2,1009.7676,2.09552,-1624.1248,0
60,2,969.6202,2.09552,-2076.3306,0
61,2,1153.288,2.09552,-1740.7253,0
62,2,1234.0085,2.09552,-2075.6804,0
63,2,1309.5424,2.09552,-1975.3959,0
64,2,915.01355,2.09552,-1821.8848,0
65,2,1073.275,2.09552,-2018.2245,0
66,2,711.31213,-28.669456,-773.51624,0
67,2,461.32196,34.679455,-1151.0382,0
68,2,-699.68207,2.09552,27.49971,0
69,2,-775.35284,2.09552,205.75327,0
70,2,-461.18762,2.09552,270.812,0
71,2,-594.5166,5.653008,129.90335,0
72,2,-1180.6423,68.37848,177.91496,0
73,2,39.054863,53.369125,547.2862,0
74,2,-113.77829,51.86173,782.539,0
75,2,132.90002,51.276794,866.0043,0
76,2,32.47454,51.276794,753.4077,0
77,2,273.5395,118.19919,1003.0256,0
78,2,544.5516,127.47582,1252.3828,0
79,2,835.4955,3.7797015,137.43835,0
80,2,1031.7365,2.6853642,157.36864,0
81,2,769.0274,2.09552,-1067.7595,0
82,2,814.57715,2.09552,-1173.33,0
83,2,807.7145,2.09552,-1043.5103,0
84,2,-1555.5477,68.37848,58.438885,0
85,2,-1313.2225,68.37848,222.50603,0
86,2,-1245.0806,68.37848,91.5914,0
87,2,-1757.628,68.37848,119.78697,0
88,2,1112.166,2.2134178,133.77536,0
89,2,698.25586,131.44934,1285.6061,0
90,2,1023.4344,127.87311,1258.9995,0
91,2,755.48145,125.99535,1122.7256,0
92,2,887.2198,127.41938,1122.4595,0
93,2,977.7899,131.01584,1184.0475,0
94,2,613.0551,126.38148,1141.1516,0
95,2,791.8573,131.36777,1353.9103,0
96,2,890.8113,128.17134,1315.0582,0
97,1,-701.1055,2.09552,126.45499,0
98,1,-711.46533,2.09552,269.64313,0
99,1,-511.94077,2.6281393,27.506268,0
100,1,-487.91223,2.09552,155.19653,0
101,1,-583.8012,2.7157242,254.8868,0
102,1,-397.3779,2.09552,138.79234,0
103,1,-59.552017,57.354946,640.31226,0
104,1,-47.52272,52.50268,828.4318,0
105,1,61.33325,51.276794,817.4296,0
106,1,96.50669,51.276794,687.354,0
107,1,944.1366,2.4829597,104.17574,0
108,1,1074.1586,10.872361,232.0119,0
109,1,1096.8191,2.09552,69.12353,0
110,3,592.69867,-59.684387,-452.60056,0
111,3,214.2729,49.284767,-1106.8724,0
112,3,795.50146,2.09552,-1149.7175,0
113,3,899.5102,2.09552,-1760.783,0
