ClassID,GenType,PosX,PosY,PosZ,Direction,Name
2,2,-580.8874,-17.272766,-580.46643,-85,큐폴4
3,3,-999.0292,94.532364,20.963264,0,DCAPITAL_20_5_SQ_60
5,5,-93.28894,75.07425,-126.61755,0,UnvisibleName
6,5,254.72794,75.07425,-202.30359,0,UnvisibleName
7,5,230.96487,75.07425,-442.08954,0,UnvisibleName
8,5,35.696415,75.07425,-218.08936,0,UnvisibleName
9,5,97.45086,75.07425,-361.24457,0,UnvisibleName
10,5,176.5928,75.07425,-56.44152,0,UnvisibleName
11,5,-12.384792,75.07425,-440.35052,0,UnvisibleName
12,5,-96.274536,75.07425,-291.98157,0,UnvisibleName
14,6,529.65125,28.902142,425.7602,0,DCAPITAL_20_5_SQ_80
15,4,1337.1278,39.455456,87.98099,0,UnvisibleName
16,10,-1108.7604,94.532364,-51.14008,0,UnvisibleName
17,13,-1105.521,94.532364,-50.87969,0,UnvisibleName
18,11,616.699,45.093475,628.4344,0,UnvisibleName
19,14,616.41614,45.093475,630.0725,0,UnvisibleName
20,12,1190.341,39.45546,115.62427,0,UnvisibleName
21,15,1191.5928,39.45546,116.83376,0,UnvisibleName
22,8,38.47001,75.07425,-110.94524,0,붉은 피셔맨
23,8,-71.43217,75.07425,-205.37366,0,붉은 피셔맨
24,8,-55.58428,75.07425,-388.55106,0,붉은 피셔맨
25,8,153.24817,75.07425,-466.59003,0,붉은 피셔맨
26,8,271.8788,75.07425,-349.47028,0,붉은 피셔맨
27,8,193.9971,75.07425,-191.18567,0,붉은 피셔맨
28,8,-101.94913,1.776947,-719.5457,0,붉은 피셔맨
29,8,-328.24774,1.776947,-129.51067,0,붉은 피셔맨
30,8,80.109665,1.776947,187.74968,0,붉은 피셔맨
31,8,396.2021,1.776947,114.26312,0,붉은 피셔맨
32,8,753.3884,-18.807877,23.943798,0,붉은 피셔맨
33,8,916.0183,-18.807877,-95.38948,0,붉은 피셔맨
34,8,942.1395,-11.599174,41.493,0,붉은 피셔맨
35,8,1100.7363,39.45546,180.89346,0,붉은 피셔맨
36,8,1181.1862,39.45546,-15.425499,0,붉은 피셔맨
37,8,1310.6848,39.455452,174.94069,0,붉은 피셔맨
38,8,512.77954,45.093475,651.0207,0,붉은 피셔맨
39,8,641.8392,43.38684,701.461,0,붉은 피셔맨
40,8,574.5669,45.093475,766.31555,0,붉은 피셔맨
