ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,2013.0969,6.4770813,1561.8158,0
2,1,1890.2863,6.4770813,1431.8815,0
3,1,1854.939,6.4770813,1581.9618,0
4,1,2092.8752,6.4770813,1456.4655,0
5,1,2606.3057,62.299072,1904.9359,0
6,1,2508.6042,62.299072,1824.2368,0
7,1,2641.4226,62.299072,1704.74,0
8,1,2834.5679,62.299072,1870.7784,0
9,1,2734.222,62.299072,1813.1177,0
10,1,883.0486,40.936127,1280.4231,0
11,1,1049.1134,73.49353,1619.1913,0
12,1,1305.4207,40.936127,1507.7242,0
13,1,1089.8595,40.936127,1161.5315,0
14,1,937.41064,109.8373,1729.7,0
15,1,1469.1289,40.936127,1786.6727,0
16,1,2018.1553,6.4770813,1743.4095,0
17,1,2139.2932,6.4770813,1684.8053,0
18,1,2500.1726,-55.886623,1501.6938,0
19,1,2438.8525,-65.52768,1275.3251,0
20,1,2208.8682,-65.52768,1124.6742,0
21,1,2565.893,-65.52768,1340.7966,0
22,1,3341.2651,6.1517944,1669.2058,0
23,1,3112.5725,6.1517944,1536.6686,0
24,1,3254.4573,6.1517944,1369.9438,0
25,1,3361.705,6.1517944,1366.844,0
26,1,3340.0923,6.1517944,1546.962,0
27,1,3247.4587,6.1517944,1775.3937,0
28,2,887.3351,205.92322,2549.0679,0
29,2,1027.0452,207.5137,2613.6274,0
30,2,886.67035,213.08928,2776.415,0
31,2,896.472,221.05391,2795.974,0
32,2,1167.8945,207.5137,3202.0857,0
33,2,1185.2825,207.5137,3074.4807,0
34,2,957.6197,231.64607,3098.3125,0
35,2,1019.9845,110.31204,2050.3855,0
36,2,825.9416,110.31204,1945.1681,0
37,2,979.6374,110.31204,1865.2583,0
38,2,1134.47,110.31204,1893.5638,0
39,2,782.985,40.936127,1255.3965,0
40,2,983.04114,40.936127,1430.5814,0
41,2,1026.7502,40.936127,1291.9966,0
42,2,797.44574,40.936127,1392.0449,0
43,2,973.5508,44.25143,1114.8502,0
44,2,1255.8634,40.936127,1284.6743,0
45,2,1190.9305,40.936127,1400.8818,0
46,2,1479.3685,40.936127,1590.6428,0
47,2,1241.3826,73.49353,1812.7969,0
48,2,691.36786,40.936127,1153.0432,0
49,2,884.00494,226.76508,2951.4512,0
50,2,1065.6923,40.936127,1393.0277,0
51,2,846.6474,207.5137,2661.922,0
52,2,885.24384,40.936127,1371.1848,0
53,3,2368.6812,108.32144,2765.4414,0
54,3,2238.2847,108.32144,3000.461,0
55,3,2539.788,119.61958,2431.4038,0
56,3,2618.9775,166.0747,3398.0344,0
57,3,2559.1887,166.0747,3166.7432,0
58,3,3003.3132,166.0747,3312.858,0
59,3,2292.541,111.87444,2442.401,0
60,3,2835.7527,166.0747,3038.204,0
61,3,2509.8965,166.0747,3274.5325,0
62,3,2327.989,108.32144,2844.547,0
63,3,929.9424,110.31204,1938.6094,0
64,3,2753.626,62.299072,1948.7843,0
65,3,658.0664,40.936127,1439.9817,0
66,3,2230.8354,108.32144,2758.1487,0
67,3,700.8671,40.936127,1273.893,0
68,3,858.31616,207.5137,2686.0876,0
69,4,1979.724,-65.52768,543.1084,0
70,4,2781.6182,-66.17265,606.8401,0
71,4,2352.93,-65.52768,1282.8618,0
72,4,2071.701,6.4770813,1566.7034,0
73,4,1120.4071,40.936127,1322.7576,0
74,4,1119.1859,110.31204,1997.622,0
