ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,2378,254.8407,909,16
2,2,-979.0124,-0.4225,1136.1389,36
12,5,2227.7622,111.5345,-402.26837,0
13,5,2404.1094,111.5345,-391.63815,0
14,5,1744.6232,111.43237,-114.20374,0
15,5,2265.9875,111.5345,-199.04251,0
16,5,2430.3528,111.5345,-16.99744,0
17,6,599.2363,188.3609,850.7784,0
18,6,796.48505,188.3609,689.6938,0
19,6,595.2994,188.3609,488.3968,0
20,6,445.8094,188.3609,747.2615,0
21,6,366.59354,188.16084,484.5518,0
56,15,1655.2239,254.8407,928.54895,-80
57,16,1664.0366,254.8407,891.9929,-70
58,17,1555.4868,254.8407,616.0322,0
60,19,-92.87317,65.0881,-360.81598,-72
61,20,-431.94992,65.0881,-533.87897,5
62,21,1297.7795,111.6324,-1293.3934,0
63,21,1639.6996,111.6324,-1068.0712,-58
64,22,2504.933,111.5345,-430.53873,0
65,22,2554.8162,111.5345,-8.310135,-58
66,23,1726.8762,111.6324,-19.202179,-90
67,23,1446.2014,111.6324,72.83382,-90
68,23,1821.5487,111.6324,-82.90793,-90
69,23,1786.8297,111.6324,-235.87936,-90
70,23,1683.2709,111.6324,-235.2016,-90
71,23,1354.5359,111.6324,-73.25972,-90
72,23,1524.2317,111.6324,-1148.4409,-90
73,23,1377.7455,111.6324,-1201.4442,-90
74,24,-1008.1479,-0.4225,-1436.565,-45
75,24,-759.2816,-0.4225,-1627.4368,-45
76,24,-634.03235,-0.4225,-1346.4846,-45
77,25,-1384.0422,-0.4225,-520.1179,-45
78,25,-159.43167,65.0881,-1484.573,-45
79,25,107.98297,65.0881,-1280.168,-45
80,26,-1289.5,-0.4225,205.98239,-30
81,26,-2050.9253,-0.38938457,307.38226,1
82,27,-1231.6794,-0.4225,98.423775,12
84,28,-1347.8867,-0.4225,741.0595,-109
85,28,-2189.0571,83.1454,224.25539,-19
86,29,-1539.4896,-0.30930394,398.0437,-87
87,29,-2131.097,83.1454,566.86145,-85
88,30,-1789.6077,-0.24080095,461.4723,-83
89,30,-917.86957,-0.4225,584.8394,-117
90,30,-1947.5343,-0.32476932,424.17618,-84
91,31,-406.90927,188.3609,683.8599,0
92,32,526.27545,188.3609,681.55347,0
93,5,2287.3347,111.5345,20.08095,0
94,6,173.4006,188.3609,933.2012,0
95,6,476.97736,188.3609,1097.4851,0
109,5,1201.6609,111.6324,-915.1346,0
110,5,1376.54,111.6324,-1246.3975,0
111,5,1541.632,111.6324,-1046.4554,0
112,5,1148.6647,111.6324,-1143.4158,0
113,5,1436.3667,111.6324,-243.19083,0
114,5,1328.5933,111.6324,-30.523407,0
115,5,1633.1499,111.43237,-237.28693,0
116,5,1519.6154,111.6324,-61.496246,0
117,5,1352.5311,111.6324,-1017.8901,0
118,4,-235.41682,65.0881,-1334.5485,0
119,4,55.763515,64.888115,-1238.7554,0
120,4,-248.85463,64.888115,-1188.2494,0
125,7,568.2588,181.92966,246.25778,0
126,4,-1176.7516,-0.4225,-415.0188,0
127,4,-1208.9819,-0.4225,-625.62537,0
128,4,-1053.459,-0.4225,-597.2372,0
129,4,-1018.3329,-0.4225,-432.5054,0
130,33,290.75974,188.3609,550.47125,0
131,33,1576.138,111.6324,-14.640915,0
132,33,1527.6458,111.6324,-255.8555,0
133,33,1298.078,111.6324,-1054.1649,0
134,33,1450.4464,111.6324,-1153.428,0
135,33,2316.6145,111.5345,-378.77167,0
136,33,2389.2246,111.5345,-123.71835,0
137,33,896.8309,188.3609,675.7899,0
138,33,496.67432,188.3609,917.9286,0
139,33,659.73474,188.3609,478.9793,0
140,33,-344.03806,188.3609,740.0416,0
141,33,-638.77026,188.3609,548.56323,0
142,33,789.3286,65.0881,-289.46402,0
143,33,974.6723,65.0881,-592.4241,0
144,33,692.9347,65.0881,-547.19006,0
145,33,-89.78693,65.0881,-1137.3213,0
146,33,-69.01866,65.0881,-1406.3617,0
147,33,-1026.3429,-0.4225,-499.7965,0
148,33,-1258.8026,-0.4225,-648.2118,0
149,33,-840.35913,-0.4225,-1256.7782,0
150,33,-819.8685,-0.4225,-1531.072,0
151,33,-1044.4266,-0.4225,192.22464,0
152,33,-1141.9974,-0.4225,676.2736,0
153,33,-1811.8018,-0.31081006,309.1311,0
154,33,-1826.9899,-0.4225,-186.90366,0
156,6,-619.6948,188.3609,604.5285,0
157,6,-687.2253,188.3609,868.33044,0
