ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,829.432,245.457,-948.9832,-86,샤튼 농장
2,2,868.5493,245.457,-744.3278,0,멜라타눈
3,2,800.66345,245.457,-540.50684,0,멜라타눈
40,14,573.45917,293.2046,-103.4292,-19,드루이드 마르티넥
41,15,629.93896,293.2046,2.3831177,-53,고르드 샤튼
42,16,648.06116,293.2046,53.525223,-44,바네사 샤튼
43,17,769.0428,293.2046,117.1465,-69,사병대장 뷰로스
45,19,-38.358215,293.2046,90.904724,-68,집사 바렌
46,20,-1652.8839,274.9668,-190.77698,0,농장 사병 업햄
47,21,-561.82227,245.457,-585.36536,0,땅굴 입구
48,22,-650.295,293.2046,-104.10556,0,땅굴 입구
49,23,-806.6474,258.7858,592.3996,100,땅굴 입구
50,24,-1972.4229,274.9668,-203.88605,0,땅굴 입구
51,25,-721.0234,221.6003,1785.6605,0,땅굴 입구
52,26,1045.9022,238.2126,1025.9563,81,땅굴 입구
53,27,1213.8853,238.2126,1313.535,-116,땅굴 입구
54,28,-1623.9524,273.5265,-1275.1892,1,땅굴 입구
55,29,-1285.8466,309.2148,156.36827,-77,땅굴 입구
56,30,-1230.5203,245.7409,1089.1407,-171,땅굴 입구
57,32,-1709.0144,245.5957,-661.42456,0,땅굴 입구
59,33,-1109.1641,273.5265,-783.4154,0,땅굴 출구
60,34,-1026.321,258.7858,715.75867,0,땅굴 출구
61,35,-1248.5701,274.9668,-116.87878,0,땅굴 출구
62,36,91.384,248.8447,1898.2249,0,땅굴 출구
63,37,661.50183,238.2126,1191.3912,0,땅굴 출구
64,38,1718.0725,197.9638,423.0154,0,땅굴 출구
65,39,-1262.5052,273.5265,-1461.8253,0,땅굴 출구
66,40,922.36224,293.2046,600.922,0,땅굴 출구
67,41,-1478.3535,245.7409,468.22235,0,땅굴 출구
68,42,-710.6141,258.7858,926.03534,0,땅굴 출구
69,44,1139.2046,245.457,-707.2848,0,땅굴 출구
71,45,-106.95349,245.457,-552.74536,-90,떨어진 주머니
72,45,-96.148476,245.457,-735.60297,-90,떨어진 주머니
73,45,72.34953,245.457,-773.99225,-90,떨어진 주머니
74,46,206.92442,245.457,-713.99915,-90,떨어진 주머니
