ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,12,825,-2596,-99.46,중심시가
2,2,2.922346,688.4476,-403.21832,0,레푸스버니
3,3,-1149.58,564.7603,-243.77936,0,레무리아
4,4,1413.1438,457.6492,730.05304,0,루바보스
5,5,-1046.065,564.7603,-226.23123,0,레무리아
7,5,-1352.6835,578.3446,-104.41146,0,레무리아
8,5,-13.47654,688.4476,-569.1067,0,레무리아
9,5,-260.31766,688.4476,-531.64343,0,레무리아
20,6,-1238.5271,564.7603,-233.79945,0,레푸스버니
22,6,-292.60538,688.4476,-558.033,0,레푸스버니
24,6,-64.578476,688.4476,-577.5262,0,레푸스버니
26,6,-59.654114,745.6932,-1783.6652,0,레푸스버니
27,6,-1064.4542,564.7603,-307.53314,0,레푸스버니
28,7,-570.1172,885.3875,1373.7795,15,여신 제미나의 상
29,8,-365.7742,745.6932,-1319.7836,-73,"  [칼리스 기사단]{nl}빌헬미나 캐리어트"
30,34,-399.15045,745.6932,-1350.0089,14,"  [캐노니어 마스터]{nl}에다 세이커 바라자스"
31,35,-314.8599,745.6932,-1315.0437,-108,[머스킷티어 마스터]{nl}      알로덴 마자린
32,10,-443.77148,533.0458,357.74106,0,[칼리스 기사단]{nl} 보코르 에디타
33,11,29.384712,533.0458,357.1641,0,"       [칼리스 기사단]{nl}알케미스트 살리아모나스"
34,12,-586.4934,885.3876,1560.2858,0,[아만다 도굴단]{nl}        아만다
36,14,-1488.2642,578.3446,-134.85909,0,석화된 병사
37,14,-1339.2444,571.8387,-230.7649,0,석화된 병사
38,14,-1293.8923,578.3446,92.75174,0,석화된 병사
39,14,-918.67114,536.8473,-600.08026,0,석화된 병사
40,14,-942.6066,564.7603,-295.98987,0,석화된 병사
41,14,-986.5865,564.15137,185.87921,0,석화된 병사
42,14,-1222.9762,564.1956,332.82996,0,석화된 병사
43,14,-879.6102,587.2318,721.28424,0,석화된 병사
44,15,-1495.0829,578.3446,-19.449547,0,석화된 도굴꾼
45,15,-1179.6805,536.8472,-515.9983,0,석화된 도굴꾼
46,15,-1235.5935,587.2318,538.9385,0,석화된 도굴꾼
47,15,-909.5046,587.2318,533.62476,0,석화된 도굴꾼
48,16,124.05611,688.4476,-517.75464,-159,석화된 병사
49,16,-229.97327,688.4476,-519.9115,0,석화된 병사
50,16,-347.22223,688.4476,-440.5534,-56,석화된 병사
51,16,-187.25842,688.4476,-349.2137,0,석화된 병사
55,17,-1181.1619,564.7603,-354.15625,0,모닥불
56,17,-1246.2671,564.33887,238.40761,0,모닥불
57,17,-1071.9683,587.2318,657.2013,0,모닥불
58,17,-685.68494,587.2318,753.5668,0,모닥불
59,17,-1437.4412,512.7866,-450.3657,0,모닥불
60,18,1112.9459,457.6492,378.3195,0,석화되어가는 몬스터
61,18,975.5398,457.6492,557.2016,0,석화되어가는 몬스터
62,18,1365.4882,457.6492,749.4231,0,석화되어가는 몬스터
63,18,1482.5771,457.6492,663.9259,0,석화되어가는 몬스터
64,18,1461.1489,457.6492,519.30695,0,석화되어가는 몬스터
66,18,1164.461,457.6492,660.6064,0,석화되어가는 몬스터
67,19,4.7484717,843.062,1444.9391,124,UnvisibleName
68,19,132.45862,843.062,1595.1326,118,UnvisibleName
69,19,125.24281,843.062,1734.5181,-38,UnvisibleName
70,19,-13.229247,843.062,2047.8518,0,UnvisibleName
71,19,-244.22128,843.062,1972.2026,113,UnvisibleName
72,19,-53.397106,843.062,1892.0527,-160,UnvisibleName
73,19,-297.5761,843.062,1718.1267,-69,UnvisibleName
