ClassID,GenType,PosX,PosY,PosZ,Direction,Name
4,4,-186.69,274.21,-1570.87,-17.53,
5,5,-239.14,0.25,-200.18,-17.61,
6,6,58.31734,-57.3364,653.91376,0,
7,7,-89,41,1399,0,
8,7,-243,41,1305,0,
9,7,-345,41,1134,0,
10,7,83,41,1278,0,
11,8,181,41,1363,0,
15,15,-439,50,234,-45,
16,19,859,0,205,-70,
24,22,439.58,274.21,-1641.15,5,
25,23,1461.54,-10.36,1157.1,83,
27,27,-254.08,52.89,250.03,1,
29,29,702.58,0.65,119.57,0,얼타눈
31,31,636.91,0.65,19.92,0,검은 마이즈
32,32,-820.28,-0.7,-122.1,0,검은 마이즈
34,34,-515.8,271.89,-1541.66,35,
35,35,859,0,205,-70,
37,37,-696.94,274.21,-1209.64,0,
38,37,-368.19,274.21,-1528.76,0,
39,37,87.16,274.21,-1648.95,0,
40,37,-120.21,274.21,-1608.63,0,
41,37,411.04,274.21,-1647.49,0,
42,38,-864.1304,-0.70803344,-353.8641,0,얼타눈
67,40,246.07,274.36,-1747.42,0,
68,40,-348.71,274.21,-1390.66,0,
69,40,-634.37,274.21,-1128.92,0,
70,40,497.29,173.61,-603.91,0,
71,40,-853.86,-0.71,-557.39,0,
72,40,-369.84,-1.12,-111.56,0,
73,40,-161.48,42.54,1099.89,0,
74,40,849.66,0.65,754.1,0,
75,40,705.44,0.65,-8.53,0,
76,40,1575.71,-10.36,672.99,0,
77,40,113.06,-54.31,461.73,0,
78,1,-686.4,274.21,-1179.39,0,
79,41,-224.2,0.33,-195.08,0,
80,42,803.55,0.65,343.43,0,
81,42,1484.24,-10.36,1092.74,0,
82,43,-440.17,49.66,253.64,0,얼타눈
83,44,-444.43,49.55,229.16,0,검은 마이즈
84,45,-57.27,-5.61,81.4,0,붉은 룩소돈
85,32,-944.9715,-0.7080952,-452.2336,0,검은 마이즈
86,43,-77.85,42.54,1188.62,0,얼타눈
87,32,-154.12,-0.81,13.73,0,검은 마이즈
88,32,-5.76,12.11,-139.49,0,검은 마이즈
89,32,-6.31,-41,185.87,0,검은 마이즈
90,32,-393.54,-1.13,-81.02,0,검은 마이즈
91,32,-757.847,-0.70797163,-340.0202,0,검은 마이즈
92,38,343.84872,173.61377,-855.3425,0,얼타눈
93,38,477.53,205.73,-1103.58,0,얼타눈
94,38,677.81,173.61,-770.73,0,얼타눈
95,46,-390.231,271.84552,-1617.5538,-98,
96,47,479.27945,173.61377,-816.7524,0,
97,32,-653.10376,0.47054672,-511.51862,0,검은 마이즈
98,32,-540.4689,0.013012044,-294.37396,0,검은 마이즈
99,38,565.2133,173.61377,-939.67505,0,얼타눈
100,38,580.91266,173.61377,-624.41766,0,얼타눈
101,38,-688.60126,-0.7089138,-169.6638,0,얼타눈
102,38,397.65268,173.61377,-596.8068,0,얼타눈
103,38,-339.48297,-1.171413,-78.36729,0,얼타눈
104,39,414.7287,198.13196,-1103.0859,0,검은 마이즈
105,39,598.7813,173.61377,-964.75977,0,검은 마이즈
106,39,409.87704,173.61377,-791.7931,0,검은 마이즈
107,39,250.19398,173.61377,-639.52924,0,검은 마이즈
108,39,505.44098,173.61377,-536.4581,0,검은 마이즈
109,39,587.56506,173.61377,-800.3403,0,검은 마이즈
110,39,286.29477,173.61377,-944.2749,0,검은 마이즈
111,38,-794.00397,-0.6967194,-98.01706,0,얼타눈
112,43,-586.2694,56.59332,144.67632,0,얼타눈
113,43,-497.60754,53.15648,394.94992,0,얼타눈
114,43,-408.51373,52.533955,117.67588,0,얼타눈
115,43,-584.6678,54.961296,320.6782,0,얼타눈
116,43,-219.35301,42.541912,1117.558,0,얼타눈
117,43,-78.63364,42.532818,1349.9259,0,얼타눈
118,43,60.193993,42.53812,1118.2163,0,얼타눈
119,43,198.40105,42.17802,1266.4766,0,얼타눈
120,43,-251.17834,42.54191,1253.4501,0,얼타눈
121,43,-284.734,53.134876,212.35274,0,얼타눈
122,43,-557.06104,48.83869,246.36078,0,얼타눈
123,48,-862,5.811579,203,-90,
124,49,-159.95,274.31,-1274.28,0,
125,50,-836.0075,273.47012,-1075.8771,0,
