ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,-79,79,-1799,270,그리나스 수련장
5,5,-463.65042,81.97291,-370.68466,-90,여신 바카리네의 상
24,7,-1398.8334,203.54248,1002.4848,0,노란 그리바
25,7,-1174.8516,215.7345,1444.4144,0,노란 그리바
26,7,-539.8811,247.34386,1336.6653,0,노란 그리바
27,7,-532.4746,265.1106,1551.929,0,노란 그리바
28,7,-748.558,215.7345,1178.5981,0,노란 그리바
29,7,-1550.4448,312.2391,1859.0992,0,노란 그리바
30,7,-1071.4789,312.2391,1895.6677,0,노란 그리바
31,7,-198.28134,215.7345,1155.0245,0,노란 그리바
32,7,-694.68634,124.4862,745.0368,0,노란 그리바
33,7,-1178.5803,124.4862,587.21936,0,노란 그리바
34,7,-844.98157,124.4862,990.2625,0,노란 그리바
35,7,-696.8855,78.799255,470.77045,0,노란 그리바
36,7,-1331.6216,78.6691,345.56104,0,노란 그리바
37,7,-363.87897,79.651665,453.99637,0,노란 그리바
38,7,-352.01205,79.129166,560.4924,0,노란 그리바
39,7,-75.359055,26.9143,46.010704,0,노란 그리바
40,7,56.834812,26.9143,370.7228,0,노란 그리바
41,7,-117.21287,26.9143,280.34833,0,노란 그리바
42,7,-497.62064,49.5751,-46.80145,0,노란 그리바
43,7,-183.74542,124.4862,851.06934,0,노란 그리바
44,7,-1168.1509,215.7345,1182.3329,0,노란 그리바
45,7,-1477.852,215.7345,1374.5251,0,노란 그리바
46,7,-776.41425,26.9141,263.55588,0,노란 그리바
47,7,-680.1299,24.815,-104.72784,0,노란 그리바
48,7,-1140.5608,24.815,-99.89363,0,노란 그리바
49,7,-1538.1171,79.1888,-152.93031,0,노란 그리바
50,7,-1561.4344,81.19005,-329.509,0,노란 그리바
51,7,-1322.542,104.40521,-417.86954,0,노란 그리바
52,7,-894.5571,121.7772,-390.87717,0,노란 그리바
53,7,-961.7896,121.7772,-358.10846,0,노란 그리바
54,7,-982.24133,121.7772,-444.03085,0,노란 그리바
55,7,-1185.2357,122.6973,-728.0346,0,노란 그리바
56,7,-1589.0244,122.6973,-847.2204,0,노란 그리바
57,7,-1436.0116,122.6973,-1049.4102,0,노란 그리바
58,7,-1218.7526,150.3813,-908.98914,0,노란 그리바
59,7,-1415.5243,122.6973,-586.35565,0,노란 그리바
60,7,-1006.4227,122.6973,-996.1215,0,노란 그리바
61,7,-1091.8507,122.6973,-1250.9208,0,노란 그리바
62,7,-826.6907,80.45877,-695.81067,0,노란 그리바
63,7,-886.06213,122.45615,-1278.5863,0,노란 그리바
64,7,-580.072,80.81295,-828.5039,0,노란 그리바
65,7,-571.4811,80.81399,-1115.2028,0,노란 그리바
66,7,-599.8476,81.915115,-1452.6396,0,노란 그리바
67,7,-694.28937,82.338806,-1327.0383,0,노란 그리바
68,7,-423.83026,78.70962,322.8321,0,노란 그리바
69,8,-1586.5829,122.6973,-814.6048,0,푸른 사크몰리
70,8,-1309.6589,122.6973,-698.6294,0,푸른 사크몰리
71,8,-1062.3527,143.39485,-881.42084,0,푸른 사크몰리
72,8,-1375.785,150.3813,-972.9156,0,푸른 사크몰리
73,8,-1248.9911,150.3813,-930.00214,0,푸른 사크몰리
74,8,-1126.522,150.3813,-956.3806,0,푸른 사크몰리
75,8,-1578.3522,122.6973,-1097.9912,0,푸른 사크몰리
76,8,-1441.4775,122.6973,-588.5265,0,푸른 사크몰리
77,8,-1385.5905,122.6973,-726.576,0,푸른 사크몰리
78,8,-1501.4785,122.6973,-668.94714,0,푸른 사크몰리
79,8,-1008.7426,122.6973,-783.1044,0,푸른 사크몰리
80,8,-957.4491,122.6973,-1206.9758,0,푸른 사크몰리
81,8,-1077.2949,122.6973,-1362.5653,0,푸른 사크몰리
82,8,-1109.9226,122.6973,-1234.5431,0,푸른 사크몰리
83,8,-760.61414,83.08509,-1277.9403,0,푸른 사크몰리
84,8,-636.7936,81.93315,-1375.116,0,푸른 사크몰리
85,8,-425.1274,80.79839,-1236.2716,0,푸른 사크몰리
86,8,-488.611,81.87572,-984.7783,0,푸른 사크몰리
87,8,-710.52246,80.872574,-1039.4331,0,푸른 사크몰리
88,8,-504.87054,81.726295,-817.3551,0,푸른 사크몰리
89,8,-817.2405,80.6983,-785.7892,0,푸른 사크몰리
90,8,-816.81165,80.4152,-601.85815,0,푸른 사크몰리
91,8,-1005.0144,81.24412,-614.64264,0,푸른 사크몰리
92,8,-467.03418,82.79758,-731.3425,0,푸른 사크몰리
93,8,-280.742,82.15412,-770.6413,0,푸른 사크몰리
94,8,187.06184,156.0808,-842.1144,0,푸른 사크몰리
95,8,36.992455,156.0808,-684.1312,0,푸른 사크몰리
96,8,1049.5848,82.80962,-414.43906,0,푸른 사크몰리
97,8,-58.21213,170.02597,-1083.0885,0,푸른 사크몰리
98,8,-201.64224,82.8096,-1441.0398,0,푸른 사크몰리
99,8,1083.4099,44.2286,-675.7452,0,푸른 사크몰리
100,8,-314.754,80.76149,-1488.3412,0,푸른 사크몰리
101,8,176.50378,82.80964,-1259.1207,0,푸른 사크몰리
102,8,959.4124,44.2286,-823.9912,0,푸른 사크몰리
103,8,806.5066,25.318005,-1170.4197,0,푸른 사크몰리
104,8,199.00803,156.0808,-986.24146,0,푸른 사크몰리
105,8,-81.60886,156.08734,-926.98645,0,푸른 사크몰리
106,8,325.4525,128.924,-520.9069,0,푸른 사크몰리
107,8,183.94276,128.924,-584.4254,0,푸른 사크몰리
108,8,1075.7058,82.80965,-160.23154,0,푸른 사크몰리
109,8,273.25653,156.0808,-990.9395,0,푸른 사크몰리
110,8,31.690247,82.80963,-1333.319,0,푸른 사크몰리
111,8,405.47272,82.7033,-1144.1034,0,푸른 사크몰리
112,8,509.46445,82.8096,-871.2895,0,푸른 사크몰리
113,8,657.2425,82.8096,-631.23474,0,푸른 사크몰리
114,8,657.8855,82.631485,-865.2961,0,푸른 사크몰리
115,8,544.9478,82.8096,-532.954,0,푸른 사크몰리
116,8,553.68365,82.74547,-746.9122,0,푸른 사크몰리
117,8,817.27576,82.809654,-516.0928,0,푸른 사크몰리
118,9,530.6885,62.02971,-1057.8165,0,초록 미듀쟈
119,9,683.12415,25.104273,-1167.2598,0,초록 미듀쟈
120,9,644.3223,25.348925,-1340.6145,0,초록 미듀쟈
121,9,700.1033,25.604053,-1529.442,0,초록 미듀쟈
122,9,816.5997,25.443932,-1265.7756,0,초록 미듀쟈
123,9,924.34674,25.468435,-1114.5325,0,초록 미듀쟈
124,9,761.4334,25.120058,-1048.4178,0,초록 미듀쟈
125,9,970.43036,44.2286,-876.47754,0,초록 미듀쟈
126,9,1130.9402,44.2286,-824.7127,0,초록 미듀쟈
127,9,1254.2827,44.2286,-606.0358,0,초록 미듀쟈
128,9,1046.6323,44.2286,-666.0875,0,초록 미듀쟈
129,9,1070.0857,82.8097,-35.469486,0,초록 미듀쟈
130,9,739.86975,82.8096,-608.22894,0,초록 미듀쟈
131,9,502.29694,82.8096,-870.83276,0,초록 미듀쟈
132,9,933.2891,82.8097,220.44604,0,초록 미듀쟈
133,9,907.8561,82.80962,-481.17328,0,초록 미듀쟈
134,9,404.13586,82.809616,-1069.9926,0,초록 미듀쟈
135,9,268.88367,82.74123,-1339.8451,0,초록 미듀쟈
136,9,73.97209,82.80964,-1319.9453,0,초록 미듀쟈
137,9,-558.3147,80.82372,-1077.0696,0,초록 미듀쟈
138,9,567.00525,24.973162,-1224.561,0,초록 미듀쟈
139,9,-468.78912,80.80629,-908.8595,0,초록 미듀쟈
140,9,-379.5558,80.84578,-1118.4331,0,초록 미듀쟈
141,9,-751.6182,80.494934,-756.37555,0,초록 미듀쟈
142,9,596.9825,82.76377,-738.6902,0,초록 미듀쟈
143,9,1090.529,82.8096,-385.3702,0,초록 미듀쟈
144,9,1081.8909,82.80963,-166.55725,0,초록 미듀쟈
145,9,542.1895,82.8096,-486.17444,0,초록 미듀쟈
146,9,1048.2217,82.8097,388.54956,0,초록 미듀쟈
147,9,867.52563,82.8097,112.27905,0,초록 미듀쟈
