ClassID,GenType,PosX,PosZ,Direction,PosY,Name
1,1,1600.1116,369.1022,54,17.002289,WarpSpot
2,2,1564.1658,-1382.5289,-69,-133.90414,WarpSpot
3,3,-1491.322,450.38336,168,0.20838776,WarpSpot
4,4,-901.70404,-1639.1299,-1,-112.98382,WarpSpot
5,5,1315.2864,-213.21678,0,-4.870502,나무뿌리 수정
6,5,949.62646,126.93922,0,0.051494438,나무뿌리 수정
7,5,337.46753,55.7637,0,0,나무뿌리 수정
8,5,75.64025,288.91437,0,0,나무뿌리 수정
9,5,-213.56548,77.34254,0,-0.16885808,나무뿌리 수정
10,5,-741.81335,60.3191,0,0,나무뿌리 수정
11,5,-1207.9235,120.1469,0,0,나무뿌리 수정
12,5,-998.0873,1464.8643,0,-88.462921,나무뿌리 수정
13,5,130.11612,864.7275,0,-88.749878,나무뿌리 수정
14,5,-66.80233,1485.3157,0,-152.90601,나무뿌리 수정
15,5,324.0011,1462.3481,0,-152.90601,나무뿌리 수정
16,5,861.802,1611.1348,0,-239.49048,나무뿌리 수정
17,5,1167.9976,1553.8171,0,-239.49048,나무뿌리 수정
18,5,1166.307,616.3252,0,115.17213,나무뿌리 수정
19,5,894.21027,563.8945,0,115.17212,나무뿌리 수정
20,5,-218.04189,-510.9965,0,-69.655273,나무뿌리 수정
21,5,526.3489,-674.76434,0,-69.655273,나무뿌리 수정
22,5,888.4131,-569.16034,0,-69.655273,나무뿌리 수정
23,5,1307.574,-1011.9697,0,-133.90417,나무뿌리 수정
24,5,1566.3,-504.43903,0,-132.90419,나무뿌리 수정
25,5,-775.6914,-678.0433,0,-104.79602,나무뿌리 수정
26,5,-1286.0887,-707.2014,0,-104.03225,나무뿌리 수정
27,5,-1216.41,-1283.9623,0,-113.00299,나무뿌리 수정
28,6,1584.8744,380.46838,-85,17.002289,FieldCantGen
29,6,1541.2974,-1370.4243,-85,-133.90414,FieldCantGen
30,6,-1458.9327,417.9639,-85,0.20615965,FieldCantGen
31,6,-939.8245,-1635.8682,-85,-113.15756,FieldCantGen
32,7,1185.8271,56.205887,-85,0,여신 바카리네의 상
33,8,1278.9343,119.57216,-55,-2.410497,중년 부인
34,9,1061.248,130.2528,-79,0.00093489292,마을 청년B1
35,10,87.24713,1639.3813,-82,-152.90601,귀족 남자
36,11,-336.5199,-768.4698,0,-69.655273,젊은 도련님
37,12,-345.12238,-731.5262,0,-69.655273,가정교사
38,13,1004.9401,141.56638,-58,0.026279725,귀족 남자
39,14,1035.8158,149.90927,-80,0.012202893,젊은 도련님
40,15,50.84999,1633.7281,-101,-152.90601,보급병
41,15,133.13635,1634.0018,-59,-152.90601,보급병
42,16,-346.61322,-694.3147,20,-69.655273,보급병
43,16,-291.7439,-792.52936,-19,-69.655273,보급병
44,17,298.71567,-38.35216,-59,0,나뭇가지
45,17,-48.372604,-25.36929,-85,-0.011879961,나뭇가지
46,17,14.410706,229.44186,-38,0,나뭇가지
47,17,-298.09265,102.88338,-7,0,나뭇가지
48,17,-816.7584,113.69972,-95,0,나뭇가지
49,17,-1185.4103,223.93378,-105,0,나뭇가지
50,17,-1102.88,32.117584,0,0,나뭇가지
51,18,1162.6506,540.8373,-30,115.17213,나무 그루터기2
52,18,883.5397,647.1509,-30,115.17212,나무 그루터기2
53,18,962.82056,453.79547,-30,115.17212,나무 그루터기2
54,18,1021.0941,1785.4125,-30,-239.49048,나무 그루터기2
55,18,795.8527,1784.7941,-30,-239.49048,단풍숲 풀더미
56,18,852.81,1561.9457,-30,-239.49048,단풍숲 풀더미
57,18,1187.077,1525.5732,-30,-239.49048,단풍숲 풀더미
58,18,-947.27203,1361.9688,-30,-88.462921,단풍숲 풀더미
59,18,-1070.3147,1537.9293,-30,-88.462921,단풍숲 풀더미
60,18,-1145.5247,1320.2753,-30,-88.462921,단풍숲 풀더미
61,19,1536.4746,-257.1115,-96,-132.90417,단풍숲 나무
62,20,1232.237,1497.0406,-55,-239.49045,폐허더미1
63,20,1160.7062,1443.6295,50,-239.49045,폐허더미1
64,20,1182.8615,1480.973,11,-239.49045,폐허더미1
65,21,-1297.5194,179.08069,-29,0,유적지대_비석03
66,22,651.0101,-473.3684,83,-69.655273,유적지대_비석05
67,23,1274.6885,553.91016,134,115.17213,돌받침
68,24,-1269.9153,301.5937,-87,3.0517578,알림판
69,24,120.92436,337.5265,-91,0,알림판
70,24,1225.5598,71.09747,-49,0,알림판
71,25,441.43204,64.36365,0,-0.24028733,
72,26,775.2182,133.58664,0,0.014615946,
73,27,1136.8346,113.39696,0,2.133896,몬젠X
74,28,72.124954,1658.4514,0,-152.90598,몬젠X
75,29,-353.17947,-758.59393,0,-69.655243,몬젠X
100,100,826.5339,139.24161,0,0.13993151,포쿠부
101,100,1025.7454,87.44974,0,0.017530739,포쿠부
102,100,940.25055,-173.92178,0,0.28093985,포쿠부
103,100,1194.1215,-250.3523,0,2.63347,포쿠부
104,100,1164.981,-72.40085,0,1.385836,포쿠부
105,100,1333.6304,25.064346,0,-1.183281,포쿠부
106,100,1249.5859,-110.124,0,3.737913,포쿠부
118,103,-1287.9996,1624.8224,0,-88.462921,유코푸스
119,103,-1155.9792,1262.6808,0,-88.462921,유코푸스
120,103,-929.427,1263.4766,0,-88.462921,유코푸스
121,103,-903.9832,1521.7723,0,-88.462921,유코푸스
133,106,-1075.7057,-591.7917,0,-104.40297,미듀쟈
134,106,-1249.6259,-768.7444,0,-103.88278,미듀쟈
135,106,-880.5072,-723.22766,0,-104.7104,미듀쟈
136,106,-1296.8625,-528.49207,0,-104.79602,미듀쟈
137,106,-952.0513,-450.50244,0,-104.6905,미듀쟈
138,106,-769.69086,-581.5432,0,-104.79602,미듀쟈
147,110,380.0072,-625.03424,0,-69.655273,노란 카로
148,100,-4.4388194,-20.2702,0,0,노란 리프넛
149,100,76.42181,444.77423,0,-6.2563171,노란 리프넛
150,100,-265.90018,176.79774,0,-0.59570378,노란 리프넛
151,100,381.17865,135.68918,0,0,노란 리프넛
152,100,186.41812,-62.75276,0,0,노란 리프넛
153,100,-1158.9459,56.324593,0,0,노란 리프넛
154,100,-934.5735,7.202757,0,3.051757,노란 리프넛
155,100,-844.47046,-22.421051,0,0,노란 리프넛
156,100,-1024.796,81.716385,0,3.051757,노란 리프넛
157,100,-613.8553,68.6719,0,0,노란 리프넛
158,100,-795.2302,169.21262,0,0,노란 리프넛
159,100,32.208138,257.64246,0,0,노란 리프넛
160,100,195.88043,143.73158,0,0,노란 리프넛
161,103,-1035.5201,1580.6063,0,-88.462921,주황 그루머
162,103,70.96894,807.29504,0,-88.749847,주황 그루머
163,103,332.62057,828.01355,0,-87.866333,주황 그루머
164,103,107.30626,719.4608,0,-88.749847,주황 그루머
165,103,138.16995,950.2129,0,-88.749847,주황 그루머
166,103,84.34153,1147.2231,0,-99.530823,주황 그루머
167,103,674.6413,1650.0463,0,-239.49048,주황 그루머
168,103,832.82153,1837.0692,0,-239.49048,주황 그루머
