ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,1549.4093,332.26324,763.37915,-92,마을 아가씨
2,2,1549.2496,332.26324,765.59357,0,
3,3,-813.0622,577.14264,80.71449,-26,큐폴4
4,4,-1542.9801,0.42951012,-1360.079,8,큐폴4
5,5,-1549.8414,0.42951012,-1356.8851,0,
6,6,-781.2697,577.14264,70.27735,0,
7,7,-1239.7401,-5.284395,-955.732,0,
8,9,-770.8255,577.14264,105.13103,0,마력 억제기
9,10,1082.899,-92.416435,-680.64355,0,UnvisibleName
10,11,-535.68744,32.782417,-1608.6029,0,UnvisibleName
11,12,1574.9664,661.4895,16.516872,0,샤울레이 변색된 풀
12,12,1477.5743,661.48944,-40.074043,0,샤울레이 변색된 풀
13,12,1094.7114,661.5872,-105.77899,0,샤울레이 변색된 풀
14,12,993.0097,663.94147,-270.40567,0,샤울레이 변색된 풀
15,12,773.4194,598.17633,-102.32799,0,샤울레이 변색된 풀
16,12,107.92683,576.9103,-121.76919,0,샤울레이 변색된 풀
17,12,225.49191,576.9103,-112.23181,0,샤울레이 변색된 풀
18,12,244.44595,576.9103,-279.614,0,샤울레이 변색된 풀
19,12,298.21494,576.9103,-50.84769,0,샤울레이 변색된 풀
20,12,305.89197,576.9103,-270.92242,0,샤울레이 변색된 풀
21,13,-1568.8951,698.7891,666.87054,0,작은 드럼통
22,13,-1748.6136,698.7891,598.9121,0,작은 드럼통
23,13,-1758.4365,698.7891,454.29572,0,작은 드럼통
24,13,-1599.3468,698.7891,429.89697,0,작은 드럼통
25,13,-1266.3591,698.7891,513.7984,0,작은 드럼통
26,13,-1278.463,698.7891,692.92883,0,작은 드럼통
27,13,-1608.897,698.7891,813.3514,0,작은 드럼통
28,13,-1504.5739,698.7891,522.5904,0,작은 드럼통
29,14,-773.32983,577.14264,31.932713,0,
30,16,-1679.7781,0.42951012,-1205.3525,0,UnvisibleName
31,17,-1427.5708,0.42951012,-1018.7476,0,UnvisibleName
32,18,-1647.2128,0.42951012,-1364.332,0,UnvisibleName
33,19,-1504.6819,0.42951012,-1359.7189,0,UnvisibleName
34,20,-1577.9628,0.42951012,-1134.3662,0,UnvisibleName
35,21,-1389.3564,0.42951012,-1349.9158,0,UnvisibleName
36,22,-1397.6571,698.7891,589.66516,0,붉은 레푸스버니
37,22,-1693.7468,698.7891,528.1199,0,붉은 레푸스버니
38,22,-1594.596,698.7891,442.42355,0,붉은 레푸스버니
39,22,-1472.3661,698.7891,436.23727,0,붉은 레푸스버니
40,22,-1538.3607,698.7891,650.2391,0,붉은 레푸스버니
41,22,-1474.7689,698.7891,795.51587,0,붉은 레푸스버니
42,22,-1396.5858,698.7891,688.31165,0,붉은 레푸스버니
43,22,-1308.7935,698.7891,618.27985,0,붉은 레푸스버니
44,22,-1324.5883,698.7891,513.1818,0,붉은 레푸스버니
45,22,-1522.171,698.7891,583.98584,0,붉은 레푸스버니
46,22,-1283.5032,643.2429,240.09619,0,붉은 레푸스버니
47,22,-1094.781,577.14264,109.11785,0,붉은 레푸스버니
48,22,-1042.718,565.0461,-114.17255,0,붉은 레푸스버니
49,22,-797.9588,578.1371,-229.67351,0,붉은 레푸스버니
50,22,-595.37286,566.6598,-214.58894,0,붉은 레푸스버니
51,22,-379.20166,577.14264,-63.800682,0,붉은 레푸스버니
52,22,-556.59503,577.14264,176.77724,0,붉은 레푸스버니
53,22,-85.857254,332.26324,614.2279,0,붉은 레푸스버니
54,22,197.37762,325.14328,632.20996,0,붉은 레푸스버니
55,22,47.386703,332.26324,774.63055,0,붉은 레푸스버니
56,22,278.85324,332.26324,833.10254,0,붉은 레푸스버니
57,22,431.02823,332.26324,653.8378,0,붉은 레푸스버니
58,22,464.5857,332.26324,842.0612,0,붉은 레푸스버니
59,22,625.1705,332.26324,724.1744,0,붉은 레푸스버니
60,22,869.8043,332.26324,720.9204,0,붉은 레푸스버니
61,22,1098.5695,332.26324,682.32556,0,붉은 레푸스버니
62,22,1287.6472,332.26324,633.6624,0,붉은 레푸스버니
63,22,1525.4406,332.26324,600.29517,0,붉은 레푸스버니
64,22,1340.078,332.26324,540.06445,0,붉은 레푸스버니
65,22,1240.3097,332.39938,697.0324,0,붉은 레푸스버니
66,22,-157.19965,313.37054,964.5878,0,붉은 레푸스버니
67,22,-68.56966,332.26324,865.32196,0,붉은 레푸스버니
68,22,-346.4576,263.9221,1114.8273,0,붉은 레푸스버니
69,22,-521.60864,261.11407,1065.2593,0,붉은 레푸스버니
70,22,-606.3473,261.11407,1277.7991,0,붉은 레푸스버니
71,22,-645.55853,261.11407,1172.935,0,붉은 레푸스버니
72,22,447.1659,565.764,-350.16827,0,붉은 레푸스버니
73,22,585.34924,571.3684,-244.69608,0,붉은 레푸스버니
74,22,429.10867,568.6438,-243.88852,0,붉은 레푸스버니
75,22,475.93497,576.91034,-76.43015,0,붉은 레푸스버니
76,22,317.0537,576.9103,-158.90399,0,붉은 레푸스버니
77,22,192.58917,576.9103,-197.57841,0,붉은 레푸스버니
78,22,11.590961,576.9103,-122.33221,0,붉은 레푸스버니
79,22,791.50696,599.04755,-155.81395,0,붉은 레푸스버니
80,22,1051.0765,661.5872,-184.11029,0,붉은 레푸스버니
81,22,1219.9652,644.9502,-235.85625,0,붉은 레푸스버니
82,22,1375.6898,658.1473,-365.3679,0,붉은 레푸스버니
83,22,1299.4502,657.9844,-83.40658,0,붉은 레푸스버니
84,22,1470.679,662.6492,44.425995,0,붉은 레푸스버니
85,22,-1310.1074,0.42951012,-1071.3168,0,붉은 레푸스버니
86,22,-1452.263,0.42951012,-1091.5781,0,붉은 레푸스버니
87,22,-1330.0604,0.42951012,-1199.9867,0,붉은 레푸스버니
88,22,-1279.2253,-5.284395,-937.2659,0,붉은 레푸스버니
89,22,-1345.0791,-0.030723214,-792.84216,0,붉은 레푸스버니
90,22,-955.56195,0.42951012,-805.651,0,붉은 레푸스버니
91,22,-815.60455,0.42951012,-1018.2319,0,붉은 레푸스버니
92,22,-776.2155,-5.237792,-752.27527,0,붉은 레푸스버니
93,22,-648.65265,0.42951012,-911.117,0,붉은 레푸스버니
94,22,-639.3964,32.782417,-1352.1913,0,붉은 레푸스버니
95,22,-722.4316,32.782417,-1483.7494,0,붉은 레푸스버니
96,22,-532.1275,32.782417,-1460.9235,0,붉은 레푸스버니
97,22,-436.68286,-17.357752,-792.7642,0,붉은 레푸스버니
98,22,-257.52127,-20.469831,-909.1126,0,붉은 레푸스버니
99,22,-83.22732,-18.489985,-688.97375,0,붉은 레푸스버니
100,22,18.799099,-18.489983,-942.9553,0,붉은 레푸스버니
101,22,69.3788,0.42951012,-752.4495,0,붉은 레푸스버니
102,22,-90.01791,-18.489985,-550.9235,0,붉은 레푸스버니
103,22,275.4852,0.42951012,-920.89166,0,붉은 레푸스버니
104,22,485.55975,0.42951012,-955.2064,0,붉은 레푸스버니
105,22,364.76718,0.42951012,-726.01337,0,붉은 레푸스버니
106,22,344.26913,32.782417,-1233.5034,0,붉은 레푸스버니
107,22,209.26974,32.782417,-1478.9497,0,붉은 레푸스버니
108,22,397.7574,32.782417,-1427.6448,0,붉은 레푸스버니
109,22,341.88293,32.782417,-1587.8889,0,붉은 레푸스버니
110,22,548.4322,32.782417,-1609.9801,0,붉은 레푸스버니
111,22,1068.8917,-92.416435,-883.1573,0,붉은 레푸스버니
112,22,1248.7899,-92.416435,-893.67004,0,붉은 레푸스버니
113,22,1211.1686,-92.416435,-664.0564,0,붉은 레푸스버니
114,22,1447.2128,-92.416435,-579.4834,0,붉은 레푸스버니
115,22,1414.5392,-92.416435,-814.50336,0,붉은 레푸스버니
116,22,1061.4827,-92.416435,-648.6344,0,붉은 레푸스버니
117,23,280.86865,576.9103,-281.24588,0,나콩버그
118,23,138.63745,576.9103,-185.88545,0,나콩버그
119,23,291.8119,576.9103,-139.20352,0,나콩버그
120,23,412.8028,569.4351,-250.65298,0,나콩버그
121,23,582.42474,576.9103,-126.1067,0,나콩버그
122,23,926.71936,645.2215,-126.37457,0,나콩버그
123,23,1065.1956,661.58716,-101.70953,0,나콩버그
124,23,1124.238,656.2906,-298.34198,0,나콩버그
125,23,1212.1907,659.0849,-75.178734,0,나콩버그
126,23,1219.2546,647.82367,-182.08653,0,나콩버그
127,23,1349.3834,659.0982,-381.22977,0,나콩버그
128,23,1374.3235,660.0783,-394.0093,0,나콩버그
129,23,1409.9741,654.1586,-195.8092,0,나콩버그
130,23,1347.1893,647.7718,-257.98514,0,나콩버그
131,23,1234.7117,648.1555,-292.21228,0,나콩버그
132,23,1294.0563,659.8815,-435.23273,0,나콩버그
133,23,-71.93865,581.3796,-86.084175,0,나콩버그
134,23,-948.8724,577.14264,-287.6929,0,나콩버그
135,23,-1071.3635,565.0461,-76.59694,0,나콩버그
136,23,-881.2719,565.0461,-106.34582,0,나콩버그
137,23,-675.0387,565.0461,-281.73712,0,나콩버그
138,23,-541.7897,577.14264,-184.90063,0,나콩버그
139,23,-503.76334,575.3142,64.7118,0,나콩버그
140,23,-1010.5178,576.43854,-35.206028,0,나콩버그
141,23,-1027.6799,577.14264,85.58077,0,나콩버그
142,23,-479.52863,574.2284,244.35475,0,나콩버그
143,23,-378.3664,475.5035,428.3023,0,나콩버그
144,23,-344.4004,577.14264,-65.32788,0,나콩버그
145,23,-412.06204,577.14264,-130.0574,0,나콩버그
146,23,-651.27264,576.97784,-89.296425,0,나콩버그
147,24,-39.90838,332.26324,866.0873,0,로데요켈
148,24,-576.3392,261.11407,1012.8211,0,로데요켈
149,24,-621.76843,261.11407,1084.083,0,로데요켈
150,24,-575.238,261.11407,1246.459,0,로데요켈
151,24,-426.85327,261.11407,1047.5321,0,로데요켈
152,24,-188.71465,305.1361,987.64844,0,로데요켈
153,24,-82.45089,332.26324,700.4418,0,로데요켈
154,24,149.27762,332.26324,856.87604,0,로데요켈
155,24,55.545033,332.26324,740.0168,0,로데요켈
156,24,172.62431,325.14328,657.36523,0,로데요켈
157,24,392.8572,332.26324,861.307,0,로데요켈
158,24,358.08878,332.26324,734.1731,0,로데요켈
159,24,492.62592,332.26324,760.0003,0,로데요켈
160,24,490.7153,332.26324,638.9055,0,로데요켈
161,24,685.93414,332.26324,755.3896,0,로데요켈
162,24,646.411,332.26324,655.52814,0,로데요켈
163,24,848.8465,332.26324,758.2364,0,로데요켈
164,24,1053.3359,333.99075,659.0492,0,로데요켈
165,24,1170.0524,332.26324,666.79596,0,로데요켈
166,24,1205.005,332.26324,528.41284,0,로데요켈
167,24,1328.1693,325.1783,478.77075,0,로데요켈
168,24,1395.9358,332.26324,604.2003,0,로데요켈
169,24,1428.0452,332.26324,495.4124,0,로데요켈
170,24,1392.6122,332.26324,769.0657,0,로데요켈
171,24,-421.19138,261.11407,1182.3468,0,로데요켈
172,24,-707.46106,261.11407,1211.6453,0,로데요켈
173,24,-539.3006,261.11407,1129.4163,0,로데요켈
174,24,32.936474,336.28363,591.70416,0,로데요켈
175,24,560.53973,332.26324,878.64923,0,로데요켈
176,23,1332.6494,658.5781,-76.82966,0,나콩버그
177,23,1526.3007,661.4895,-0.10031509,0,나콩버그
178,23,1600.433,661.4895,-39.007244,0,나콩버그
179,23,1401.0375,662.6215,35.999676,0,나콩버그
180,23,1406.8804,662.5427,-25.663506,0,나콩버그
181,23,692.3121,576.9103,-207.253,0,나콩버그
182,23,-1305.2476,651.76685,237.95706,0,나콩버그
183,23,-1613.25,698.7891,441.9669,0,나콩버그
184,23,-1495.8529,698.7891,710.8153,0,나콩버그
185,23,-1442.646,698.7891,494.61734,0,나콩버그
186,23,-1560.126,698.7891,554.4355,0,나콩버그
187,23,-1654.1998,698.7891,525.74115,0,나콩버그
188,23,-1670.9606,698.7891,374.59088,0,나콩버그
189,25,-576.67,576.52,-11.86,0,나콩버그
190,26,1763.59,332.26,639.89,0,스팔빈가스 숲
191,27,1767.78,332.26,642.8,0,
192,28,-621.5583,261.11407,1423.318,96,WarpSpot
