ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,-1784.8608,-437.53116,745.73895,0
2,2,-1385.8643,1028.2222,1161.029,-170
3,3,-1711.5482,346.2044,59.9181,0
4,4,1906.7894,399.6894,-451.25546,-10
5,5,1194.3326,292.58643,268.30646,-90
6,6,-1180.3857,-151.91563,-358.16724,0
7,7,-1753.7296,-433.92285,695.9635,100
8,8,1533.5073,0.10119629,1335.4756,0
9,9,-1676.8434,-81.89176,1774.6913,135
10,10,1162.3213,0.10119629,1185.4945,0
11,10,549.9785,-81.8916,1006.3199,0
12,10,149.2286,-81.8916,895.67975,0
13,10,-293.83105,-81.8916,995.23486,0
14,10,-740.3558,-81.8916,1153.5538,0
15,10,-1080.1772,-81.8916,1135.6232,0
16,10,-653.36804,-81.8916,1674.6694,0
17,10,-18.037693,-78.50952,1477.6802,0
18,10,355.89807,0.10119629,1625.4402,0
19,10,990.6061,292.58643,103.89517,0
20,10,1285.4197,292.58643,-160.76398,0
21,10,855.0551,181.86487,-775.82886,0
22,10,224.77061,49.550163,-607.34937,0
23,10,-478.4996,-69.98535,-813.7489,0
24,10,-779.67896,-69.98535,-657.41156,0
25,10,-338.58353,-151.91566,-77.66626,0
26,10,-858.9559,-151.91565,111.2215,0
27,10,-1213.3248,-151.91565,-178.94934,0
28,10,-1293.4241,-59.809692,-1147.7646,0
29,10,-1714.5253,346.2044,-428.24658,0
30,10,-2307.7358,1500.6724,210.38031,0
31,11,1251.3153,292.58643,-210.71881,0
32,12,1011.972,292.58643,82.23752,0
33,13,1284.5475,0.10119629,1118.5482,0
34,13,1193.8048,0.10119629,1220.6498,0
35,13,1018.3414,0.10119629,1173.8418,0
36,13,1054.0642,0.10119629,1062.5714,0
37,13,629.03436,-81.8916,955.3466,0
38,13,501.08856,-81.8916,1064.7717,0
39,13,436.503,-81.8916,888.02075,0
40,13,305.2988,-81.8916,996.2673,0
41,13,192.68648,-81.8916,816.3414,0
42,13,91.20698,-81.8916,1008.3481,0
43,13,-121.33003,-81.8916,905.74304,0
44,13,-125.24817,-81.8916,1067.2268,0
45,13,-291.9757,-81.8916,936.365,0
46,13,-334.2509,-81.8916,1092.6776,0
47,13,-531.16986,-81.8916,935.2315,0
48,13,-641.1304,-81.8916,1139.7424,0
49,13,-456.20465,-69.98535,-947.2633,0
50,13,-402.72467,-69.98535,-779.5342,0
51,13,-645.7766,-69.98535,-624.00793,0
52,13,-598.9931,-69.98535,-809.0256,0
53,13,70.104294,18.327465,-652.62775,0
54,13,229.53406,49.550163,-531.4862,0
55,13,320.90802,49.550163,-676.5701,0
56,13,679.0057,181.86487,-951.5558,0
57,13,825.44434,181.86487,-689.1672,0
58,13,930.71295,181.86487,-891.5795,0
59,13,1318.1772,292.58643,-196.27309,0
60,13,1315.6969,283.93546,64.03861,0
61,13,932.09534,283.93546,35.33921,0
62,13,920.1542,276.45898,-265.48288,0
63,13,1222.9644,292.58643,-247.03255,0
64,13,923.61395,292.58643,150.04343,0
65,13,1859.5476,399.6894,-503.27954,0
66,13,1782.5101,399.6894,-667.68896,0
67,13,2008.802,399.6894,-785.8947,0
68,13,2023.3798,399.6894,-601.881,0
69,14,1271.8651,0.10119629,1091.4203,0
70,14,1156.0594,0.10119629,1223.9882,0
71,14,363.8759,0.10119629,1772.2622,0
72,14,240.54497,0.10119629,1660.6482,0
73,14,403.52206,0.10119629,1532.8289,0
74,14,-81.944435,-78.50952,1431.3066,0
75,14,78.96491,-78.50952,1445.9344,0
76,14,11.882736,-78.50952,1613.3683,0
77,14,-651.5169,-81.8916,1759.8167,0
78,14,-650.00916,-81.8916,1552.7687,0
79,14,-516.93665,-81.8916,1627.7504,0
80,14,-641.29706,-81.8916,993.27594,0
81,14,-350.5946,-81.8916,965.28815,0
82,14,39.25026,-81.8916,949.6586,0
83,14,411.84213,-81.8916,945.42773,0
84,14,888.87933,283.93546,-13.013371,0
85,14,1248.222,283.93546,112.53152,0
86,14,1219.9863,292.58643,-200.36057,0
87,14,2022.5939,399.6894,-671.04956,0
88,14,1943.2184,399.6894,-552.48065,0
89,14,1799.9247,399.6894,-720.3715,0
90,14,858.01935,181.86487,-614.7867,0
91,14,1001.4171,181.86487,-724.1233,0
92,14,657.06604,181.86487,-973.5805,0
93,14,855.5749,181.86487,-973.1485,0
94,14,230.66908,49.550163,-471.83887,0
95,14,297.69403,49.550163,-702.85645,0
96,14,147.06244,46.908222,-730.93726,0
97,14,86.05287,49.550163,-536.26294,0
98,14,-380.205,-69.98535,-776.9308,0
99,14,-446.76096,-69.98535,-685.53735,0
100,14,-731.64984,-69.98535,-617.9,0
101,14,-511.90875,-69.98535,-908.0339,0
102,14,-1188.0167,-59.809692,-1015.6361,0
103,14,-1303.9769,-59.809692,-1093.186,0
104,14,-1176.4479,-59.809692,-1237.1572,0
105,14,-239.12502,-157.12033,-128.84851,0
106,14,-378.2877,-151.91566,-57.219006,0
107,14,-722.7991,-151.9602,122.5485,0
108,14,-890.061,-152.01929,134.7879,0
109,14,-1020.3999,-151.91565,-265.0029,0
110,14,-1328.6853,-139.45798,-320.32278,0
111,13,-303.4403,-155.40196,45.408585,0
112,13,-199.89172,-151.91565,-96.0621,0
113,13,-508.48273,-157.64108,-220.90291,0
114,13,-586.02203,-152.63344,-106.87235,0
115,13,-807.6699,-151.91565,-242.89581,0
116,13,-763.59015,-157.40668,50.13684,0
117,13,-992.20746,-156.39664,105.13304,0
118,13,-904.21747,-151.91565,-238.78122,0
119,15,1018.2509,0.10119629,1128.4901,0
120,15,1180.0607,0.10119629,1136.2301,0
121,15,408.1205,0.10119629,1702.0688,0
122,15,321.96548,0.10119629,1600.5747,0
123,15,331.98587,0.10119629,1478.5457,0
124,15,-85.59099,-78.50952,1559.6407,0
125,15,-1.0255171,-78.50952,1518.1007,0
126,15,66.11535,-78.50952,1551.2507,0
127,15,-536.72205,-81.8916,1767.5039,0
128,15,-768.78485,-81.8916,1708.7719,0
129,15,-565.3119,-81.8916,1563.7223,0
130,15,-374.2783,-81.8916,1106.1862,0
131,15,-150.96286,-81.8916,959.44214,0
132,15,295.38632,-81.8916,985.9076,0
133,15,532.66156,-81.8916,938.7369,0
134,15,1070.2764,290.993,43.956573,0
135,15,1165.6725,292.58643,-278.2701,0
136,15,908.2722,292.58643,-199.62825,0
137,15,790.143,181.86487,-679.90576,0
138,15,957.34045,181.86487,-652.128,0
139,15,784.89264,181.86487,-1000.5372,0
140,15,653.9148,181.86487,-889.10406,0
141,15,242.2603,49.550163,-765.7575,0
142,15,299.83878,49.550163,-600.519,0
143,15,142.66483,49.550163,-436.476,0
144,15,218.25887,49.550163,-636.52795,0
145,15,-386.1787,-69.98535,-874.6751,0
146,15,-440.45444,-69.98535,-732.0678,0
147,15,-759.0861,-69.98535,-720.47327,0
148,15,-788.7632,-69.98535,-615.7079,0
149,15,-638.0296,-69.98535,-820.134,0
150,15,-568.04834,-69.98535,-695.16614,0
151,15,-333.2761,-151.91565,-1.5346632,0
152,15,-319.30978,-151.91566,-140.2259,0
153,15,-783.62946,-151.91566,81.30212,0
154,15,-801.7941,-151.91565,193.19304,0
